SC,SC location
1,
1,
1,3p23
1,
1,
2,Unknown
2,
3,3q12
3,
3,
3,
3,
4,1p34
5,2p34
6,
6,2q34
7,3p31
7,
7,
8,
8,3p12
8,
10,
10,3q42
10,
11,
11,3q11
11,
12,2q36
12,
12,
12,
12,
13,3q44
13,
13,
13,
13,
14,2q42
14,
15,2p41
15,
16,3q21
16,
17,3p22
19,3q42
19,
20,
20,2p44
20,
22,2p34
23,3p44
24,2q24
24,
25,2q37
25,
25,
25,
25,
25,
25,
25,
27,
27,2q33
27,
27,
27,
27,
27,
28,2p23
28,
28,
28,
29,
29,
29,2q42
30,Unknown
30,
31,
31,
31,2p13
31,
31,
31,
32,2p41
33,
33,1p22
34,2q21
36,2p42
36,
38,2q24
39,2p33
39,
39,
40,2q41
40,
40,
41,2q43
42,2p22
42,
43,2q35
43,
44,
44,2q22
44,
45,2q35
45,
46,2p21
47,2q37
47,
47,
47,
48,
48,
48,2q33
49,3p13
49,
49,
50,1p33
50,
50,
51,2q41
51,
52,2p42
54,Unknown
54,
55,
55,2q24
56,1q14
58,2p32
58,
59,
59,1p31
61,3q14
61,
62,2q12
64,
64,3q34
66,1p14
66,
67,1q32
68,1q44
69,
69,3q12
70,1q41
71,1p14
72,1p22
72,
73,1q41
74,Unknown
74,
75,1p14
75,
76,2p13
76,
76,
78,2p32
80,Unknown
80,
81,1q21
82,1q43
83,3q33
84,
84,2q41
85,3p31
86,3q34
88,1q32
89,
89,3q31
90,2p12
90,
91,Unknown
91,
92,3q14
93,3q25
94,3p33
95,2q12
96,1q33
96,
98,
98,3q32
99,
99,Unknown
101,
101,
101,2q32
103,2q21
103,
105,3p14
105,
107,3p42
108,2q22
109,2q24
111,1p21
112,2p31
112,
113,
113,2q13
114,
114,2q34
115,3q34
115,
117,1q33
118,1p33
118,
119,3q11
119,
120,2p32
121,2q42
121,
122,
122,2q24
123,1p12
123,
124,2p41
127,1p21
128,2q33
129,2q21
131,3q21
131,
132,2p32
133,1q43
134,2p32
135,2q24
136,3q12
136,
137,2p21
139,2q41
141,3p33
143,3q32
145,2p44
146,
146,3p31
147,1q13
148,
148,
148,1p34
149,2q21
149,
150,3p33
151,2p41
152,2q31
153,1q33
154,Unknown
154,
155,
155,1q32
156,
156,1p22
157,
157,2q21
158,1p34
159,3p34
161,1p33
161,
163,3q44
164,3p14
164,
165,3p42
165,
166,1p25
167,2p22
168,2q35
168,
169,2p25
170,2q24
170,
171,3q11
172,2q22
173,2q42
173,
174,2p22
176,1p34
177,3q12
179,3p14
181,1p33
182,
182,3q14
183,
183,2p44
184,
184,3p14
185,2q44
186,
186,3q25
187,3p33
189,
189,3q24
192,1p13
194,3p14
196,2q11
197,3p34
199,1p13
200,2p25
201,
201,3q44
202,2q32
203,3q13
204,
204,2q36
205,2q41
206,
206,3q13
208,
208,3p42
209,
209,2q44
210,2p42
211,2p25
211,
213,2q44
213,
216,
216,2q31
217,3q34
218,1q12
218,
219,
219,2p34
221,3q41
223,
223,3p41
226,2q24
227,3p43
229,3p42
230,
230,2q36
231,3p13
232,1p12
233,3q24
236,
236,2p23
237,
237,3q23
238,2q13
238,
239,2q41
239,
240,1p12
241,2p24
241,
242,2q22
243,Unknown
243,
244,2q41
246,2q23
247,
247,3p11
248,2q11
250,3p21
251,2q11
252,1q41
253,3q44
255,2p25
256,2q21
259,
259,2p11
260,1q21
261,Unknown
263,2q13
264,Unknown
265,Unknown
265,
266,3p44
267,1p31
267,
268,2p27
268,
269,2q34
271,1p34
273,2q35
273,
274,2q12
275,2q44
276,3p14
277,2p32
279,1q31
281,1q42
284,2q13
284,
286,Unknown
286,
287,3q42
288,Unknown
288,
290,2q22
292,2q42
295,1q22
300,3p11
301,
301,3p44
302,Unknown
302,
303,3q23
304,3p43
305,3p34
306,2p44
309,3q23
312,1p32
313,1p21
314,2q21
315,1q32
316,2q37
318,1p23
319,2p43
320,3p41
321,3q13
323,1q13
326,1q12
328,
328,2p42
329,2q36
332,2p23
334,2q32
334,
337,2q43
338,2p12
340,2p24
341,2p44
341,
342,2q23
346,1q11
346,
352,2q11
356,2p43
358,1p25
360,
360,1p23
364,2p23
365,3p41
366,2q13
368,2p44
370,1q31
371,2q37
371,
372,2q31
373,1p13
376,3p12
377,2p32
379,1q31
380,2p11
384,1p32
385,2p26
386,3p42
388,1q21
392,3q25
395,2q11
410,2p31
415,1p21
426,2q36
438,1q44
440,1q44
441,3p32
446,1q21
456,2q13
470,3q44
477,2q31
506,3q22
507,2q23
581,2p42
650,1q42
673,1q13
701,2p12
704,2p34
710,1p32
766,3q11
777,1p33
786,2p42
816,2q33
817,2p33
836,1q22
875,2q31
901,3q23
1051,1q42
1132,2q44
1168,2p11
2392,1p33
