# genome1: genome1
# genome2: genome2
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign
0 "chromosome_name" 0 0 + "chromosome_name.1" 0 0 +
0 "e1" 281016 1803 + "e5" 177084788 1489 +
0 "e1" 2044939 1941 + "e5" 168368473 1838 +
0 "e1" 3937854 1443 + "e5" 188927175 854 +
0 "e1" 3958286 9155 + "e5" 194008203 4226 -
0 "e1" 4853097 1883 + "e5" 184356186 1576 -
0 "e1" 5622189 11210 + "e5" 179850577 491 +
0 "e1" 7400815 4222 + "e5" 176616172 1427 +
0 "e1" 8762006 1477 + "e5" 186190326 1254 +
0 "e1" 9773188 2439 + "e5" 170045404 4998 -
0 "e1" 10227590 2111 + "e5" 163783415 3648 -
0 "e1" 10660951 2469 + "e5" 180585293 3091 -
0 "e2" 16690557 468 + "e5" 164786242 2398 -
0 "e2" 17953466 1316 + "e5" 168349886 1286 +
0 "e2" 18682123 1086 + "e5" 183523349 3958 +
0 "e2" 26139919 1424 + "e5" 176869862 1637 -
0 "e2" 35698853 305 + "e5" 174380310 3585 +
0 "e2" 39605747 221 + "e5" 190163496 221 -
0 "e2" 46026929 812 + "e5" 167009292 491 +
0 "e2" 53476381 7161 + "e5" 198555746 4111 +
0 "e3" 76610433 12489 + "e5" 189071360 9222 +
0 "e3" 85979769 2042 + "e5" 168654353 2131 -
0 "e3" 91533600 1036 + "e5" 163557195 3497 -
0 "e3" 92904565 1892 + "e5" 179653411 1790 -
0 "e4" 108612633 8564 + "e5" 168145185 951 -
0 "e4" 113138195 9559 + "e5" 171030115 2853 -
0 "e4" 126856213 1235 + "e5" 183942377 1253 -
0 "e5" 135709026 2071 + "e5" 198581649 7957 +
0 "e5" 135722860 6314 + "e5" 198606710 3965 -
0 "e5" 135758616 4346 + "e5" 198747486 5017 +
0 "e5" 135782708 3290 + "e5" 198801230 2288 +
0 "e5" 135787507 2157 + "e5" 198806207 2711 +
0 "e5" 135794781 1250 + "e5" 197362853 2486 -
0 "e5" 135797466 3054 + "e5" 197358995 3065 -
0 "e5" 135802098 4846 + "e5" 197353484 3602 -
0 "e5" 135812943 6881 + "e5" 197340622 5576 -
0 "e5" 135819968 5640 + "e5" 197329590 8853 -
0 "e5" 135827108 1261 + "e5" 197325919 3613 -
0 "e5" 135829203 3511 + "e5" 197320712 4375 -
0 "e5" 135912975 2654 + "e5" 197224444 2680 -
0 "e5" 135919334 3770 + "e5" 197214012 6861 -
0 "e5" 135925629 2864 + "e5" 197210461 1457 -
0 "e5" 135928856 1111 + "e5" 197208737 922 -
0 "e5" 135930655 7438 + "e5" 197204089 3710 - # merged; repeat 11
0 "e5" 135944272 6874 + "e5" 197183374 9484 -
0 "e5" 135951643 1315 + "e5" 197181591 1462 -
0 "e5" 135953567 1512 + "e5" 197179486 1667 -
0 "e5" 135987511 1558 + "e5" 197137448 1422 -
0 "e5" 136015258 5214 + "e5" 197074983 34331 -
0 "e5" 136083508 1062 + "e5" 197022781 1201 -
0 "e5" 136084820 944 + "e5" 197021308 1106 -
0 "e5" 136086059 951 + "e5" 197020096 986 -
0 "e5" 136088264 1152 + "e5" 196990778 1437 -
0 "e5" 136090567 928 + "e5" 196988115 920 -
0 "e5" 136105561 6294 + "e5" 196967304 2104 -
0 "e5" 136113497 3634 + "e5" 196954427 12653 -
0 "e5" 136121900 2681 + "e5" 196950199 1502 -
0 "e5" 136131847 11815 + "e5" 196936772 2234 -
0 "e5" 136147172 962 + "e5" 196923811 1379 -
0 "e5" 136149927 4843 + "e5" 196917482 6270 -
0 "e5" 136156356 2676 + "e5" 196911277 5642 -
0 "e5" 136159881 3589 + "e5" 196908811 1774 -
0 "e5" 136165622 5662 + "e5" 196902301 2309 -
0 "e5" 136201860 11180 + "e5" 196842033 13498 -
0 "e5" 136223958 6467 + "e5" 196819811 7649 -
0 "e5" 136230643 5612 + "e5" 196813031 6765 -
0 "e5" 136236688 2098 + "e5" 196810532 2112 -
0 "e5" 136239007 10219 + "e5" 196797649 12570 -
0 "e5" 136249618 1689 + "e5" 196795440 1774 -
0 "e5" 136252958 10416 + "e5" 196784524 9423 -
0 "e5" 136272332 5270 + "e5" 196753693 5616 - # merged; repeat 12
0 "e5" 136277801 1105 + "e5" 196752147 1273 -
0 "e5" 136279114 5120 + "e5" 196746659 5373 -
0 "e5" 136291166 2142 + "e5" 196734523 4209 -
0 "e5" 136293501 11874 + "e5" 196727566 5289 -
0 "e5" 136315650 6597 + "e5" 196703528 15302 -
0 "e5" 136346648 3936 + "e5" 196670796 1637 -
0 "e5" 136351463 9392 + "e5" 196663771 4480 -
0 "e5" 136361533 2095 + "e5" 196655440 7193 -
0 "e5" 136373083 4407 + "e5" 196641087 4506 -
0 "e5" 136433812 1085 + "e5" 196574068 1085 -
0 "e5" 136435035 2846 + "e5" 196570453 3571 -
0 "e5" 136438363 3642 + "e5" 196566514 3434 -
0 "e5" 136495693 1774 + "e5" 196499634 1718 -
0 "e5" 136521806 1692 + "e5" 196733097 1226 -
0 "e5" 136523890 1615 + "e5" 196460710 2076 -
0 "e5" 136525946 440 + "e5" 196459830 431 -
0 "e5" 136527383 2848 + "e5" 196973233 4272 +
0 "e5" 136571690 11102 + "e5" 196382782 18263 -
0 "e5" 136584845 2780 + "e5" 196373963 4866 -
0 "e5" 136600518 6011 + "e5" 196352576 7512 -
0 "e5" 136620715 3839 + "e5" 198895785 6372 -
0 "e5" 136625095 4109 + "e5" 198893159 2205 -
0 "e5" 136635242 6113 + "e5" 198879276 9707 -
0 "e5" 136657020 7473 + "e5" 198845111 4233 -
0 "e5" 136666219 4509 + "e5" 198835955 2039 -
0 "e5" 136673639 1032 + "e5" 198824816 1352 -
0 "e5" 136677507 4751 + "e5" 198818606 1803 +
0 "e5" 136682576 816 + "e5" 198815328 768 +
0 "e5" 136683787 1361 + "e5" 197368128 1352 +
0 "e5" 136872600 29116 + "e5" 197393341 7545 -
0 "e5" 136933130 5183 + "e5" 194996516 17562 -
0 "e5" 136939554 2294 + "e5" 194992154 2444 - # merged; repeat 17
0 "e5" 136942321 1990 + "e5" 194990040 1785 -
0 "e5" 136944541 1512 + "e5" 194984269 5516 -
0 "e5" 137001115 359 + "e5" 194918475 359 -
0 "e5" 137010864 3060 + "e5" 194905543 1359 -
0 "e5" 137015219 2665 + "e5" 194901186 3090 -
0 "e5" 137018721 18883 + "e5" 194888301 3431 -
