"ensembl_gene_id" "chromosome_name" "start_position" "end_position" "strand" "chromosome_name.1" "start_position.1" "end_position.1" "strand.1" "chromosome_name.2" "start_position.2" "end_position.2" "strand.2"
"AALB015647" "e5" 164668786 4324 1 "e5" 165191521 3122 -1 "e5" 191505063 1406 1
"AALB015647" "e5" 164668786 4324 1 "e5" 165191521 3122 -1 "e5" 191503088 752 1
"AALB010798" "e5" 155372746 2300 1 "e5" 174677150 2242 1 "e5" 229100935 1803 -1
"AALB010380" "e5" 148419416 1864 1 "e5" 197844786 5359 1 "e5" 222288427 1869 -1
"AALB003837" "e5" 137229046 5546 -1 "e5" 194610755 6560 1 "e5" 218397275 5729 1
"AALB010373" "e5" 148381355 676 -1 "e5" 197799016 1304 -1 "e5" 222355562 873 1
"AALB010014" "e5" 141935132 1364 1 "e5" 198927992 1367 1 "e5" 226020448 1334 1
"AALB001234" "e5" 167479818 3414 -1 "e5" 161817534 1732 1 "e5" 190662750 2099 -1
"AALB010524" "e5" 150821504 813 1 "e5" 190537725 10328 -1 "e5" 200098847 812 1
"AALB009854" "e5" 139362250 1414 -1 "e5" 168260998 1239 1 "e5" 193499627 1421 -1
"AALB009854" "e5" 139362250 1414 -1 "e5" 168260998 1239 1 "e5" 193507936 1440 -1
"AALB010030" "e5" 142170610 3413 1 "e5" 180432464 4467 -1 "e5" 214659956 1445 -1
"AALB010520" "e5" 150814080 1946 1 "e5" 175954382 2502 1 "e5" 221710107 2339 1
"AALB010415" "e5" 149028200 8396 -1 "e5" 171776937 10012 1 "e5" 195533789 8771 -1
"AALB000750" "e4" 110042582 5085 -1 "e5" 177497074 8412 1 "e5" 191136851 2966 -1
"AALB000750" "e4" 110042582 5085 -1 "e5" 177497074 8412 1 "e5" 226680553 3041 -1
"AALB008506" "e5" 159041251 5323 1 "e5" 191935041 10688 1 "e5" 213376044 10658 -1
"AALB007609" "e5" 165452097 3161 1 "e5" 164274071 3205 -1 "e5" 192120940 3162 1
"AALB010027" "e5" 142067493 2167 -1 "e5" 180590746 3808 1 "e5" 214794381 3205 1
"AALB010100" "e5" 143452141 3253 1 "e5" 181958699 9311 1 "e5" 216324969 4609 -1
"AALB010382" "e5" 148424644 449 -1 "e5" 197855306 986 -1 "e5" 222267855 1204 1
"AALB007743" "e1" 9776823 4141 1 "e5" 174616157 1592 -1 "e1" 11804663 3948 1
"AALB007602" "e5" 165214651 2799 -1 "e5" 164499557 513 1 "e5" 191920753 337 -1
"AALB010671" "e5" 153168921 2320 -1 "e5" 198457958 3983 1 "e5" 221260694 2657 -1
"AALB003846" "e5" 137322973 770 1 "e5" 194510259 848 -1 "e5" 218243593 878 -1
"AALB010039" "e5" 142551406 5262 1 "e5" 179939460 5719 -1 "e5" 214187556 172079 -1
"AALB007043" "e5" 161584462 4051 1 "e5" 188357769 3982 -1 "e5" 206602495 3622 -1
"AALB010289" "e5" 147079242 7832 1 "e5" 197607444 6990 1 "e5" 222650917 12968 -1
"AALB009937" "e5" 140913941 3573 -1 "e5" 186551961 3301 1 "e5" 224061731 3609 -1
"AALB003762" "e5" 136159881 3589 1 "e5" 196908811 1774 -1 "e5" 215263705 1616 -1
"AALB010576" "e5" 151506568 14396 -1 "e5" 189538214 19163 -1 "e5" 207803791 4131 -1
"AALB003999" "e5" 157782834 1721 -1 "e5" 163836240 1704 1 "e5" 192639392 1793 1
"AALB010499" "e5" 150612502 1991 1 "e5" 175666481 677 1 "e5" 228588494 661 -1
"AALB009821" "e5" 138962934 6296 1 "e5" 191994294 7279 -1 "e5" 213332289 1309 1
"AALB009806" "e5" 138827812 11289 -1 "e5" 192179862 6238 1 "e5" 213138143 6715 -1
"AALB003816" "e5" 136682576 816 1 "e5" 198815328 768 1 "e5" 230081851 956 1
"AALB003898" "e5" 164194450 3956 1 "e5" 163337996 4198 1 "e5" 191080503 3764 1
"AALB010564" "e5" 151383145 2597 -1 "e5" 189404562 5123 1 "e5" 207686137 4521 1
"AALB001246" "e5" 167408549 10807 1 "e5" 161881922 18078 -1 "e5" 190577712 18758 1
"AALB007610" "e5" 165456576 9024 -1 "e5" 164265394 6720 1 "e5" 192125808 46253 -1
"AALB010556" "e5" 151085886 21239 -1 "e5" 191331571 6189 -1 "e5" 199073749 8303 1
"AALB010098" "e5" 143428252 3667 1 "e5" 181917730 7816 1 "e5" 216354832 8370 -1
"AALB009958" "e5" 141245356 1667 1 "e5" 177747375 2102 -1 "e5" 227531225 1391 -1
"AALB010364" "e5" 148328465 3062 1 "e5" 198408196 3177 -1 "e5" 221328474 1522 1
"AALB010377" "e5" 148414453 1835 -1 "e5" 197837705 3279 -1 "e5" 222294264 2789 1
"AALB006375" "e1" 7400815 4222 -1 "e5" 176616172 1427 -1 "e1" 6773087 1706 -1
"AALB010833" "e5" 155720597 1743 1 "e5" 198248011 6408 -1 "e5" 221575864 5373 1
"AALB010625" "e5" 152470692 4380 1 "e5" 173728139 3916 1 "e5" 200303956 3971 1
"AALB015513" "e5" 160601726 1526 -1 "e5" 162606022 2402 1 "e5" 190036125 2061 -1
"AALB007358" "e5" 163914513 1139 -1 "e5" 163042209 1112 -1 "e5" 189041434 1382 1
"AALB010196" "e5" 145623636 5056 1 "e5" 177812078 4851 -1 "e5" 227584626 25268 -1
"AALB010105" "e5" 143564587 2136 1 "e5" 182147011 671 1 "e5" 216182390 677 -1
"AALB009868" "e5" 139602839 1055 -1 "e5" 167967393 37333 1 "e5" 201468964 14234 1
"AALB010739" "e5" 154108130 3847 -1 "e5" 183122015 1256 -1 "e5" 196338865 1169 1
"AALB010217" "e5" 146018931 7777 1 "e5" 185572860 9038 1 "e5" 224880840 3936 1
"AALB010217" "e5" 146018931 7777 1 "e5" 185572860 9038 1 "e5" 220588738 2762 -1
"AALB010217" "e5" 146018931 7777 1 "e5" 185572860 9038 1 "e5" 224833712 3807 -1
"AALB010217" "e5" 146018931 7777 1 "e5" 185572860 9038 1 "e5" 224876677 3335 -1
"AALB010217" "e5" 146018931 7777 1 "e5" 185572860 9038 1 "e5" 224872227 3370 1
"AALB010217" "e5" 146018931 7777 1 "e5" 185572860 9038 1 "e5" 224868038 3341 1
"AALB009970" "e5" 141417867 6027 1 "e5" 177464462 9787 -1 "e5" 229129638 4199 1
"AALB009970" "e5" 141417867 6027 1 "e5" 177464462 9787 -1 "e1" 11318851 620 1
"AALB009970" "e5" 141417867 6027 1 "e5" 177464462 9787 -1 "e1" 11306055 710 1
"AALB009936" "e5" 140905676 7199 1 "e5" 186558132 7839 -1 "e5" 224057157 2419 1
"AALB010361" "e5" 148300120 10167 -1 "e5" 190170351 10511 -1 "e5" 208455144 1512 -1
"AALB010335" "e5" 147850163 2829 1 "e5" 195820129 2914 1 "e5" 212865686 2605 -1
"AALB003899" "e5" 164199429 7931 -1 "e5" 163342994 1324 -1 "e5" 191084827 1600 -1
"AALB010814" "e5" 155546913 3771 1 "e5" 173335476 3782 1 "e5" 226644239 3353 1
"AALB006963" "e5" 159996095 7688 -1 "e5" 165604627 12789 -1 "e5" 200774750 6067 1
"AALB007553" "e5" 167580668 710 -1 "e5" 161582635 710 1 "e5" 190823224 917 -1
"AALB010216" "e5" 145992898 1074 -1 "e5" 185544341 1179 -1 "e5" 194384976 1149 -1
"AALB003967" "e5" 158046092 7241 1 "e5" 184424576 9099 1 "e5" 226148829 8016 -1
"AALB009959" "e5" 141247267 956 -1 "e5" 177746232 1285 1 "e5" 227528716 1103 1
"AALB010464" "e5" 149762969 1642 1 "e5" 168915445 12139 -1 "e5" 209674594 53134 -1
"AALB009950" "e5" 141161535 3147 1 "e5" 185037157 10788 1 "e5" 193813262 14169 1
"AALB004009" "e5" 157580811 8522 -1 "e5" 162337320 1705 1 "e5" 190279986 4274 -1
"AALB007431" "e5" 162745116 1565 1 "e5" 166889977 2041 -1 "e5" 208906993 1494 1
"AALB007364" "e5" 163768062 4548 1 "e5" 162930592 4349 1 "e5" 189218979 914 -1
"AALB015751" "e5" 139098461 2509 1 "e5" 168715791 2568 -1 "e5" 209484414 921 -1
"AALB010716" "e5" 153791551 1304 -1 "e5" 192308270 1316 1 "e5" 198394889 1402 1
"AALB010716" "e5" 153791551 1304 -1 "e5" 192308270 1316 1 "e5" 198396531 1289 1
"AALB010716" "e5" 153791551 1304 -1 "e5" 192301241 3570 1 "e5" 198394889 1402 1
"AALB010716" "e5" 153791551 1304 -1 "e5" 192301241 3570 1 "e5" 198396531 1289 1
"AALB009841" "e5" 139252875 26040 1 "e5" 168377861 17337 -1 "e5" 193383823 15933 1
"AALB003732" "e5" 135846417 1142 1 "e5" 197305526 1325 -1 "e5" 223049362 1437 -1
"AALB003831" "e5" 137015219 2665 1 "e5" 194901186 3090 -1 "e5" 218694589 3365 1
"AALB010158" "e5" 145003891 760 -1 "e5" 167275739 8839 -1 "e5" 198021263 974 1
"AALB004039" "e5" 157028208 677 -1 "e5" 184168052 890 1 "e5" 226376707 573 -1
"AALB009766" "e5" 138460528 1308 1 "e5" 172741495 1320 1 "e5" 225055546 1903 1
"AALB007363" "e5" 163778435 4802 1 "e5" 162939472 5497 1 "e5" 189212633 5120 -1
"AALB010332" "e5" 147820458 3913 1 "e5" 195790965 1777 1 "e5" 212968361 1463 -1
"AALB010279" "e5" 146873786 311 1 "e5" 178737479 8261 -1 "e5" 204464348 272 1
"AALB007086" "e5" 162111905 3802 1 "e5" 172926297 3378 1 "e5" 225228223 2641 1
"AALB004021" "e5" 157321296 9298 -1 "e5" 169139821 4729 -1 "e5" 209898128 4176 -1
"AALB003961" "e5" 158090278 2068 -1 "e5" 184464548 2091 -1 "e5" 212194336 2634 1
"AALB007392" "e5" 163052425 3688 1 "e5" 166504957 20502 -1 "e5" 209334812 4053 1
"AALB010126" "e5" 144178065 2290 -1 "e5" 186142238 3349 -1 "e5" 224454660 2191 1
"AALB010795" "e5" 155355102 2160 -1 "e5" 174658943 2623 -1 "e5" 227354391 3260 -1
"AALB007376" "e5" 163398877 11426 1 "e5" 166201049 5300 -1 "e5" 202422498 14707 -1
"AALB007376" "e5" 163398877 11426 1 "e5" 166181477 6819 -1 "e5" 202422498 14707 -1
"AALB004017" "e5" 157409607 13265 1 "e5" 169338746 10053 1 "e5" 209993270 30227 1
"AALB001225" "e5" 167527257 4144 -1 "e5" 161700498 3051 1 "e5" 190763418 2544 -1
"AALB009056" "e2" 18682123 1086 1 "e5" 183523349 3958 1 "e5" 205199649 997 1
"AALB003787" "e5" 136435035 2846 -1 "e5" 196570453 3571 1 "e5" 229608799 1995 -1
"AALB014910" "e5" 140837868 2073 1 "e5" 186654149 2324 -1 "e5" 224073077 2304 1
"AALB007382" "e5" 163209331 619 1 "e5" 173817003 3979 1 "e5" 200399479 583 1
"AALB007382" "e5" 163209331 619 1 "e5" 173823465 2350 1 "e5" 200399479 583 1
"AALB010779" "e5" 155013189 1260 -1 "e5" 179130815 1967 1 "e5" 206166133 1302 -1
"AALB003712" "e5" 135709026 2071 1 "e5" 198581649 7957 1 "e5" 230214387 1897 -1
"AALB010460" "e5" 149709403 5575 -1 "e5" 168985446 6571 1 "e5" 209748721 3512 1
"AALB010235" "e5" 146246911 1774 1 "e5" 185874960 2157 1 "e5" 194811886 1663 -1
"AALB003731" "e5" 135838152 8063 1 "e5" 197308188 6940 -1 "e5" 223051461 7381 -1
"AALB010598" "e5" 151983660 9588 -1 "e5" 187915553 12145 1 "e5" 204141648 5949 1
"AALB003824" "e5" 136933130 5183 1 "e5" 194996516 17562 -1 "e5" 218836985 6012 -1
"AALB010522" "e5" 150816971 1603 1 "e5" 175957613 1771 1 "e5" 221713531 1438 1
"AALB010350" "e5" 148222347 2620 1 "e5" 179008975 3847 1 "e5" 204175951 2688 -1
"AALB010042" "e5" 142608972 1453 -1 "e5" 179873043 1829 1 "e5" 214100648 686 -1
"AALB007568" "e5" 164395757 7005 1 "e5" 163505242 2224 1 "e5" 191162008 2320 1
"AALB003781" "e5" 136361533 2095 -1 "e5" 196655440 7193 1 "e5" 229507451 2115 -1
"AALB007432" "e5" 162733319 6268 1 "e5" 166892835 31791 -1 "e5" 208883205 13584 1
"AALB009810" "e5" 138880354 413 -1 "e5" 192122248 34612 1 "e5" 213211803 1679 -1
"AALB009939" "e5" 140921200 1253 -1 "e5" 186545787 1278 1 "e5" 224071422 1317 -1
"AALB001770" "e4" 127734166 1696 1 "e5" 189650255 10942 -1 "e5" 207915136 503 -1
"AALB001222" "e5" 167545770 4672 1 "e5" 161627572 4725 -1 "e5" 190792728 2375 1
"AALB010054" "e5" 142810524 10244 1 "e5" 182263577 2060 1 "e5" 220788797 1770 -1
"AALB007366" "e5" 163754738 1846 -1 "e5" 162909951 1341 -1 "e5" 189258864 1507 1
"AALB010215" "e5" 145981784 6199 1 "e5" 185534665 2324 1 "e5" 194374513 1357 1
"AALB010220" "e5" 146140739 752 -1 "e5" 172862962 11330 -1 "e5" 225174638 1538 -1
"AALB010220" "e5" 146140739 752 -1 "e5" 172875578 8642 -1 "e5" 225174638 1538 -1
"AALB009890" "e5" 139891656 5748 -1 "e5" 178457527 29034 -1 "e5" 204807848 19288 1
"AALB009899" "e5" 140013410 1570 1 "e5" 178630923 2760 1 "e5" 204681815 1547 -1
"AALB010665" "e5" 153126693 3481 1 "e5" 186196394 4005 -1 "e5" 224401759 2424 1
"AALB008478" "e5" 159490307 884 1 "e5" 169623643 875 1 "e5" 210353505 878 1
"AALB010191" "e5" 145585239 3313 -1 "e5" 177873509 3731 1 "e5" 227627388 3227 1
"AALB003804" "e5" 136608573 5029 1 "e5" 198908930 4864 -1 "e5" 230123589 4873 1
"AALB010315" "e5" 147592513 2402 1 "e5" 195545355 7453 1 "e5" 219653956 2172 1
"AALB010384" "e5" 148432884 805 1 "e5" 197865209 852 1 "e5" 222254540 662 -1
"AALB004040" "e5" 157027259 755 1 "e5" 184168943 953 -1 "e5" 226375612 916 1
"AALB003996" "e5" 157816362 1796 1 "e5" 163790717 2863 -1 "e5" 192556542 2779 -1
"AALB010567" "e5" 151401017 1737 -1 "e5" 189378396 17590 -1 "e5" 207668153 5320 -1
"AALB010075" "e5" 143139343 1247 -1 "e5" 175986383 2679 -1 "e5" 228437803 1244 1
"AALB010292" "e5" 147161203 15356 1 "e5" 195116903 5647 1 "e5" 219003782 6442 1
"AALB004052" "e5" 156950069 1528 1 "e5" 184248796 1049 -1 "e5" 226309682 1455 1
"AALB010262" "e5" 146457981 3578 1 "e5" 197970229 26400 1 "e5" 222080526 6550 -1
"AALB010717" "e5" 153797306 2432 -1 "e5" 192287413 1919 -1 "e5" 198386130 1058 1
"AALB010320" "e5" 147620785 3077 1 "e5" 195574774 1346 1 "e5" 219690319 1494 1
"AALB007387" "e5" 163124022 6888 -1 "e5" 166444799 16576 1 "e5" 209426053 9894 -1
"AALB008481" "e5" 159433951 6294 -1 "e5" 169559313 2753 -1 "e5" 210222629 2254 -1
"AALB007589" "e5" 164726322 3828 -1 "e5" 165121180 5010 1 "e5" 191558305 5024 -1
"AALB004067" "e5" 156823427 836 1 "e5" 181360572 788 -1 "e5" 215349123 776 1
"AALB010772" "e5" 154918627 998 1 "e5" 179274499 942 -1 "e5" 206063985 1033 1
"AALB010117" "e5" 144048224 13691 -1 "e5" 185993874 6125 -1 "e5" 224594658 5740 1
"AALB009893" "e5" 139979437 3419 1 "e5" 178587592 3185 1 "e5" 204725811 2734 -1
"AALB010794" "e5" 155351517 3531 1 "e5" 174654926 4121 1 "e5" 227350952 3513 1
"AALB010398" "e5" 148578126 1176 -1 "e5" 172364128 851 1 "e5" 194937904 1560 -1
"AALB009855" "e5" 139415858 1466 -1 "e5" 168203432 10756 1 "e5" 193560218 819 -1
"AALB010082" "e5" 143184459 2018 1 "e5" 176358930 10974 -1 "e5" 228211035 2211 1
"AALB010082" "e5" 143184459 2018 1 "e5" 176347389 2750 -1 "e5" 228211035 2211 1
"AALB010082" "e5" 143184459 2018 1 "e5" 176389901 1148 -1 "e5" 228211035 2211 1
"AALB010082" "e5" 143184459 2018 1 "e5" 176375524 1940 -1 "e5" 228211035 2211 1
"AALB010082" "e5" 143184459 2018 1 "e5" 176351770 1139 -1 "e5" 228211035 2211 1
"AALB010488" "e5" 150023012 13452 1 "e5" 191501658 7263 -1 "e5" 226481987 5490 1
"AALB007046" "e5" 161604400 1622 1 "e5" 188340553 2168 -1 "e5" 206580847 970 -1
"AALB007605" "e5" 165320369 4875 -1 "e5" 164392764 2619 1 "e5" 192007706 2068 -1
"AALB004023" "e5" 157319115 892 1 "e5" 169136983 1093 1 "e5" 209893602 1065 1
"AALB010813" "e5" 155541455 1836 -1 "e5" 173329853 1779 -1 "e5" 226638351 5434 -1
"AALB010843" "e5" 156030267 6856 1 "e5" 190184998 7609 -1 "e5" 208478603 6528 -1
"AALB010643" "e5" 152640106 5165 -1 "e5" 173959547 8553 -1 "e5" 200532246 3162 -1
"AALB010190" "e5" 145561334 17223 -1 "e5" 177900193 11338 1 "e5" 227648986 6983 1
"AALB001233" "e5" 167492722 1780 1 "e5" 161821553 9324 -1 "e5" 190691538 1572 1
"AALB001233" "e5" 167492722 1780 1 "e5" 161809611 4416 -1 "e5" 190691538 1572 1
"AALB001230" "e5" 167499147 4485 -1 "e5" 161797798 3326 1 "e5" 190718514 3475 -1
"AALB010704" "e5" 153626168 6145 -1 "e5" 192459469 9119 1 "e5" 198652078 6141 1
"AALB010336" "e5" 147857900 3833 -1 "e5" 195826156 5093 -1 "e5" 212854587 6207 1
"AALB010319" "e5" 147614099 6388 -1 "e5" 195573008 3158 -1 "e5" 219685942 3095 -1
"AALB010570" "e5" 151409996 4260 1 "e5" 189404562 5123 1 "e5" 207686137 4521 1
"AALB010133" "e5" 144304413 5076 -1 "e5" 199425476 17424 1 "e5" 225350188 7640 -1
"AALB010444" "e5" 149358118 4181 -1 "e5" 191322152 4539 1 "e5" 199086603 6171 -1
