"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"AGAP004685";"2L";493579;497632;-1
"AGAP004692";"2L";1411011;1441380;1
"AGAP004693";"2L";1527686;1533479;-1
"AGAP004694";"2L";1595176;1602296;-1
"AGAP004696";"2L";1926520;1965505;-1
"AGAP004698";"2L";1969023;1971192;-1
"AGAP004703";"2L";2248667;2253660;1
"AGAP004707";"2L";2358158;2431617;1
"AGAP004744";"2L";3021774;3025711;1
"AGAP004745";"2L";3026512;3030332;-1
"AGAP004747";"2L";3034074;3037695;-1
"AGAP004749";"2L";3038604;3040277;1
"AGAP004750";"2L";3041661;3052055;-1
"AGAP004758";"2L";3070600;3072473;-1
"AGAP004765";"2L";3156536;3159336;1
"AGAP004766";"2L";3163010;3178079;1
"AGAP004767";"2L";3194035;3196599;-1
"AGAP004768";"2L";3288076;3322501;-1
"AGAP004769";"2L";3297616;3317823;1
"AGAP004772";"2L";3348417;3353159;-1
"AGAP004773";"2L";3360197;3361330;1
"AGAP004775";"2L";3401014;3447379;-1
"AGAP004784";"2L";3519838;3522515;1
"AGAP004786";"2L";3545835;3548422;1
"AGAP004787";"2L";3552528;3554809;-1
"AGAP004789";"2L";3574266;3575387;-1
"AGAP004791";"2L";3577207;3578328;-1
"AGAP004793";"2L";3585262;3590507;1
"AGAP004794";"2L";3596961;3598493;1
"AGAP004795";"2L";3614688;3630472;-1
"AGAP004798";"2L";3638641;3645721;-1
"AGAP004799";"2L";3720848;3721878;-1
"AGAP004800";"2L";3729952;3733779;-1
"AGAP004801";"2L";3733801;3744679;1
"AGAP004805";"2L";3758094;3778548;1
"AGAP004815";"2L";3831551;3831951;-1
"AGAP004817";"2L";3843984;3852663;-1
"AGAP004818";"2L";3858864;3859471;1
"AGAP004819";"2L";3860781;3870396;-1
"AGAP004820";"2L";3870994;3872609;1
"AGAP004823";"2L";3915261;3917699;-1
"AGAP004824";"2L";3953334;3982092;-1
"AGAP004825";"2L";3992274;3996433;1
"AGAP004827";"2L";4120678;4142005;1
"AGAP004828";"2L";4153261;4156465;1
"AGAP004829";"2L";4159876;4171227;-1
"AGAP004830";"2L";4183099;4185754;-1
"AGAP004832";"2L";4214235;4217585;-1
"AGAP004833";"2L";4233342;4239866;1
"AGAP004834";"2L";4243691;4252291;-1
"AGAP004835";"2L";4302587;4323649;1
"AGAP004837";"2L";4352840;4362047;-1
"AGAP004838";"2L";4368929;4369798;-1
"AGAP004839";"2L";4376928;4377479;1
"AGAP004840";"2L";4377409;4378620;-1
"AGAP004841";"2L";4382188;4388241;-1
"AGAP004842";"2L";4387828;4392314;1
"AGAP004845";"2L";4396212;4402689;1
"AGAP004846";"2L";4404139;4428751;1
"AGAP004848";"2L";4438474;4440964;-1
"AGAP004849";"2L";4441878;4443314;1
"AGAP004850";"2L";4448317;4459825;-1
"AGAP004851";"2L";4463256;4464575;-1
"AGAP004852";"2L";4467956;4475550;-1
"AGAP004854";"2L";4483668;4490466;1
"AGAP004855";"2L";4492189;4494085;1
"AGAP004856";"2L";4495104;4496644;1
