block scf start end ngenes
23 KI421898 2582126 2839044 4
33 KI421898 3775957 4012573 11
33 KI421907 14211 36159 2
43 KI421895 13893 100251 8
43 KI421896 4161668 4423733 8
97 KI421883 8666067 9884425 56
104 KI421888 552894 1873554 73
104 KI421899 3818430 3820865 3
136 KI421888 4173801 5213150 67
299 KI421885 1739925 2822259 26
346 KI421884 1930321 2742855 30
361 KI421885 5834209 5836324 1
361 KI421894 1551235 2322142 29
361 KI421907 310515 311138 1
418 KI421884 12102823 12105735 1
418 KI421886 5148642 5989208 29
418 KI421889 746 4365 1
431 KI421891 332213 1184433 43
442 KI421905 1334448 2239685 49
503 KI421886 5411097 5412113 1
503 KI421889 746 529069 30
503 KI421900 2896153 3512630 88
503 KI421940 145432 147594 1
538 KI421882 7631016 8522730 33
538 KI421896 1067115 1081200 1
624 KI421890 3070138 4513911 63
625 KI421882 17590197 18664666 42
625 KI421896 2404125 2404985 1
652 KI421887 4323907 5942883 36
675 KI421895 59099 71759 1
675 KI421899 36350 826297 17
675 KI421923 97908 121273 4
675 KI422040 4654 8052 1
763 KI421910 1264277 1313410 6
763 KI421913 60382 704652 18
