n  Var1 Freq  Where
2  KB668456   12  3R
7  KB668695   15  3R
11 KB668726   20  3R
14 KB668750    5  3R
16 KB668762    6  3R
17 KB668812    3  3R
21 KB668855    4  2R
23 KB668879    7  3R
25 KB668938    3  3R
33 KB669070   31  2L
34 KB669092   31  2L
35 KB669103   10  3R
39 KB669281   43  2L
40 KB669336   40  3R
