Gene stable ID,Strand
AATE000004,-1
AATE000005,-1
AATE000007,1
AATE000009,-1
AATE000011,-1
AATE000034,1
AATE000038,-1
AATE000041,-1
AATE000043,-1
AATE000047,-1
AATE000049,-1
AATE000052,1
AATE000053,1
AATE000058,1
AATE000060,-1
AATE000067,1
AATE000070,-1
AATE000071,1
AATE000072,1
AATE000081,1
AATE000082,-1
AATE000084,-1
AATE000086,-1
AATE000098,1
AATE000103,1
AATE000116,-1
AATE000117,-1
AATE000123,1
AATE000127,-1
AATE000129,1
AATE000134,-1
AATE000136,-1
AATE000140,1
AATE000144,-1
AATE000150,1
AATE000156,-1
AATE000157,1
AATE000160,1
AATE000164,-1
AATE000166,-1
AATE000168,1
AATE000175,-1
AATE000184,1
AATE000187,-1
AATE000195,-1
AATE000200,1
AATE000207,-1
AATE000209,-1
AATE000220,1
AATE000225,-1
AATE000231,-1
AATE000232,-1
AATE000246,1
AATE000254,-1
AATE000261,-1
AATE000263,1
AATE000273,1
AATE000275,1
AATE000276,-1
AATE000279,1
AATE000280,-1
AATE000281,1
AATE000288,-1
AATE000289,1
AATE000291,1
AATE000294,-1
AATE000295,1
AATE000299,-1
AATE000300,-1
AATE000302,-1
AATE000305,1
AATE000306,1
AATE000311,1
AATE000320,1
AATE000327,-1
AATE000336,-1
AATE000350,1
AATE000351,-1
AATE000352,1
AATE000353,1
AATE000365,-1
AATE000367,1
AATE000371,-1
AATE000373,1
AATE000375,1
AATE000378,-1
AATE000382,1
AATE000384,-1
AATE000390,1
AATE000396,1
AATE000407,1
AATE000412,-1
AATE000418,-1
AATE000419,-1
AATE000423,1
AATE000426,1
AATE000440,1
AATE000443,1
AATE000444,-1
AATE000447,1
AATE000454,-1
AATE000457,1
AATE000460,1
AATE000467,1
AATE000468,-1
AATE000471,-1
AATE000472,-1
AATE000476,-1
AATE000477,1
AATE000478,1
AATE000479,1
AATE000484,1
AATE000493,-1
AATE000507,-1
AATE000510,1
AATE000529,1
AATE000539,1
AATE000546,1
AATE000549,1
AATE000555,-1
AATE000559,1
AATE000564,1
AATE000566,1
AATE000577,-1
AATE000578,1
AATE000583,1
AATE000591,1
AATE000595,-1
AATE000601,-1
AATE000605,1
AATE000606,-1
AATE000607,1
AATE000609,-1
AATE000613,-1
AATE000623,-1
AATE000639,-1
AATE000640,-1
AATE000645,1
AATE000647,-1
AATE000657,1
AATE000659,-1
AATE000662,1
AATE000668,1
AATE000680,-1
AATE000688,-1
AATE000694,1
AATE000710,1
AATE000719,-1
AATE000736,1
AATE000753,1
AATE000759,1
AATE000763,1
AATE000767,-1
AATE000775,1
AATE000779,-1
AATE000786,-1
AATE000788,-1
AATE000791,1
AATE000792,-1
AATE000795,-1
AATE000800,1
AATE000802,-1
AATE000811,1
AATE000812,-1
AATE000813,1
AATE000817,1
AATE000821,-1
AATE000826,1
AATE000828,1
AATE000845,-1
AATE000847,1
AATE000850,1
AATE000851,-1
AATE000856,1
AATE000857,-1
AATE000860,1
AATE000863,-1
AATE000869,1
AATE000873,-1
AATE000874,1
AATE000878,1
AATE000879,-1
AATE000894,1
AATE000895,-1
AATE000898,-1
AATE000901,-1
AATE000915,-1
AATE000916,-1
AATE000943,-1
AATE000944,1
AATE000946,-1
AATE000950,-1
AATE000957,1
AATE000958,-1
AATE000960,1
AATE000965,1
AATE000969,-1
AATE000976,-1
AATE000978,-1
AATE000986,1
AATE000987,-1
AATE000989,-1
AATE000992,-1
AATE000996,-1
AATE000998,1
AATE001005,-1
AATE001011,-1
AATE001019,1
AATE001020,-1
AATE001024,-1
AATE001025,1
AATE001033,-1
AATE001040,-1
AATE001042,-1
AATE001046,-1
