"ensembl_gene_id" "chromosome_name" "start_position" "end_position" "strand" "chromosome_name.1" "start_position.1" "end_position.1" "strand.1"
"AALB004717" "e3" 77764271 230 -1 "e3" 118479915 4771 -1
"AALB005004" "e3" 82276539 312 -1 "e3" 127774798 728 1
"AALB005551" "e3" 88959881 1228 1 "e3" 126317595 587 1
"AALB004339" "e3" 71742067 1219 -1 "e3" 98583961 1643 1
"AALB004383" "e3" 72098691 3936 1 "e3" 99671167 1306 -1
"AALB005518" "e3" 88581508 1647 -1 "e3" 130637960 1661 1
"AALB005306" "e3" 86252100 2356 1 "e3" 124760748 2539 1
"AALB006194" "e3" 97017633 1754 -1 "e3" 123515808 2250 1
"AALB006132" "e3" 96062377 650 -1 "e3" 113632150 848 -1
"AALB004978" "e3" 81822206 6959 -1 "e3" 94621216 7572 1
"AALB005896" "e3" 93054029 2957 1 "e3" 99979562 2790 1
"AALB007293" "e3" 64362806 14497 -1 "e3" 95630912 18558 1
"AALB007478" "e5" 168373686 37879 -1 "e3" 88227971 73459 1
"AALB004221" "e3" 69555514 1195 -1 "e3" 127127663 2335 -1
"AALB004221" "e3" 69555514 1195 -1 "e3" 127136432 1745 -1
"AALB004221" "e3" 69555514 1195 -1 "e3" 127141322 1392 -1
"AALB004651" "e3" 76714689 6875 1 "e3" 117267657 49605 -1
"AALB004651" "e3" 76714689 6875 1 "e3" 117267657 49605 -1
"AALB004651" "e3" 76714689 6875 1 "e3" 117267657 49605 -1
"AALB003693" "e5" 170262430 2493 1 "e3" 87464989 7120 -1
"AALB004074" "e5" 156651424 1182 1 "e3" 90362002 1896 1
"AALB015812" "e3" 87932126 1499 1 "e3" 133308048 1414 1
"AALB006215" "e3" 97297614 4476 1 "e3" 133666573 4028 -1
"AALB004966" "e3" 81746673 6604 1 "e3" 126036987 2072 -1
"AALB003212" "e3" 66513979 1829 1 "e3" 98059662 1587 1
"AALB004538" "e3" 75139383 1222 1 "e3" 132006274 16195 -1
"AALB004213" "e3" 69485698 1153 -1 "e3" 102853110 11295 -1
"AALB004362" "e3" 71956391 8554 -1 "e3" 98279423 8664 1
"AALB015744" "e3" 73351532 1795 1 "e3" 111502027 1666 -1
"AALB015694" "e3" 91002250 745 -1 "e3" 125189593 959 1
"AALB005537" "e3" 88793319 14630 -1 "e3" 102827356 8763 1
"AALB005041" "e3" 83002515 4206 1 "e3" 112663024 4945 1
"AALB003255" "e3" 66914237 2075 1 "e3" 114651367 4452 1
"AALB004288" "e3" 70757110 5135 -1 "e3" 110560214 13030 -1
"AALB004866" "e3" 80568316 4811 -1 "e3" 99250410 6792 1
"AALB005916" "e3" 93305183 7969 -1 "e3" 116546741 1641 1
"AALB005097" "e3" 83721133 500 1 "e3" 102072374 677 1
"AALB004125" "e3" 68478209 1772 -1 "e3" 122521745 905 1
"AALB006057" "e3" 95107071 1128 1 "e3" 112519704 1259 -1
"AALB005589" "e3" 89283464 452 -1 "e3" 120633479 452 1
"AALB004946" "e3" 81620257 1378 1 "e3" 102821882 845 1
"AALB004946" "e3" 81620257 1378 1 "e3" 129470783 882 -1
