Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Anopheles atroparvus gene stable ID,Anopheles atroparvus chromosome/scaffold,Anopheles atroparvus start (bp),Anopheles atroparvus end (bp),Anopheles gambiae gene stable ID,Anopheles gambiae chromosome/scaffold,Anopheles gambiae start (bp),Anopheles gambiae end (bp)
AALB003604,2R,39590442,39592019,-1,AATE001958,KI421892,6654588,6657074,AGAP004340,2R,54835347,54837595
AALB000835,2L,10909027,10914930,-1,AATE008111,KI421889,4165632,4172871,AGAP007833,3R,1524552,1529756
AALB010507,3R,14994524,14996215,1,,,,,AGAP012314,3L,40141661,40142970
AALB000091,2L,24381173,24383007,1,AATE007784,KI421882,719666,722865,AGAP009162,3R,27937090,27939199
AALB010823,3R,19928031,19929297,-1,AATE010403,KI421887,9282126,9286582,AGAP011768,3L,33033843,33059444
AALB003524,2R,40939868,40940155,1,,,,,,,,
AALB003884,3R,28325588,28326827,1,AATE013614,KI421909,1021999,1028780,AGAP012466,UNKN,4564723,4589021
AALB006965,3R,24323028,24325654,-1,AATE013325,KI421910,801878,805155,AGAP010878,3L,12382939,12385683
AALB002463,2R,13827091,13828271,1,AATE001800,KI421888,9643156,9645271,AGAP001586,2R,6483108,6485265
AALB005955,3L,29680697,29687456,1,AATE004021,KI421891,2904736,2906691,AGAP005527,2L,16639642,16647151
AALB005955,3L,29680697,29687456,1,AATE013941,KI421891,2902158,2904320,AGAP005527,2L,16639642,16647151
AALB010372,3R,12686251,12689054,1,AATE010823,KI421887,8726406,8727701,AGAP011843,3L,33982065,33983417
AALB003276,3L,3287529,3298615,-1,AATE006310,KI421884,2480023,2493230,AGAP006280,2L,29401810,29420308
AALB009092,2R,5614853,5624978,-1,AATE007954,KI421883,6269795,6280335,AGAP002982,2R,30519486,30529694
AALB000197,2L,21975214,21978338,1,AATE009117,KI421882,18665073,18668983,AGAP009509,3R,34973060,34976602
AALB001324,2L,37397719,37406354,1,AATE017111,KI421890,5906722,5915180,AGAP009649,3R,37609386,37618770
AALB005855,3L,28553091,28562542,1,AATE000915,KI421886,8729702,8738925,AGAP007143,2L,43565366,43573709
AALB003643,2R,39024118,39025464,1,AATE018148,KI421883,15324472,15325879,AGAP013335,2R,35834747,35836202
AALB004700,3L,13383996,13384827,-1,AATE021062,KI421884,6921868,6923066,AGAP005818,2L,21831271,21832371
AALB009170,2R,4624985,4625537,1,AATE011341,KI421888,2732270,2732903,AGAP002526,2R,22363492,22363828
AALB009720,2R,25939994,25941507,1,,,,,AGAP002462,2R,21814022,21815246
AALB001601,2L,33667829,33670460,-1,AATE018678,KI421882,18657648,18660315,AGAP009505,3R,34963390,34965774
AALB004354,3L,7761086,7761887,1,,,,,AGAP005226,2L,12529898,12531142
AALB010676,3R,17510816,17522477,-1,AATE005492,KI421887,9344140,9355953,AGAP011754,3L,32930392,32935636
AALB007474,3R,32759787,32765105,1,AATE016939,KI421900,100978,105115,AGAP004761,2L,3127125,3131480
AALB005952,3L,29665795,29666956,-1,AATE013663,KI421891,2924960,2926488,AGAP005532,2L,16667876,16669304
AALB007206,2R,17105795,17117581,-1,AATE007192,KI421897,1276133,1283726,AGAP003498,2R,38727580,38734134
AALB004426,3L,8977331,8978024,1,AATE000992,AXCP01008668,3447,3901,AGAP006060,2L,25928498,25928942
AALB015529,2L,20146120,20148540,1,AATE006416,KI421890,7183460,7185806,AGAP008022,3R,4326802,4328809
AALB010089,3R,7593249,7595478,1,AATE011094,KI421899,4274632,4294164,AGAP012303,3L,39944741,39946532
AALB003634,2R,39363504,39363877,1,AATE015436,KI421883,14991940,15004483,,,,
AALB008141,2R,31537462,31538792,-1,AATE002146,KI421885,6338282,6341241,AGAP013216,2R,30470183,30471474
AALB014720,2L,896,3861,1,,,,,,,,
AALB002336,2R,15629438,15631830,1,AATE009100,KI421885,202471,206421,AGAP004104,2R,49770246,49773314
AALB015281,3L,10890502,10890574,1,,,,,,,,
AALB000584,2L,14759993,14765797,-1,AATE006064,AXCP01007961,2181,10853,AGAP009965,3R,46822317,46847194
AALB015433,3L,27438980,27439051,-1,,,,,,,,
AALB004983,3L,17784501,17785256,-1,,,,,AGAP004929,2L,6114439,6115700
AALB015326,2R,38316085,38316218,-1,,,,,,,,
AALB006967,3R,24329704,24333442,-1,AATE008777,KI421910,794182,798457,AGAP010876,3L,12372349,12376747
AALB003672,2R,38749314,38751475,1,AATE001020,KI421883,1592257,1595276,AGAP002616,2R,24231454,24233965
AALB010329,3R,12033192,12038197,-1,,,,,,,,
AALB004007,3R,21903973,21904284,-1,,,,,,,,
AALB005826,3L,28177712,28181369,1,,,,,,,,
AALB000334,2L,19765917,19774386,-1,AATE007625,KI421889,5103411,5109902,AGAP028135,3R,3840237,3845812
AALB005397,3L,23180781,23185072,1,AATE017742,KI421884,13299864,13313152,AGAP007616,2L,48329865,48333814
AALB010169,3R,9580848,9581894,1,AATE002735,AXCP01009626,1324,1746,AGAP010907,3L,12834352,12835048
AALB010169,3R,9580848,9581894,1,AATE002735,AXCP01009626,1324,1746,AGAP010906,3L,12832944,12833597
AALB010169,3R,9580848,9581894,1,AATE002735,AXCP01009626,1324,1746,AGAP010904,3L,12827073,12827896
AALB010169,3R,9580848,9581894,1,AATE002735,AXCP01009626,1324,1746,AGAP010908,3L,12836889,12837641
AALB010169,3R,9580848,9581894,1,AATE002735,AXCP01009626,1324,1746,AGAP010905,3L,12829704,12830357
AALB010169,3R,9580848,9581894,1,AATE002735,AXCP01009626,1324,1746,AGAP010903,3L,12824717,12825469
AALB007385,3R,27456237,27457774,1,AATE007064,KI421902,6160,8445,AGAP011324,3L,21086277,21087861
AALB003849,3R,1765379,1767330,-1,AATE002722,KI421887,5285176,5287203,AGAP011611,3L,29699398,29701346
AALB003798,3R,879465,890567,1,AATE004279,KI421887,7311587,7329850,AGAP012424,3L,41924090,41939037
AALB002093,2R,22525547,22527679,-1,AATE013861,KI421885,5155224,5191545,,,,
AALB003738,3R,237779,238036,-1,,,,,AGAP011907,3L,34829904,34830161
AALB004764,3L,14321768,14327212,-1,,,,,AGAP004814,2L,3825668,3826851
AALB004196,3L,5243644,5244960,1,AATE018977,KI421886,1104359,1105702,AGAP005116,2L,10239044,10240388
AALB015236,3R,14303973,14304045,1,,,,,,,,
AALB004584,3L,11821135,11822017,1,AATE002901,KI421905,720622,721483,AGAP004906,2L,5793347,5794156
AALB005252,3L,21314226,21315434,1,AATE014021,KI421891,58049,59722,AGAP006570,2L,34168871,34170407
AALB009910,3R,4493230,4504246,-1,AATE003783,KI421893,1605103,1620518,AGAP011036,3L,15327979,15341249
AALB007282,2R,16010132,16010560,-1,,,,,,,,
AALB003588,2R,40072457,40073741,1,,,,,,,,
AALB002379,2R,15077330,15085692,-1,AATE010062,KI421897,3474122,3484718,AGAP002920,2R,29612435,29614756
AALB002379,2R,15077330,15085692,-1,AATE001864,KI421897,3486011,3487378,AGAP002920,2R,29612435,29614756
AALB008027,2L,3000921,3001527,1,AATE020219,KI421893,6057979,6059147,,,,
AALB010125,3R,8483744,8485402,1,AATE003384,KI421893,2928888,2930534,AGAP012003,3L,36083603,36085215
AALB009680,2R,25332767,25334270,-1,AATE018735,KI421883,1978665,1980404,AGAP002609,2R,23847727,23849797
AALB002933,2R,51042510,51043150,-1,AATE004489,KI421900,1254417,1255379,AGAP010278,3R,51946679,51947433
AALB002645,2R,10861033,10862060,1,AATE008063,KI421883,4989851,4993248,AGAP004011,2R,47862452,47863669
AALB007986,2L,2055317,2056542,-1,AATE009894,KI421889,7679111,7680576,AGAP007805,3R,1256662,1257961
AALB002395,2R,14553836,14561417,-1,AATE010706,KI421897,4118948,4124809,AGAP002757,2R,26717517,26747494
AALB009801,3R,3107037,3109052,1,AATE013249,KI421887,3142734,3144587,AGAP011440,3L,24728596,24730374
AALB005624,3L,25720612,25721025,-1,AATE001396,KI421884,229506,230280,,,,
AALB005000,3L,18046373,18049849,1,AATE001079,KI421886,5256298,5268251,AGAP007058,2L,42005592,42054271
AALB005057,3L,19087374,19088957,-1,AATE011220,KI421886,1596173,1598369,AGAP006596,2L,34540786,34542564
AALB010865,2R,49237437,49239986,1,AATE003132,KI421885,1071302,1133287,AGAP003672,2R,41704669,41731909
AALB001423,2L,36152064,36152717,1,AATE017759,KI421882,19613060,19614747,AGAP007886,3R,2472343,2495188
AALB014269,2R,44548737,44555057,1,,,,,,,,
AALB010756,3R,18929987,18932322,1,,,,,AGAP011106,3L,16999794,17000635
AALB003658,2R,38881321,38887879,-1,AATE013103,KI421898,3561927,3580148,AGAP000095,X,1550317,1558031
AALB015682,2R,45270144,45271116,-1,AATE004497,KI421885,10180298,10181294,AGAP012838,UNKN,33265988,33266657
AALB015682,2R,45270144,45271116,-1,AATE004497,KI421885,10180298,10181294,AGAP004380,2R,55504530,55505309
AALB000493,2L,16911164,16919546,1,,,,,,,,
AALB004409,3L,8332558,8333352,-1,AATE000980,KI421884,4173726,4175047,,,,
AALB007888,2L,765682,776133,-1,AATE016752,KI421900,893358,906656,AGAP010245,3R,51542864,51554877
AALB008253,2R,30120952,30126022,-1,,,,,AGAP003929,2R,46370360,46374845
AALB015360,3L,3712244,3712316,1,,,,,,,,
AALB004609,3L,12115077,12127014,1,AATE002107,KI421886,92416,96253,AGAP005610,2L,17839133,17841156
AALB004609,3L,12115077,12127014,1,AATE002107,KI421886,92416,96253,AGAP005612,2L,17845652,17848220
AALB004609,3L,12115077,12127014,1,AATE001162,KI421886,99152,101122,AGAP005610,2L,17839133,17841156
AALB004609,3L,12115077,12127014,1,AATE001162,KI421886,99152,101122,AGAP005612,2L,17845652,17848220
AALB000480,2L,17158768,17161274,1,AATE004348,KI421889,6844394,6846992,AGAP028027,3R,19492228,19495922
AALB000259,2L,20996192,20996935,1,AATE004967,KI421882,2740115,2740861,AGAP008913,3R,20742390,20743133
AALB007248,2R,16547908,16549308,1,AATE018798,KI421883,12766873,12794475,,,,
AALB010711,3R,18032191,18034398,1,AATE013430,KI421887,3305625,3306898,AGAP010768,3L,10101189,10102363
AALB015447,2L,13794816,13795009,1,,,,,,,,
AALB005786,3L,27797683,27804217,1,AATE015581,KI421884,6370582,6373704,AGAP005963,2L,24098156,24105375
AALB010818,3R,19880993,19887204,-1,AATE003356,KI421887,9326464,9329993,AGAP011759,3L,32964876,32969643
AALB001129,2L,5594136,5598435,-1,,,,,,,,
AALB002693,2R,10234175,10242324,-1,AATE012399,KI421888,5303918,5313221,AGAP001338,2R,3313345,3317264
AALB007953,2L,1621715,1624460,1,AATE005106,KI421889,408268,409878,AGAP010063,3R,48531854,48533449
AALB002135,2R,21464663,21469733,1,AATE012283,KI421892,428452,434437,AGAP003560,2R,39524664,39530336
AALB002115,2R,22012850,22019919,1,AATE013599,KI421904,381215,389348,AGAP002324,2R,19567983,19574991
AALB007927,2L,1230075,1238028,-1,AATE004370,KI421900,3444024,3444964,AGAP010109,3R,49182656,49183063
AALB007927,2L,1230075,1238028,-1,AATE004370,KI421900,3444024,3444964,AGAP010124,3R,49242946,49243750
AALB007927,2L,1230075,1238028,-1,AATE004370,KI421900,3444024,3444964,AGAP010123,3R,49239832,49240516
AALB007927,2L,1230075,1238028,-1,AATE019312,KI421900,3441656,3442487,AGAP010109,3R,49182656,49183063
AALB007927,2L,1230075,1238028,-1,AATE019312,KI421900,3441656,3442487,AGAP010124,3R,49242946,49243750
AALB007927,2L,1230075,1238028,-1,AATE019312,KI421900,3441656,3442487,AGAP010123,3R,49239832,49240516
AALB010056,3R,7176000,7178764,1,AATE020190,KI421893,6723267,6747876,AGAP011722,3L,32342400,32369675
AALB002907,2R,50748575,50753203,-1,,,,,AGAP004662,2R,60236329,60253235
AALB015479,3R,32609451,32611098,-1,,,,,AGAP004716,2L,2624121,2627818
AALB003820,3R,1178957,1180326,-1,AATE009430,KI421887,8330241,8334779,AGAP011871,3L,34557291,34564047
AALB003848,3R,1705151,1710856,1,AATE017261,KI421887,5351812,5371470,AGAP011613,3L,29770428,29786628
AALB014258,2R,10323221,10327550,1,,,,,,,,
AALB009612,2R,24377857,24380950,-1,AATE002944,KI421904,792784,796587,AGAP003156,2R,33394891,33398678
AALB015753,2R,37622164,37623286,1,,,,,AGAP003801,2R,43446359,43447522
AALB006220,3L,33208187,33211165,-1,AATE016843,KI421884,11330838,11332265,AGAP007571,2L,47767477,47768802
AALB015607,2R,22785072,22785769,1,AATE014321,KI421885,9964393,9965112,AGAP004165,2R,51003621,51004250
AALB005037,3L,18837371,18842163,1,AATE016657,KI421891,4283751,4294604,,,,
AALB002704,2R,10128921,10129734,-1,AATE016727,KI421888,5183647,5186225,AGAP001956,2R,12803734,12805105
AALB002704,2R,10128921,10129734,-1,AATE016727,KI421888,5183647,5186225,AGAP013106,2R,12806068,12806668
AALB010489,3R,14344898,14349244,-1,AATE021187,KI421887,2423737,2429617,AGAP028631,3L,38113091,38119065
AALB005520,3L,24470425,24474278,1,AATE011588,KI421905,1511908,1515649,AGAP007258,2L,44757513,44761001
AALB009101,2R,5459963,5460648,1,AATE014527,KI421883,6531310,6531900,AGAP002994,2R,30716523,30717472
AALB014724,2L,444507,444852,-1,,,,,,,,
AALB005950,3L,29640721,29651603,-1,AATE021150,KI421891,2941762,2944161,AGAP007119,2L,43040522,43043135
AALB010199,3R,9962901,9964312,1,AATE009777,KI421899,2693266,2695200,,,,
AALB008987,2R,7169328,7171061,-1,AATE019491,KI421888,9845591,9847324,AGAP002859,2R,28420677,28511124
AALB009750,3L,128210,133241,-1,AATE000869,KI421922,242618,256819,AGAP004692,2L,1411011,1441380
AALB001346,2L,36931303,36991297,1,AATE008123,KI421882,19407253,19479619,AGAP009554,3R,36050238,36117882
AALB014955,3R,10750081,10751468,1,,,,,,,,
AALB001655,2L,32554349,32555487,1,,,,,AGAP009434,3R,33482026,33483551
AALB005560,3L,24894508,24897963,1,AATE004399,KI421891,4508210,4511708,AGAP006993,2L,40509763,40513184
AALB001571,2L,33977080,33993093,1,AATE010903,KI421882,8624671,8629860,AGAP009821,3R,43801376,43802935
AALB006123,3L,31822661,31823510,-1,AATE010777,KI421884,1892931,1894171,AGAP005534,2L,16691245,16692514
AALB000697,2L,13098321,13103825,1,,,,,,,,
AALB005761,3L,27414671,27415747,1,AATE011833,KI421891,3144661,3145728,AGAP007107,2L,42819885,42821706
AALB009146,2R,4899662,4907303,1,AATE001488,KI421888,8290319,8295770,AGAP001533,2R,5920731,5925849
AALB003756,3R,439622,451437,-1,AATE003020,KI421887,7865577,7867811,AGAP028680,3L,35219093,35222670
AALB015059,2R,19936171,19936244,1,,,,,,,,
AALB003385,2R,42682332,42685247,-1,AATE002725,KI421892,5442167,5447139,AGAP003408,2R,37449580,37453527
AALB003385,2R,42682332,42685247,-1,AATE002725,KI421892,5442167,5447139,AGAP012641,UNKN,21981187,21984631
AALB002375,2R,15139007,15139720,-1,,,,,,,,
AALB000858,2L,10684371,10690954,-1,AATE019614,KI421889,733880,735629,,,,
