# genome1: genome1
# genome2: genome2
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign
1 e1 192291 14850 1 e1 10366938 16007 1
2 e1 212901 38909 1 e1 4573490 27680 1
3 e1 503319 125023 1 e1 10765579 119277 -1
4 e1 740684 47178 1 e1 10183899 39835 1
5 e1 803396 221771 1 e1 6270279 226953 1
6 e1 1048365 378144 1 e1 855352 358357 1
7 e1 1428544 32415 1 e1 704012 46879 1
8 e1 1521813 13053 1 e1 1251404 16103 1
9 e1 1574720 46001 1 e1 10049149 32919 -1
10 e1 1752973 40539 1 e1 15246263 33777 1
11 e1 1944205 3503 1 e1 4891164 3893 -1
12 e1 2001189 25296 1 e1 13464436 35421 1
13 e1 2190074 350789 1 e1 14274418 305271 1
14 e1 2832353 14088 1 e1 12441791 13125 -1
15 e1 2912516 58220 1 e1 6201897 50956 1
16 e1 2992904 28880 1 e1 10235530 27565 1
17 e1 3120259 138075 1 e1 5963694 211219 -1
18 e1 3463792 18912 1 e1 10386855 17239 1
19 e1 4169109 239889 1 e1 15756964 262065 1
20 e1 4414895 108039 1 e1 7020720 86358 1
21 e1 4524427 41473 1 e1 13979169 42098 1
22 e1 4598047 6625 1 e1 12196382 5873 -1
23 e1 4919509 72488 1 e1 3967130 74003 1
24 e1 5008876 34839 1 e1 4818732 33198 1
25 e1 5401645 77995 1 e1 305361 52153 1
26 e1 5489431 187096 1 e1 478015 224843 -1
27 e1 5679568 101094 1 e1 26381 109962 -1
28 e1 5789782 146414 1 e1 11634373 85511 1
29 e1 5961988 214874 1 e1 10461351 169250 1
30 e1 6348617 199567 1 e1 11339232 174214 1
31 e1 6777035 89006 1 e1 5168911 76406 1
32 e1 6869814 6262 1 e1 12455729 4593 -1
33 e1 6905029 48951 1 e1 3233029 30263 -1
34 e1 7114418 118260 1 e1 13762769 85623 -1
35 e1 7252391 27649 1 e1 3886407 14281 -1
36 e1 7310219 59113 1 e1 4050980 42930 -1
37 e1 7385776 14997 1 e1 3913142 8663 1
38 e1 7638218 33040 1 e1 7415329 21598 -1
39 e1 7694969 22669 1 e1 7642114 14368 -1
40 e1 7784541 51032 1 e1 3924113 33325 1
41 e1 7850066 260086 1 e1 4954852 172952 -1
42 e1 8123859 132493 1 e1 12934801 119390 -1
43 e1 8271710 88173 1 e1 13109877 33833 1
44 e1 8442607 66926 1 e1 12494762 38746 1
45 e1 8635241 116669 1 e1 15406692 141640 1
46 e1 8827758 61670 1 e1 13910750 35048 1
47 e1 8960239 5289 1 e2 140622824 2234 -1
48 e1 9460831 27184 1 e1 10287218 20764 1
49 e1 9590751 79730 1 e1 3725597 60759 -1
50 e1 9691789 162407 1 e1 15651774 52003 1
51 e1 9874701 51521 1 e1 4606476 37058 1
52 e1 9935268 158012 1 e1 10891307 132050 -1
53 e1 10177933 322963 1 e1 2015180 256918 -1
54 e1 10537708 66417 1 e1 13501525 28562 -1
55 e1 10699414 124289 1 e1 7108562 67018 1
56 e1 11229218 7312 1 e1 9884435 7110 1
57 e1 11240599 17627 1 e1 13210436 18114 1
58 e1 11263541 14971 1 e1 10309551 8981 -1
59 e1 11356530 55410 1 e1 12736033 42901 -1
60 e1 11655373 31192 1 e1 4343972 42653 1
61 e1 11783528 41210 1 e1 5285051 103007 -1
62 e1 12106448 63234 1 e1 5905142 51482 1
63 e1 12174016 436367 1 e1 2337269 390773 1
64 e1 12622062 84881 1 e1 4780015 22887 1
65 e1 12726946 160002 1 e1 13349073 87352 -1
66 e1 13096618 132420 1 e1 3013724 104953 1
67 e1 13371220 119520 1 e1 11200211 71632 1
68 e1 13503601 164415 1 e1 13661446 100857 -1
69 e1 13740179 45264 1 e1 4237375 23857 1
70 e1 13786756 26533 1 e1 10263165 19114 1
71 e1 13819940 39475 1 e1 13948203 29090 -1
72 e1 13882785 29442 1 e1 4183558 19486 1
73 e1 13917965 60472 1 e1 6630402 50777 1
74 e1 14272803 121179 1 e1 9141818 104358 1
75 e1 14447354 424532 1 e1 1317265 413252 1
76 e1 14912127 408777 1 e1 12211885 131408 1
77 e1 15336218 35166 1 e1 11595325 32571 1
78 e1 15536995 11839 1 e1 449055 5472 1
79 e1 15552854 321703 1 e1 3264055 217947 1
80 e1 16089585 48723 1 e1 12170163 25753 -1
