"alb_id";"alb_chr";"alb_start";"alb_end";"alb_strand";"atr_id";"atr_chr";"atr_start";"atr_end";"atr_strand";"gam_id";"gam_chr";"gam_start";"gam_end";"gam_strand";"sin_id";"sin_chr";"sin_start";"sin_end";"sin_strand"
"AALB006194";"3L";169489982;169491736;-1;"AATE019474";"2L";96004017;96006547;1;"AGAP006740";"2L";123318282;123320532;1;"ASIC019092";"2L";43894424;43894538;-1
"AALB010798";"3R";121612112;121614412;1;"AATE018839";"3L";188482356;188484598;1;"AGAP012333";"3L";228840024;228841827;-1;"ASIC018026";"3L";81276761;81276768;-1
"AALB006132";"3L";168534726;168535376;-1;"AATE010871";"2L";94971528;94972491;-1;"AGAP006177";"2L";113434624;113435472;-1;"ASIC018963";"2L";44881604;44881775;1
"AALB004978";"3L";154294555;154301514;-1;"AATE000227";"2L";83983258;83992795;-1;"AGAP005042";"2L";94423690;94431262;1;"ASIC019224";"2L";45283944;45284021;1
"AALB010380";"3R";114658782;114660646;1;"AATE008287";"3L";170339069;170344428;1;"AGAP011835";"3L";222027516;222029385;-1;"ASIC018187";"3L";77131201;77132654;-1
"AALB001091";"2L";70227424;70228407;-1;"AATE015486";"2R";36705959;36706963;1;"AGAP008746";"3R";151876424;151885241;-1;"ASIC006567";"2R";18072651;18072804;-1
"AALB003837";"3R";103468412;103473958;-1;"AATE020893";"3L";167105038;167111598;1;"AGAP011620";"3L";218136364;218142093;1;"ASIC017453";"3L";67243720;67244011;1
"AALB010373";"3R";114620721;114621397;-1;"AATE008368";"3L";170293299;170294603;-1;"AGAP011842";"3L";222094651;222095524;1;"ASIC018180";"3L";77175333;77175386;1
"AALB014160";"2L";97627822;97629168;-1;"AATE001557";"2R";17666135;17667505;1;"AGAP009507";"3R";169987499;169988689;-1;"ASIC007234";"2R";14197259;14197366;1
"AALB015812";"3L";160404475;160405974;1;"AATE011031";"2L";73111369;73112364;-1;"AGAP007543";"2L";133110522;133111936;1;"ASIC019864";"2L";48840039;48840592;-1
"AALB006215";"3L";169769963;169774439;1;"AATE015284";"3R";112627701;112632117;-1;"AGAP007578";"2L";133469047;133473075;-1;"ASIC007711";"X";12121763;12121864;1
"AALB010014";"3R";108174498;108175862;1;"AATE003769";"3L";171422275;171423642;1;"AGAP012100";"3L";225759537;225760871;1;"ASIC018236";"3L";76805278;76805289;-1
"AALB001749";"2L";94261673;94263466;1;"AATE000329";"2R";20386164;20387939;1;"AGAP008427";"3R";145619354;145621174;-1;"ASIC006418";"2R";16809810;16811558;1
"AALB003212";"3L";138986328;138988157;1;"AATE019296";"2L";83642942;83644570;1;"AGAP005198";"2L";97862136;97863723;1;"ASIC019033";"2L";45605506;45606398;-1
