orthology group;albimanus genes and  coordinates;;;;;atroparvus genes and  coordinates;;;;;gambiae genes and  coordinates;;;;;stephensi Indian genes and  coordinates;;;;
MZ22500067;AALB006398;alb-e1;6805053;6830517;+;AATE017606;atr-e1;2265706;2276054;-;AGAP000222;gam-e1;4133151;4163649;+;ASTEI01084;stI-e1;10303189;10327218;+
MZ22500132;AALB006441;alb-e1;6363950;6371475;-;AATE016512;atr-e1;4903157;4927013;+;AGAP000368;gam-e1;6777035;6802684;+;ASTEI06282;stI-e1;15135326;15150728;+
MZ22500133;AALB006906;alb-e1;582193;601405;+;AATE010832;atr-e1;9990947;10007005;+;AGAP000017;gam-e1;212901;233685;+;ASTEI01226;stI-e1;13155883;13177255;+
MZ22500172;AALB003331;alb-e1;10433019;10454739;+;AATE002183;atr-e1;7134281;7147974;-;AGAP000810;gam-e1;14841697;14871886;-;ASTEI07020;stI-e1;8319206;8333074;-
MZ22500205;AALB006920;alb-e1;408286;423285;+;AATE010030;atr-e1;1522700;1541550;-;AGAP001015;gam-e1;19495565;19526057;-;ASTEI03529;stI-e1;1746979;1772884;+
MZ22500211;AALB006491;alb-e1;5901633;5922005;+;AATE021145;atr-e1;9357672;9361869;-;AGAP000443;gam-e1;7797031;7815108;-;ASTEI01027;stI-e1;9008433;9023908;+
MZ22500219;AALB006880;alb-e1;1000698;1010744;-;AATE006248;atr-e1;5697940;5721687;-;AGAP000198;gam-e1;3235428;3258334;+;ASTEI03510;stI-e1;2196251;2205949;-
MZ22500230;AALB006448;alb-e1;6303721;6315085;+;AATE003174;atr-e1;3360111;3371445;+;AGAP000015;gam-e1;192291;201940;+;ASTEI01223;stI-e1;13132008;13141534;+
MZ22500251;AALB006685;alb-e1;3414147;3423282;+;AATE010226;atr-e1;5678251;5690870;+;AGAP000685;gam-e1;12160909;12169682;-;ASTEI01163;stI-e1;11666796;11674048;-
MZ22500294;AALB007757;alb-e1;10973907;10986486;+;AATE005256;atr-e1;9568947;9584764;-;AGAP000659;gam-e1;11733475;11745014;-;ASTEI07768;stI-e1;3791944;3807455;-
MZ22500326;AALB006560;alb-e1;4929513;4938667;-;AATE011314;atr-e1;526523;538097;+;AGAP000893;gam-e1;16803740;16812325;-;ASTEI03489;stI-e1;2662107;2670504;-
MZ22500342;AALB006859;alb-e1;1242073;1246270;-;AATE018475;atr-e1;13985849;14002825;+;AGAP000300;gam-e1;5338077;5360330;-;ASTEI07834;stI-e1;3063438;3078482;+
MZ22500352;AALB006351;alb-e1;7686604;7699433;+;AATE014256;atr-e1;6143761;6155788;-;AGAP000058;gam-e1;932591;947534;-;ASTEI06197;stI-e1;13948867;13961167;-
MZ22500360;AALB006657;alb-e1;3915452;3927727;+;AATE016467;atr-e1;14738826;14744602;-;AGAP000829;gam-e1;15355731;15364742;+;ASTEI01062;stI-e1;9379370;9387399;-
MZ22500361;AALB006682;alb-e1;3439212;3446321;-;AATE008218;atr-e1;4764088;4774498;+;AGAP000461;gam-e1;7976367;8003775;-;ASTEI01012;stI-e1;8874119;8882159;+
MZ22500362;AALB006942;alb-e1;165520;173724;-;AATE001169;atr-e1;13597427;13604790;-;AGAP000635;gam-e1;11387693;11397817;+;ASTEI06251;stI-e1;14788279;14795108;+
MZ22500389;AALB006641;alb-e1;4107762;4120504;-;AATE021170;atr-e1;6220450;6231478;+;AGAP000065;gam-e1;1013491;1025167;+;ASTEI06203;stI-e1;14030779;14043113;+
MZ22500438;AALB006355;alb-e1;7637807;7645900;-;AATE010761;atr-e1;6193203;6206887;+;AGAP000064;gam-e1;986837;1000922;+;ASTEI06201;stI-e1;14005714;14012849;+
MZ22500634;AALB006423;alb-e1;6446722;6454201;-;AATE013188;atr-e1;10228438;10233417;+;AGAP000273;gam-e1;4997982;5005862;+;ASTEI07807;stI-e1;3406728;3412251;+
MZ22500687;AALB006577;alb-e1;4790543;4810472;-;AATE010215;atr-e1;4846561;4854924;+;AGAP013275;gam-e1;7860156;7871725;-;ASTEI01022;stI-e1;8967158;8982468;+
MZ22500779;AALB007729;alb-e1;9694261;9709365;+;AATE017079;atr-e1;13435140;13444173;+;AGAP001035;gam-e1;19923244;19929520;-;ASTEI03547;stI-e1;1471281;1478107;+
MZ22500847;AALB006738;alb-e1;2834254;2847072;-;AATE012485;atr-e1;12210046;12224181;+;AGAP000904;gam-e1;17079069;17099382;+;ASTEI03496;stI-e1;2562841;2584913;-
MZ22500869;AALB006648;alb-e1;3999969;4011097;-;AATE006243;atr-e1;11856008;11861516;-;AGAP000153;gam-e1;2466316;2477593;+;ASTEI03571;stI-e1;1027290;1038244;+
MZ22500878;AALB006324;alb-e1;8020593;8031385;-;AATE018478;atr-e1;8525250;8536134;+;AGAP000727;gam-e1;13212860;13229038;+;ASTEI10572;stI-e1;15550946;15562570;-
MZ22500931;AALB006469;alb-e1;6066196;6075516;-;AATE002246;atr-e1;12725687;12739011;+;AGAP000747;gam-e1;13683500;13699672;+;ASTEI06997;stI-e1;8680544;8687425;+
MZ22500934;AALB006618;alb-e1;4417685;4424440;+;AATE019112;atr-e1;6668861;6676783;+;AGAP000090;gam-e1;1521813;1527249;+;ASTEI06232;stI-e1;14529284;14534505;+
MZ22500944;AALB006463;alb-e1;6152932;6167223;+;AATE017381;atr-e1;12600589;12623710;-;AGAP013042;gam-e1;13503601;13533093;-;ASTEI07005;stI-e1;8519718;8524718;-
MZ22501014;AALB006724;alb-e1;2961069;2969173;-;AATE012835;atr-e1;5175545;5186979;-;AGAP000870;gam-e1;16247460;16258053;-;ASTEI01192;stI-e1;12467211;12486422;+
MZ22501039;AALB006719;alb-e1;3033081;3039994;+;AATE017943;atr-e1;9621599;9634806;+;AGAP000898;gam-e1;16961686;16969738;-;ASTEI03491;stI-e1;2646703;2652743;+
