"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"AFUN009523";"KB668278";446466;449725;-1
"AFUN010952";"KB668456";31361;32684;1
"AFUN010955";"KB668456";47724;50474;1
"AFUN010956";"KB668456";52586;54397;-1
"AFUN010973";"KB668456";261504;273481;1
"AFUN010971";"KB668456";227542;228500;1
"AFUN010976";"KB668456";324546;326612;1
"AFUN010978";"KB668456";473598;480520;-1
"AFUN010977";"KB668456";447611;450796;1
"AFUN010984";"KB668456";579038;582450;1
"AFUN010958";"KB668456";95908;97789;-1
"AFUN010974";"KB668456";284897;289490;-1
"AFUN010979";"KB668456";488242;490493;-1
"AFUN000066";"KB668544";100061;100522;-1
"AFUN000065";"KB668544";96555;97311;-1
"AFUN000059";"KB668544";32370;36176;1
"AFUN000057";"KB668544";2276;4064;-1
"AFUN000070";"KB668544";157822;158673;-1
"AFUN000060";"KB668544";41506;46405;1
"AFUN000063";"KB668544";69525;75920;-1
"AFUN000584";"KB668567";217244;217915;1
"AFUN000578";"KB668567";184562;185808;1
"AFUN000587";"KB668567";231738;235810;-1
"AFUN000586";"KB668567";223858;230586;1
"AFUN000583";"KB668567";212780;213670;-1
"AFUN000585";"KB668567";218200;222184;-1
"AFUN000581";"KB668567";203628;208280;1
"AFUN000582";"KB668567";209004;216055;1
"AFUN000592";"KB668567";319867;330449;-1
"AFUN002149";"KB668668";420944;421567;1
"AFUN008459";"KB668669";322375;324301;-1
"AFUN008461";"KB668669";370546;371948;-1
"AFUN008458";"KB668669";311596;322179;1
"AFUN008466";"KB668669";458060;460146;1
"AFUN008469";"KB668669";492853;495893;-1
"AFUN008473";"KB668669";529771;537041;-1
"AFUN008483";"KB668669";598264;600997;1
"AFUN008475";"KB668669";556331;570110;-1
"AFUN008482";"KB668669";596880;597831;-1
"AFUN008474";"KB668669";539868;547278;1
"AFUN008460";"KB668669";325189;336700;1
"AFUN008464";"KB668669";382450;386864;1
"AFUN008467";"KB668669";461811;463624;1
"AFUN008481";"KB668669";594785;596407;1
"AFUN008470";"KB668669";498002;521085;1
"AFUN008465";"KB668669";395272;396675;-1
"AFUN008479";"KB668669";591771;593021;-1
"AFUN008478";"KB668669";588998;591673;1
"AFUN008468";"KB668669";468150;489975;1
"AFUN001888";"KB669092";248242;253636;1
"AFUN007294";"KB669125";87334;91297;1
"AFUN004880";"KB668695";281169;282849;-1
"AFUN004879";"KB668695";257035;267269;1
"AFUN004858";"KB668695";26906;30751;-1
"AFUN004861";"KB668695";49206;55617;1
"AFUN004865";"KB668695";73142;85911;-1
"AFUN004856";"KB668695";8855;16576;1
"AFUN004857";"KB668695";22115;24835;1
"AFUN004860";"KB668695";33591;36273;1
"AFUN004882";"KB668695";286577;288647;1
"AFUN004883";"KB668695";299615;306722;1
"AFUN004884";"KB668695";307182;310332;-1
"AFUN004890";"KB668695";476697;478931;-1
"AFUN008171";"KB668696";335698;337858;1
"AFUN007604";"KB668704";48431;51582;1
"AFUN007004";"KB668722";7148;10818;-1
"AFUN007006";"KB668722";39904;40726;1
"AFUN007013";"KB668722";82629;84821;1
"AFUN007005";"KB668722";23083;27219;-1
"AFUN007009";"KB668722";57147;58822;-1
"AFUN007011";"KB668722";61323;61872;-1
"AFUN007008";"KB668722";55636;56717;1
"AFUN007020";"KB668722";359624;361408;1
"AFUN015735";"KB668695";328150;365369;-1
"AFUN000441";"KB668726";651601;651882;1
"AFUN000442";"KB668726";669420;675514;1
"AFUN000505";"KB668726";1260782;1276785;1
"AFUN000440";"KB668726";640920;645867;1
"AFUN000496";"KB668726";1148005;1152827;1
"AFUN000443";"KB668726";685924;690589;1
"AFUN000439";"KB668726";606524;611182;-1
"AFUN000436";"KB668726";591440;596274;1
"AFUN000438";"KB668726";599226;604612;1
"AFUN000453";"KB668726";767135;770884;-1
"AFUN000450";"KB668726";755388;758832;1
"AFUN000449";"KB668726";752831;754172;-1
"AFUN000503";"KB668726";1231479;1242374;1
"AFUN000494";"KB668726";1094478;1125317;-1
"AFUN000437";"KB668726";597446;598791;-1
"AFUN000452";"KB668726";762567;766245;1
"AFUN000447";"KB668726";723727;725957;-1
"AFUN000451";"KB668726";759408;761824;-1
"AFUN008485";"KB668741";45891;50209;1
"AFUN008490";"KB668741";170641;175837;1
"AFUN008491";"KB668741";177501;181201;1
"AFUN008500";"KB668741";259330;260296;-1
"AFUN008496";"KB668741";214738;219781;-1
"AFUN008497";"KB668741";221715;236698;1
"AFUN008498";"KB668741";237909;239847;1
"AFUN008499";"KB668741";240342;257407;1
"AFUN008501";"KB668741";261271;263983;1
"AFUN008509";"KB668741";369681;370331;-1
"AFUN008510";"KB668741";371321;372351;-1
"AFUN008503";"KB668741";303809;307511;-1
