alb_id alb_chr alb_start alb_end alb_strand atr_chr atr_start atr_end atr_strand gam_chr gam_start gam_end gam_strand sin_chr sin_start sin_end sin_strand
AALB006194 3L 169489982 1754 -1 2L 96004017 2530 1 2L 123318282 2250 1 2L 43894424 114 -1
AALB010798 3R 121612112 2300 1 3L 188482356 2242 1 3L 228840024 1803 -1 3L 81276761 7 -1
AALB006132 3L 168534726 650 -1 2L 94971528 963 -1 2L 113434624 848 -1 2L 44881604 171 1
AALB004978 3L 154294555 6959 -1 2L 83983258 9537 -1 2L 94423690 7572 1 2L 45283944 77 1
AALB010380 3R 114658782 1864 1 3L 170339069 5359 1 3L 222027516 1869 -1 3L 77131201 1453 -1
AALB001091 2L 70227424 983 -1 2R 36705959 1004 1 3R 151876424 8817 -1 2R 18072651 153 -1
AALB003837 3R 103468412 5546 -1 3L 167105038 6560 1 3L 218136364 5729 1 3L 67243720 291 1
AALB010373 3R 114620721 676 -1 3L 170293299 1304 -1 3L 222094651 873 1 3L 77175333 53 1
AALB014160 2L 97627822 1346 -1 2R 17666135 1370 1 3R 169987499 1190 -1 2R 14197259 107 1
AALB015812 3L 160404475 1499 1 2L 73111369 995 -1 2L 133110522 1414 1 2L 48840039 553 -1
AALB006215 3L 169769963 4476 1 3R 112627701 4416 -1 2L 133469047 4028 -1 X 12121763 101 1
AALB010014 3R 108174498 1364 1 3L 171422275 1367 1 3L 225759537 1334 1 3L 76805278 11 -1
AALB001749 2L 94261673 1793 1 2R 20386164 1775 1 3R 145619354 1820 -1 2R 16809810 1748 1
AALB003212 3L 138986328 1829 1 2L 83642942 1628 1 2L 97862136 1587 1 2L 45605506 892 -1
AALB004538 3L 147611732 1222 1 2L 72140613 16717 1 2L 131808748 16195 -1 2L 50019601 89 -1
AALB003128 2R 49616450 2133 -1 3R 137197231 865 1 2R 67981148 1307 1 3R 58704057 312 1
AALB004213 3L 141958047 1153 -1 2L 63103550 4293 1 2L 102655584 11295 -1 2L 46447448 429 1
AALB007135 2R 30466318 4565 1 3R 153927865 4158 -1 2R 38182126 4316 1 3R 57676135 4175 1
AALB004362 3L 144428740 8554 -1 2L 69184991 6991 -1 2L 98081897 8664 1 2L 37149001 383 1
AALB006674 X 3495528 1169 -1 X 13071621 1694 1 X 12541162 1690 1 X 2574106 9 -1
AALB006341 X 7828373 765 1 X 13648710 4958 -1 X 6943073 1005 1 X 3194489 11 -1
AALB005537 3L 161265668 14630 -1 2L 63125784 6654 -1 2L 102629830 8763 1 2L 46472911 225 -1
AALB000945 2L 73168629 2507 -1 2R 37728691 2525 -1 3R 150412521 2543 1 2R 17056656 2516 1
AALB009212 2R 16105146 449 1 3R 105207543 449 1 2R 26439695 648 1 3R 54826513 449 1
AALB006693 X 3358906 8675 -1 X 13684007 5055 -1 X 15570148 7543 -1 X 10345110 104 1
AALB001872 2L 92393396 802 -1 2R 54396058 2871 -1 3R 172622194 774 -1 2R 21466944 104 -1
AALB000894 2L 74176653 7393 -1 2R 47000516 8258 -1 3R 182579620 1074 -1 2R 29813665 256 -1
AALB003255 3L 139386586 2075 1 2L 63439434 3172 1 2L 114453841 4452 1 2L 46782467 200 1
AALB009683 2R 37531816 2741 -1 3R 118000146 4580 -1 2R 48091124 4616 1 3R 61730638 58 1
AALB007770 X 10882546 2480 -1 X 13459021 4862 -1 X 13154935 1983 -1 X 1448640 176 -1
AALB010520 3R 117053446 1946 1 X 9043083 7855 1 3L 221449196 2339 1 3L 80469375 47 -1
AALB006872 X 1158359 5092 1 X 3164283 11245 -1 X 3355862 16089 -1 X 3896390 71 1
AALB008506 3R 125280617 5323 1 3L 164429324 10688 1 3L 213115133 10658 -1 3L 70794418 1964 -1
AALB000985 2L 72288650 8719 1 2R 39667958 15072 -1 3R 140663612 16028 -1 2R 26846573 14 -1
AALB009368 2R 14488484 3400 1 3R 104157492 6378 -1 2R 25819180 4290 1 2L 50737347 68 1
AALB007743 X 9776823 4141 1 X 9971358 4128 1 X 11804663 3948 1 X 1891456 350 -1
AALB005112 3L 156319424 2928 -1 2L 73901986 1238 1 2L 132276516 1247 -1 2L 49599352 308 -1
