"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"AATE000004";"KI421894";2339174;2339818;-1
"AATE000008";"KI421900";679439;683194;1
"AATE000031";"KI421900";1585593;1600846;1
"AATE000103";"KI421894";2688837;2690435;1
"AATE000210";"KI421900";2151204;2154833;1
"AATE000330";"KI421894";1606259;1608595;-1
"AATE000417";"KI421900";2502714;2543680;1
"AATE000430";"KI421900";801980;803622;1
"AATE000472";"KI421900";1414123;1419550;-1
"AATE000479";"KI421894";5284271;5289426;1
"AATE000572";"KI421894";1339093;1341780;1
"AATE000648";"KI421900";2368728;2371160;-1
"AATE000686";"KI421894";2940995;2945368;1
"AATE000694";"KI421894";88648;104635;1
"AATE000736";"KI421894";4773094;4783925;1
"AATE000762";"KI421900";1822106;1856951;-1
"AATE000831";"KI421900";27455;29467;1
"AATE000869";"KI421922";242618;256819;1
"AATE000917";"KI421894";783403;785330;-1
"AATE000960";"KI421900";2358983;2366837;1
"AATE000969";"KI421894";1485349;1487160;-1
"AATE001059";"KI421900";3287805;3289296;1
"AATE001131";"KI421900";1571815;1575572;-1
"AATE001155";"KI421900";1016379;1020617;-1
"AATE001180";"KI421894";4994393;5006543;1
"AATE001225";"KI421900";1546804;1548444;-1
"AATE001287";"KI421900";2989460;3007745;1
"AATE001329";"KI421894";2411590;2415528;-1
"AATE001374";"KI421900";3418985;3422925;1
"AATE001426";"KI421894";2472115;2474855;1
"AATE001444";"KI421894";3416393;3416875;1
"AATE001483";"KI421894";5202821;5207801;-1
"AATE001484";"KI421900";1419965;1424079;1
"AATE001528";"KI421900";1241382;1244380;-1
"AATE001622";"KI421894";5074921;5083218;-1
"AATE001686";"KI421900";3291209;3298341;1
"AATE001717";"KI421894";152000;156513;-1
"AATE001733";"KI421894";1116680;1118795;1
"AATE001757";"KI421894";5009698;5012643;-1
"AATE001892";"KI421900";1932032;1934676;-1
"AATE001908";"KI421894";4713214;4721553;1
"AATE001962";"KI421894";1078636;1080347;-1
"AATE001973";"KI421894";2762303;2764924;-1
"AATE002015";"KI421900";1804914;1807660;1
"AATE002091";"KI421924";10247;56354;-1
"AATE002113";"KI421894";1595951;1596577;-1
"AATE002124";"KI421894";444357;446517;1
"AATE002135";"KI421894";3979269;3999909;-1
"AATE002140";"KI421900";2396643;2404761;1
"AATE002259";"KI421900";1616484;1619908;1
"AATE002273";"KI421900";1613044;1615272;1
"AATE002315";"KI421900";1272612;1275359;-1
"AATE002566";"KI421900";683369;687033;1
"AATE002621";"KI421900";3155550;3159797;1
"AATE002640";"KI421922";105119;106816;-1
"AATE002686";"KI421900";3376970;3379137;-1
"AATE002694";"KI421894";144788;146319;-1
"AATE002772";"KI421924";275415;284243;1
"AATE002846";"KI421894";3781217;3791062;-1
"AATE002906";"KI421894";2670523;2675547;-1
"AATE002972";"KI421894";4206884;4209312;1
"AATE002993";"KI421894";121968;123052;1
"AATE003027";"KI421900";670345;670983;-1
"AATE003326";"KI421894";3945727;3963345;-1
"AATE003392";"KI421894";2416494;2418007;1
"AATE003462";"KI421894";3715521;3718273;-1
"AATE003485";"KI421900";2299332;2303677;1
"AATE003598";"KI421894";1460274;1473174;1
"AATE003675";"KI421894";3260813;3265886;1
"AATE003765";"KI421894";5114487;5115472;1
"AATE003804";"KI421900";1286815;1289983;-1
"AATE003827";"KI421894";3843522;3850320;-1
"AATE003885";"KI421900";2803878;2809218;-1
"AATE003955";"KI421900";175643;178079;1
"AATE003969";"KI421894";2654882;2665874;-1
"AATE003970";"KI421894";3607;11086;-1
"AATE004031";"KI421900";1021059;1022161;1
"AATE004048";"KI421894";5129732;5143290;1
"AATE004134";"KI421894";396243;399812;-1
"AATE004206";"KI421900";3226137;3236642;1
"AATE004263";"KI421894";1176172;1190575;1
"AATE004370";"KI421900";3444024;3444964;-1
"AATE004435";"KI421900";3110876;3115917;-1
"AATE004441";"KI421894";339592;345084;-1
"AATE004489";"KI421900";1254417;1255379;-1
"AATE004569";"KI421900";1984363;1986619;-1
"AATE004610";"KI421894";742842;748260;1
"AATE004655";"KI421894";5215815;5217102;1
"AATE004737";"KI421900";1410613;1414153;1
"AATE004822";"KI421894";3386315;3394505;-1
"AATE004841";"KI421894";5196631;5202138;1
"AATE004880";"KI421894";4953857;4958228;1
"AATE004922";"KI421894";1302760;1316975;1
"AATE004942";"KI421894";3726771;3737178;-1
"AATE004951";"KI421900";3237045;3250642;-1
"AATE005085";"KI421900";2896153;2900732;1
"AATE005090";"KI421894";3619292;3621679;1
"AATE005146";"KI421894";5108515;5114113;-1
"AATE005166";"KI421900";2839258;2841578;-1
"AATE005243";"KI421894";5582308;5585408;-1
"AATE005317";"KI421900";2138138;2149941;1
"AATE005379";"KI421894";68198;74463;-1
"AATE005394";"KI421900";1724739;1740911;-1
"AATE005396";"KI421894";2440280;2441766;-1
"AATE005444";"KI421900";1797202;1804581;-1
"AATE005479";"KI421894";5496399;5497634;1
"AATE005511";"KI421894";3259134;3260779;-1
"AATE005605";"KI421894";3454746;3464091;-1
"AATE005637";"KI421894";1620909;1623624;1
"AATE005641";"KI421900";966615;967759;-1
"AATE005662";"KI421894";431910;436520;1
"AATE005674";"KI421894";284308;285124;-1
"AATE005703";"KI421900";1173736;1179740;1
"AATE005747";"KI421894";4540447;4541438;1
"AATE005845";"KI421894";738306;742342;-1
"AATE005884";"KI421894";3977862;3979157;1
"AATE005937";"KI421900";3427824;3438956;-1
