# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
1 2L 64293758 5075 1 2R 58234701 4573 1 3R 185705115 5328 1
2 2L 66390760 10035 1 2R 48062549 9752 1 3R 135611252 7564 1
3 2L 68723748 6168 1 2R 36525033 9758 -1 3R 152005510 10680 1
4 2L 74481184 4946 1 2R 55579914 6339 1 3R 182839538 3993 1
5 2L 77463934 6425 1 2R 40311668 11297 1 3R 141145605 13005 1
6 2L 80720790 18845 1 2R 53177394 18624 1 3R 171214066 15476 -1
7 2L 81120718 3363 1 2R 49661809 4077 -1 3R 154347025 3826 -1
8 2L 84021443 14657 1 2R 33884047 4858 1 3R 156180902 4759 1
9 2L 89033164 4566 1 2R 46426560 5278 -1 3R 181840258 4422 -1
10 2L 89999614 401713 1 2R 31487500 439273 1 3R 139722938 440394 1
11 2L 90405348 4350 1 2R 54431444 4314 -1 3R 148582493 4492 1
12 2L 94376113 2989 1 2R 37841937 3270 -1 3R 160314652 3120 1
13 2L 94950200 3722 1 2R 41954613 3943 -1 3R 161044925 3824 1
14 2L 98220096 4391 1 2R 34270321 4760 -1 3R 156662294 4833 -1
15 2L 98872380 4139 1 2R 40285328 3824 -1 3R 141119825 4336 -1
16 2L 99017630 3701 1 2R 40078741 4264 1 3R 140909994 4315 1
17 2L 100115405 2236 1 2R 16721151 4861 1 3R 137328049 2358 -1
18 2L 101366325 2020 1 2R 39612808 6362 -1 3R 172486798 4375 1
19 2L 101612788 6388 1 2R 24769676 5371 -1 3R 143441010 4825 -1
20 2R 12375952 10656 1 3R 124850005 14969 1 2R 58275101 11344 1
21 2R 12394202 3834 1 3R 124889421 5822 1 2R 58302669 3853 -1
22 2R 12833473 7860 1 3R 125649408 8587 1 2R 59047773 7982 1
23 2R 14635820 262574 1 3R 103749913 245890 -1 2R 26004485 308932 1
24 2R 15134027 3866 1 3R 103462697 3815 1 2R 24518016 4943 1
25 2R 15371298 4743 1 3R 134950501 5085 1 2R 39409550 5327 1
26 2R 15672756 7642 1 3R 135310511 9202 1 2R 29680414 2936 1
27 2R 16552677 7017 1 3R 105656223 7769 1 2R 26900451 7850 1
28 2R 17259942 3185 1 3R 111312715 3582 -1 2R 30345021 3434 1
29 2R 19455148 4320 1 3R 113174882 1885 1 2R 52564080 1911 -1
30 2R 19796399 3850 1 3R 115633264 4465 -1 2R 50551953 4469 1
31 2R 21571079 53649 1 3R 107627117 56447 1 2R 36219571 64890 1
32 2R 22237425 2163 1 3R 108272618 3294 -1 2R 36934501 2794 -1
33 2R 22436714 7800 1 3R 108510382 7755 1 2R 27579092 6466 1
34 2R 22850540 13783 1 3R 128843988 12981 1 2R 71851236 15571 1
35 2R 23024835 31941 1 3R 120980476 31435 1 2R 72080442 39425 1
36 2R 25677150 2511 1 3R 135615293 2769 -1 2R 67410060 2617 -1
37 2R 26685173 43072 1 3R 122995801 61406 -1 2R 55453897 36728 -1
38 2R 27544338 18368 1 3R 137654984 6777 -1 2R 28396583 7176 -1
39 2R 27837471 2663 1 3R 139278787 2805 -1 2R 79075963 2912 -1
40 2R 28693891 10280 1 3R 128709649 18767 1 2R 71716789 6966 1
41 2R 28971328 4052 1 3R 155308819 3905 1 2R 45205585 3870 1
42 2R 28988230 280536 1 3R 155328333 328671 1 2R 63029284 340900 -1
43 2R 31516172 6701 1 3R 109575758 5797 -1 2R 63678030 5728 1
44 2R 32061972 8879 1 3R 107162244 7564 -1 2R 35701656 13524 -1
45 2R 32902143 3690 1 3R 154570707 3636 1 2R 37570032 3906 -1
46 2R 33214257 3462 1 3R 148662930 6267 1 2R 42478828 2576 1
47 2R 36523178 11601 1 3R 158536793 6190 -1 2R 81098812 4970 -1
48 2R 37193251 6718 1 3R 148112043 7418 -1 2R 41961106 6583 -1
49 2R 39747890 2986 1 3R 145020838 3261 -1 2R 76439098 4966 -1
50 2R 42774782 4075 1 3R 118886171 4779 -1 2R 47257781 4462 1
51 2R 47722045 5531 1 3R 115240226 5639 -1 2R 67062575 4582 1
52 2R 48349936 3219 1 3R 154859051 5222 1 2R 56681417 3243 -1
53 2R 49299364 3649 1 3R 120642464 3989 -1 2R 54118565 4207 1
54 2R 49613526 245061 1 3R 136908473 292363 -1 2R 67615305 369743 -1
55 2R 52530002 12647 1 3R 158849924 18229 1 2R 81390800 13114 1
56 2R 53396856 3235 1 3R 116702721 1876 -1 2R 49459436 3226 1
57 2R 53440801 10402 1 3R 136188440 12008 -1 2R 80186719 9230 -1
58 2R 54860736 4301 1 3R 138070803 2464 1 2R 61718824 2907 -1
59 2R 55734797 5826 1 3R 142850377 7103 -1 2R 72514394 8725 1
60 2R 57151207 5472 1 3R 155222858 5540 -1 2R 45118476 5417 -1
61 2R 58564473 3069 1 3R 116645809 5020 -1 2R 49514365 4154 1
62 2R 59042810 5692 1 3R 120967839 4052 1 2R 31276530 4072 1
63 2R 60146127 3441 1 3R 152834672 4241 1 2R 33352400 4000 -1
