alb_ID alb_chr alb_start alb_length alb_strand atr_scf atr_start atr_length atr_strand gam_chr gam_start gam_length gam_strand
AALB003604 2R 51783274 1577 -1 3R 139294879 2486 -1 2R 79089688 2248 -1
AALB000835 2L 74865039 5903 -1 2R 52343729 7239 1 3R 136389769 5204 1
AALB000091 2L 88337185 1834 1 2R 35606471 3199 1 3R 162802307 2109 -1
AALB010823 3R 121859622 1266 -1 3L 170680235 4456 1 3L 220993088 25601 -1
AALB006965 3R 126254619 2626 -1 3L 195187519 3277 -1 3L 200342184 2744 1
AALB002463 2R 26019923 1180 1 3R 112840175 2115 1 2R 30737449 2157 1
AALB010372 3R 114617842 2803 1 3L 170124515 1295 1 3L 221941310 1352 -1
AALB003276 3L 139798443 11086 -1 2L 63923075 13207 -1 2L 114910684 18498 -1
AALB009092 2R 17807685 10125 -1 3R 122286551 10540 1 2R 54773827 10208 1
AALB000197 2L 85931226 3124 1 2R 17660353 3910 -1 3R 169838277 3542 1
AALB001324 2L 101353731 8635 1 2R 39620850 8458 -1 3R 172474603 9384 1
AALB005855 3L 165064005 9451 1 2L 94455841 9223 -1 2L 129074240 8343 -1
AALB003643 2R 51216950 1346 1 3R 131341228 1407 -1 2R 60089088 1455 -1
AALB004700 3L 149894910 831 -1 2L 68364920 1198 -1 2L 107340145 1100 1
AALB009170 2R 16817817 552 1 3R 105929289 633 1 2R 46617833 336 -1
AALB001601 2L 97623841 2631 -1 2R 17669021 2667 1 3R 169828607 2384 -1
AALB010676 3R 119442407 11661 -1 3L 170742249 11813 1 3L 220889637 5244 -1
AALB007474 3R 134691378 5318 1 2R 59946171 4137 1 2L 88635999 4355 1
AALB005952 3L 166176709 1161 -1 2L 80286071 1528 -1 2L 102176750 1428 1
AALB007206 2R 29298627 11786 -1 3R 155694426 7593 -1 2R 62981921 6554 1
AALB010089 3R 109524840 2229 1 3L 180866145 19532 -1 3L 227903986 1791 1
AALB008141 2R 43730294 1330 -1 3R 146573503 2959 -1 2R 54724524 1291 -1
AALB002336 2R 27822270 2392 1 3R 140437692 3950 1 2R 74024587 3068 -1
AALB006967 3R 126261295 3738 -1 3L 195194217 4275 -1 3L 200331594 4398 1
AALB003672 2R 50942146 2161 1 3R 117609013 3019 -1 2R 48485795 2511 1
AALB000334 2L 83721929 8469 -1 2R 51406698 6491 1 3R 138705454 5575 1
