"X1","X2","X3","X4","X5","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"AALB004717","3L","13648290","13648520","-1","AATE001324","KI421884","9404467","9406684","-1","AGAP013092","2L","32610102","32614873","-1","ASIS020457","KI916204","319017","319247","-1"
"AALB005004","3L","18160558","18160870","-1","AATE008845","KI421886","5383840","5384486","-1","AGAP007056","2L","41904985","41905713","1","ASIS018307","KI916469","57436","58095","1"
"AALB002547","2R","13000038","13001764","-1","AATE019422","KI421888","2999188","3000681","-1","AGAP002495","2R","22010753","22012608","1","ASIS012763","KI916183","406727","408157","-1"
"AALB005551","3L","24843900","24845128","1","AATE006866","KI421891","4459822","4461090","1","AGAP006976","2L","40447782","40448369","1","ASIS005007","KI916187","574736","575839","1"
"AALB001548","2L","34576141","34582896","-1","AATE014640","KI421882","2405900","2417441","-1","AGAP008943","3R","21367947","21378902","1","ASIS011188","KI916406","269343","278987","-1"
"AALB004339","3L","7626086","7627305","-1","AATE005637","KI421894","1620909","1623624","1","AGAP005241","2L","12714148","12715791","1","ASIS021847","KI916293","64066","66298","-1"
"AALB004383","3L","7982710","7986646","1","AATE013144","KI421894","3611650","3613229","-1","AGAP005295","2L","13801354","13802660","-1","ASIS000835","KI916280","34520","35856","-1"
"AALB006264","KB672423","82903","86595","-1","AATE003340","KI421935","26178","30514","1","AGAP000676","X","12064337","12071459","1","ASIS006032","KI916949","49634","54195","1"
"AALB009139","2R","5020321","5021680","1","AATE006947","KI421888","8171853","8173552","-1","AGAP001538","2R","6043588","6045022","1","ASIS015142","KI916335","76250","77716","-1"
"AALB001837","2L","29138326","29139206","-1","AATE019334","KI421889","6052355","6054286","-1","AGAP008898","3R","20515269","20516905","1","ASIS020390","KI916258","792428","793283","-1"
"AALB005518","3L","24465527","24467174","-1","AATE016175","KI421905","1525369","1527482","1","AGAP007263","2L","44768147","44769808","1","ASIS010721","KI916712","55707","57644","1"
"AALB008851","2R","8990464","8991641","-1","AATE006249","KI421885","7039415","7041322","1","AGAP002167","2R","16817057","16825766","1","ASIS003356","KI916631","47488","50624","1"
"AALB002092","2R","22704659","22710899","-1","AATE016610","KI421885","5380729","5404287","-1","AGAP004232","2R","52872450","52909226","-1","ASIS012912","KI916185","1677160","1702785","-1"
"AALB015647","3R","28976561","28980885","1","AATE017911","KI421910","1229721","1232843","1","AGAP010425","3L","3130385","3131791","1","ASIS002401","KI916475","72504","75653","-1"
"AALB005306","3L","22136119","22138475","1","AATE000470","KI421891","478252","480849","-1","AGAP006821","2L","38890935","38893474","1","ASIS017548","KI916192","2042648","2045052","-1"
"AALB006194","3L","32901652","32903406","-1","AATE019474","KI421886","10277878","10280408","1","AGAP006740","2L","37645995","37648245","1","ASIS014704","KI916346","554679","556881","-1"
"AALB010798","3R","19680521","19682821","1","AATE018839","KI421901","1035188","1037430","-1","AGAP012333","3L","40726257","40728060","-1","ASIS009880","KI916787","106996","108546","1"
"AALB009443","2R","1292710","1294896","1","AATE004893","KI421883","10520665","10523577","1","AGAP004198","2R","51695947","51698211","1","ASIS023613","KI916205","1420913","1423276","1"
"AALB006132","3L","31946396","31947046","-1","AATE010871","KI421886","9245389","9246352","-1","AGAP006177","2L","27762337","27763185","-1","ASIS020651","KI916197","911869","913399","1"
"AALB007755","X","11017980","11032019","1","AATE011699","KI421898","729926","741828","1","AGAP001061","X","22104915","22212120","-1","ASIS003355","AXCK02028031","60","919","-1"
"AALB004978","3L","17706225","17713184","-1","AATE000227","KI421905","770699","780236","-1","AGAP005042","2L","8751403","8758975","1","ASIS017383","KI916197","1345616","1355732","1"
"AALB005896","3L","28938048","28941005","1","AATE019133","KI421886","888849","889681","-1","AGAP005326","2L","14109749","14112539","1","ASIS016166","KI916353","160425","165016","-1"
"AALB007856","2L","335962","336704","-1","AATE018858","KI421900","1817651","1820457","-1","AGAP010210","3R","50835619","50836797","1","ASIS008559","KI916198","1274280","1275465","-1"
"AALB010380","3R","12727191","12729055","1","AATE008287","KI421887","8773591","8778950","1","AGAP011835","3L","33913749","33915618","-1","ASIS005116","KI916326","270232","275512","-1"
"AALB002261","2R","19404367","19406167","1","AATE007596","KI421888","6903266","6905216","1","AGAP002423","2R","21086838","21088551","1","ASIS000551","KI916211","41713","47116","-1"
"AALB001091","2L","6271412","6272395","-1","AATE015486","KI421890","8829067","8830071","-1","AGAP008746","3R","16856685","16865502","-1","ASIS004185","KI916237","1021353","1027514","1"
"AALB008371","2R","28219979","28223008","-1","AATE014220","KI421883","1148535","1161308","1","AGAP002633","2R","24694665","24698605","-1","ASIS013265","KI916191","933734","937433","-1"
