"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"ASTE009564";"KB664400";992235;1001247;1
"ASTE009567";"KB664400";1030017;1030681;-1
"ASTE009570";"KB664400";1152336;1154561;-1
"ASTE009582";"KB664400";1323175;1333347;-1
"ASTE009586";"KB664400";1377172;1378819;-1
"ASTE009590";"KB664400";1407232;1410819;1
"ASTE009594";"KB664400";1713959;1715515;1
"ASTE009532";"KB664400";633836;634700;-1
"ASTE009538";"KB664400";688055;690681;1
"ASTE009534";"KB664400";637725;642993;-1
"ASTE009536";"KB664400";675597;682635;1
"ASTE009541";"KB664400";702784;704190;1
"ASTE009539";"KB664400";694966;699312;-1
"ASTE009562";"KB664400";973144;974867;-1
"ASTE009561";"KB664400";963599;972464;1
"ASTE009568";"KB664400";1039722;1041391;-1
"ASTE009584";"KB664400";1357496;1358121;1
"ASTE009583";"KB664400";1338980;1343568;-1
"ASTE009545";"KB664400";762532;768287;-1
"ASTE009563";"KB664400";978750;980116;1
"ASTE009576";"KB664400";1200393;1205833;-1
"ASTE009585";"KB664400";1374680;1376305;1
"ASTE009588";"KB664400";1381374;1381937;-1
"ASTE009533";"KB664400";634976;637349;1
"ASTE009542";"KB664400";719651;728285;1
"ASTE005505";"KB664424";513185;520012;-1
"ASTE005503";"KB664424";501403;505237;1
"ASTE005504";"KB664424";505642;511617;1
"ASTE005483";"KB664424";21974;27338;-1
"ASTE005485";"KB664424";143574;146218;1
"ASTE005489";"KB664424";173734;180454;-1
"ASTE005491";"KB664424";189820;197403;1
"ASTE005493";"KB664424";202332;203731;-1
"ASTE005499";"KB664424";380044;381640;-1
"ASTE005488";"KB664424";168215;173062;1
"ASTE005486";"KB664424";149584;152867;-1
"ASTE005495";"KB664424";245719;246862;-1
"ASTE005496";"KB664424";365652;368740;-1
"ASTE005498";"KB664424";378423;379688;1
"ASTE005509";"KB664424";610586;614316;1
"ASTE005502";"KB664424";488555;501525;-1
"ASTE005507";"KB664424";522611;527646;1
"ASTE006097";"KB664442";255032;261686;1
"ASTE006093";"KB664442";201946;210119;1
"ASTE006110";"KB664442";415392;416914;-1
"ASTE006116";"KB664442";541158;544122;-1
"ASTE006081";"KB664442";28560;30590;-1
"ASTE006086";"KB664442";69435;75068;1
"ASTE006087";"KB664442";77108;79176;1
"ASTE006080";"KB664442";24059;26589;1
"ASTE006090";"KB664442";121317;127855;-1
"ASTE006091";"KB664442";184498;185117;-1
"ASTE006098";"KB664442";261862;264677;-1
"ASTE006106";"KB664442";390039;390312;-1
"ASTE006109";"KB664442";413625;414376;1
"ASTE006111";"KB664442";424476;426737;1
"ASTE006107";"KB664442";395853;407493;-1
"ASTE006117";"KB664442";545064;549188;1
"ASTE006084";"KB664442";62397;64007;-1
"ASTE006088";"KB664442";94034;100926;-1
"ASTE006092";"KB664442";192150;195464;-1
"ASTE006113";"KB664442";464681;467785;-1
"ASTE006120";"KB664442";615952;629250;-1
"ASTE003587";"KB664444";153983;154941;1
"ASTE003703";"KB664444";1609211;1609849;1
"ASTE003665";"KB664444";1068055;1071334;1
"ASTE003699";"KB664444";1596423;1598953;-1
"ASTE003700";"KB664444";1600299;1602630;-1
"ASTE003706";"KB664444";1732260;1736649;1
"ASTE003712";"KB664444";2056247;2058953;-1
"ASTE003715";"KB664444";2107784;2110595;1
"ASTE003717";"KB664444";2112195;2113768;1
"ASTE003716";"KB664444";2110993;2120449;-1
"ASTE003720";"KB664444";2123054;2123809;-1
"ASTE003710";"KB664444";2054162;2055790;1
"ASTE003593";"KB664444";264458;266531;1
"ASTE003591";"KB664444";239991;243292;-1
"ASTE003594";"KB664444";387452;389967;1
"ASTE003605";"KB664444";483507;487574;1
"ASTE003596";"KB664444";400805;410142;-1
"ASTE003597";"KB664444";416729;418982;-1
"ASTE003607";"KB664444";492712;495465;1
"ASTE003609";"KB664444";500511;502172;1
"ASTE003608";"KB664444";495521;500163;-1
"ASTE003573";"KB664444";7472;9291;-1
"ASTE003664";"KB664444";1046588;1049920;1
"ASTE003698";"KB664444";1583836;1596329;1
"ASTE003671";"KB664444";1162065;1164991;1
"ASTE003669";"KB664444";1111675;1116950;1
"ASTE003673";"KB664444";1197999;1205189;-1
"ASTE003691";"KB664444";1409392;1422333;1
"ASTE003694";"KB664444";1434860;1460541;1
"ASTE003690";"KB664444";1402896;1404321;-1
"ASTE003693";"KB664444";1425626;1428184;-1
"ASTE003695";"KB664444";1474092;1476640;1
"ASTE003707";"KB664444";1868863;1874732;1
"ASTE003709";"KB664444";1962709;1970933;-1
"ASTE003718";"KB664444";2119033;2119936;1
"ASTE003714";"KB664444";2101384;2107098;-1
"ASTE003721";"KB664444";2126094;2133992;-1
"ASTE003590";"KB664444";200980;209776;1
"ASTE003606";"KB664444";486761;492135;-1
"ASTE003618";"KB664444";533895;535374;-1
"ASTE003610";"KB664444";505364;510286;-1
"ASTE003656";"KB664444";958031;962853;1
"ASTE003653";"KB664444";894464;914452;-1
"ASTE009638";"KB664453";70196;73573;1
"ASTE009636";"KB664453";35738;39920;1
"ASTE009651";"KB664453";190008;193516;1
"ASTE009644";"KB664453";149923;152305;-1
"ASTE009655";"KB664453";243667;245803;-1
"ASTE009654";"KB664453";198963;199599;-1
"ASTE009657";"KB664453";259926;263722;-1
"ASTE009667";"KB664453";388945;393859;1
"ASTE009659";"KB664453";270136;274828;1
"ASTE009673";"KB664453";466348;469309;1
"ASTE009674";"KB664453";500423;503229;1
"ASTE009676";"KB664453";508542;516220;1
"ASTE009637";"KB664453";61903;69161;1
"ASTE009635";"KB664453";33741;34998;-1
"ASTE009639";"KB664453";75859;83588;-1
"ASTE009643";"KB664453";130629;148262;1
"ASTE009649";"KB664453";181784;185503;-1
"ASTE009650";"KB664453";186436;188784;-1
"ASTE009640";"KB664453";85523;101296;1
"ASTE009642";"KB664453";122141;126688;1
"ASTE009652";"KB664453";193792;197713;-1
"ASTE009662";"KB664453";330417;332692;1
"ASTE009664";"KB664453";357669;370981;1
"ASTE009665";"KB664453";373336;378370;-1
"ASTE009658";"KB664453";265753;269033;1
"ASTE009661";"KB664453";290784;310469;1
"ASTE009675";"KB664453";504389;507579;-1
"ASTE009672";"KB664453";460271;464149;-1
"ASTE009677";"KB664453";517536;520266;1
