# genome1: genome1
# genome2: genome2
# genome3: genome3
# genome4: genome4
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign genome4_chr genome4_start genome4_len genome4_sign
1 2L 64008501 30300 1 2R 57712554 39400 1 3R 185437124 57345 1 2R 31412227 33624 -1
2 2L 64501175 155417 1 2R 59247664 195069 -1 3R 186203966 260313 1 2R 33979123 162503 -1
3 2L 68005165 25243 1 2R 45715296 30067 1 3R 159365634 28082 1 2R 28524210 18758 1
4 2L 69029131 304165 1 2R 20728205 266323 -1 3R 179893730 311562 -1 2R 20417690 266446 1
5 2L 69621053 607354 1 2R 36705959 570403 -1 3R 151085485 799756 1 2R 17494291 578513 1
6 2L 71206682 60181 1 2R 27141519 83375 -1 3R 165045133 74084 -1 2R 21732044 65346 -1
7 2L 71268959 47919 1 2R 27084838 56133 -1 3R 164976481 67387 -1 2R 26490655 65468 -1
8 2L 71868612 231732 1 2R 26313478 278692 -1 3R 145171044 214199 -1 2R 25723510 255898 -1
9 2L 72134854 174216 1 2R 39655226 202606 -1 3R 140651306 185439 -1 2R 26828250 205163 -1
10 2L 72744511 16486 1 2R 31933325 21963 -1 3R 140329919 17597 -1 2R 31541206 21039 1
11 2L 72844218 141567 1 2R 37394983 153531 1 3R 150689114 256295 -1 2R 17239696 148531 -1
12 2L 74022723 19288 1 2R 47213967 32929 1 3R 149050464 36448 -1 2R 30033580 25322 1
13 2L 74176653 15706 1 2R 47000516 14886 1 3R 182579620 19626 1 2R 29813665 11143 1
14 2L 74766205 98513 1 2R 50775603 112018 1 3R 138309873 100525 1 2R 25291116 108801 1
15 2L 75147684 542877 1 2R 28026988 568686 1 3R 177490703 882703 -1 2R 22624723 605277 1
16 2L 76064925 24897 1 2R 36224792 40307 1 3R 152383483 29307 -1 2R 18401139 32677 -1
17 2L 76287427 132626 1 2R 50605243 160270 1 3R 135033342 155478 -1 2R 25098190 170511 1
18 2L 76461165 97890 1 2R 30814866 137152 -1 3R 172101545 170402 -1 2R 32744059 118556 1
19 2L 76631400 171958 1 2R 52134542 155957 -1 3R 146371187 203502 1 2R 32954019 170867 1
20 2L 77439708 21721 1 2R 25593607 24537 1 3R 144413168 18018 1 2R 30130374 24809 1
21 2L 77664445 73873 1 2R 40583493 93309 1 3R 157701259 108202 -1 2R 27056330 100328 1
22 2L 77799049 218870 1 2R 40738594 280834 1 3R 162430414 298510 -1 2R 27235430 278004 1
23 2L 78050419 31594 1 2R 21574302 43046 1 3R 179106216 36441 1 2R 19760870 41517 -1
24 2L 81255981 85231 1 2R 25623170 101733 1 3R 144436084 95901 1 2R 30159903 97916 1
25 2L 81573079 76752 1 2R 21493713 80496 1 3R 179000160 98638 1 2R 19803126 72534 -1
26 2L 81651306 288378 1 2R 19409528 275501 1 3R 166943231 393725 -1 2R 15841896 278365 1
27 2L 82963300 3988 1 2R 27764991 4705 1 3R 178726383 4360 -1 2R 22333191 1280 1
28 2L 82967940 108681 1 2R 20999575 122394 1 3R 180213078 136181 1 2R 20292744 116579 -1
29 2L 83421992 68562 1 2R 35404652 76111 -1 3R 163065179 74945 1 2R 19052428 65002 1
30 2L 83900897 35658 1 2R 51162607 52475 -1 3R 138654870 35776 -1 2R 30911798 39212 -1
31 2L 85790675 139795 1 2R 46528603 165626 1 3R 182108007 165781 1 2R 29313704 169419 1
32 2L 85931226 74305 1 2R 17590541 73722 -1 3R 169992799 98045 1 2R 14122463 72258 -1
33 2L 88084272 245581 1 2R 28878309 294778 -1 3R 176874070 276967 1 2R 23595846 270932 -1
34 2L 88337185 3381 1 2R 35606471 5024 1 3R 162955046 3892 -1 2R 18947905 2606 -1
35 2L 88543298 101404 1 2R 35843847 134843 1 3R 152747545 137288 -1 2R 18647806 101412 -1
36 2L 89033164 4566 1 2R 46426560 5278 -1 3R 181994780 4422 -1 2R 29208895 4783 -1
37 2L 89291223 7171 1 2R 50887945 8546 -1 3R 138411014 7402 -1 2R 25401331 7184 -1
38 2L 89537222 36413 1 2R 35335399 35533 -1 3R 163174264 49785 1 2R 19151243 28686 1
39 2L 89992850 408477 1 2R 31479573 447200 1 3R 139869987 447867 1 2R 31576400 506394 -1
40 2L 90403690 74947 1 2R 54428821 86101 1 3R 148654444 89697 -1 2R 21498521 82069 1
41 2L 90842789 49715 1 2R 50555236 44139 1 3R 135196059 39757 -1 2R 25032122 53136 1
