Gene stable ID,Strand
AGAP000002,-1
AGAP000007,-1
AGAP000009,-1
AGAP000010,-1
AGAP000011,-1
AGAP000012,1
AGAP000014,-1
AGAP000015,1
AGAP000016,1
AGAP000017,1
AGAP000018,1
AGAP000019,1
AGAP000022,-1
AGAP000023,-1
AGAP000028,1
AGAP000029,-1
AGAP000032,1
AGAP000033,1
AGAP000035,-1
AGAP000038,-1
AGAP000039,1
AGAP000040,1
AGAP000041,-1
AGAP000043,1
AGAP000044,1
AGAP000046,-1
AGAP000047,-1
AGAP000048,-1
AGAP000049,1
AGAP000053,-1
AGAP000055,1
AGAP000056,-1
AGAP000057,-1
AGAP000058,-1
AGAP000061,1
AGAP000062,1
AGAP000063,-1
AGAP000064,1
AGAP000065,1
AGAP000066,-1
AGAP000067,1
AGAP000068,1
AGAP000069,-1
AGAP000070,-1
AGAP000073,-1
AGAP000074,-1
AGAP000075,1
AGAP000076,-1
AGAP000078,-1
AGAP000079,1
AGAP000081,1
AGAP000083,1
AGAP000085,-1
AGAP000090,1
AGAP000091,-1
AGAP000092,1
AGAP000097,1
AGAP000098,1
AGAP000099,1
AGAP000102,1
AGAP000104,-1
AGAP000106,1
AGAP000107,-1
AGAP000109,-1
AGAP000112,1
AGAP000113,-1
AGAP000114,-1
AGAP000115,1
AGAP000116,-1
AGAP000117,1
AGAP000119,-1
AGAP000120,-1
AGAP000121,-1
AGAP000123,1
AGAP000124,-1
AGAP000126,1
AGAP000127,1
AGAP000128,-1
AGAP000129,-1
AGAP000130,1
AGAP000131,1
AGAP000136,1
AGAP000137,-1
AGAP000140,1
AGAP000141,-1
AGAP000142,1
AGAP000143,-1
AGAP000144,-1
AGAP000145,-1
AGAP000146,1
AGAP000149,1
AGAP000154,1
AGAP000156,-1
AGAP000158,1
AGAP000159,1
AGAP000160,-1
AGAP000162,-1
AGAP000163,-1
AGAP000171,1
AGAP000172,-1
AGAP000175,1
AGAP000177,1
AGAP000179,-1
AGAP000180,1
AGAP000181,1
AGAP000182,-1
AGAP000184,1
AGAP000185,-1
AGAP000188,1
AGAP000190,1
AGAP000191,-1
AGAP000192,1
AGAP000193,1
AGAP000194,1
AGAP000195,-1
AGAP000198,1
AGAP000203,-1
AGAP000205,1
AGAP000207,-1
AGAP000209,1
AGAP000211,1
AGAP000213,1
AGAP000214,-1
AGAP000215,1
AGAP000218,1
AGAP000219,1
AGAP000220,-1
AGAP000222,1
AGAP000223,-1
AGAP000225,-1
AGAP000228,-1
AGAP000230,1
AGAP000232,-1
AGAP000233,-1
AGAP000234,-1
AGAP000235,1
AGAP000236,1
AGAP000238,-1
AGAP000239,-1
AGAP000240,1
AGAP000241,-1
AGAP000242,1
AGAP000243,-1
AGAP000245,-1
AGAP000246,1
AGAP000247,-1
AGAP000248,1
AGAP000249,-1
AGAP000250,1
AGAP000251,-1
AGAP000254,1
AGAP000255,-1
AGAP000256,-1
AGAP000258,-1
AGAP000261,1
AGAP000262,1
AGAP000264,1
AGAP000266,-1
AGAP000268,-1
AGAP000269,-1
AGAP000270,1
AGAP000271,1
AGAP000272,1
AGAP000275,-1
AGAP000277,-1
AGAP000278,-1
AGAP000280,-1
AGAP000281,-1
AGAP000283,1
AGAP000285,-1
AGAP000286,1
AGAP000290,-1
AGAP000299,1
AGAP000300,-1
AGAP000301,1
AGAP000303,-1
AGAP000305,1
AGAP000307,-1
AGAP000308,1
AGAP000309,-1
AGAP000310,1
AGAP000311,1
AGAP000312,1
AGAP000313,-1
AGAP000314,-1
AGAP000315,1
AGAP000316,1
AGAP000317,-1
AGAP000319,-1
AGAP000320,1
AGAP000321,1
AGAP000322,1
AGAP000323,-1
AGAP000324,1
AGAP000325,1
AGAP000326,1
AGAP000327,-1
AGAP000328,-1
AGAP000329,1
AGAP000331,-1
AGAP000332,-1
AGAP000338,1
AGAP000341,-1
AGAP000343,1
AGAP000344,1
AGAP000345,1
AGAP000346,1
AGAP000347,-1
AGAP000348,-1
AGAP000349,1
AGAP000351,-1
AGAP000352,-1
