# genome1: genome1
# genome2: genome2
# genome3: genome3
# genome4: genome4
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign genome4_chr genome4_start genome4_len genome4_sign
0 2L 64008501 1408 + 2R 57712554 6384 + 3R 185437124 1404 + 2R 31444631 1220 -
0 2L 64032424 6377 + 2R 57747609 4345 + 3R 185473106 21363 + 2R 31412227 286 -
0 2L 64104574 3475 + 2R 57896453 3629 + 3R 185590399 3413 + 2R 31247852 39 -
0 2L 64501175 4037 + 2R 59439675 3058 - 3R 186203966 1826 + 2R 34141564 62 -
0 2L 64560041 3620 + 2R 59368092 3755 - 3R 186310589 2574 + 2R 34086771 80 -
0 2L 64616775 3612 + 2R 59291649 7076 - 3R 186389786 6157 + 2R 34002814 288 -
0 2L 64654470 2122 + 2R 59247664 1642 - 3R 186461693 2586 + 2R 33979123 709 -
0 2L 64802389 3233 + 2R 59035659 4165 - 3R 186671113 3518 + 2R 33801737 288 -
0 2L 66242765 654 + 3R 149909214 1256 - 2R 74971356 1328 - 3R 61308413 1280 +
0 2L 66523898 1315 + 2R 54996960 915 + X 13733034 1036 + 3L 77362391 395 +
0 2L 66631099 1320 + 2L 73418085 3188 + X 5869340 6219 - 2L 49134892 6 +
0 2L 68005165 8264 + 2R 45715296 10225 + 3R 159365634 6514 + 2R 28524210 173 -
0 2L 68016971 2116 + 2R 45728741 2401 + 3R 159378243 2258 + 2R 28528254 1139 +
0 2L 68019656 3000 + 2R 45733754 2087 + 3R 159382736 2018 + 2R 28531734 2054 +
0 2L 68023662 6746 + 2R 45738549 6814 + 3R 159391062 2654 + 2R 28542718 250 +
0 2L 68054899 5185 + 2R 45769304 6688 + 3R 154110602 3722 - 2R 28571739 185 +
0 2L 68200066 13189 + 2R 45919686 5204 + 3R 153687321 990 - 2R 28732551 1346 +
0 2L 68344807 3305 + 2R 46015642 3196 + 3R 153560298 21105 - 2R 28835426 16 +
0 2L 68542995 1483 + 2R 46193343 17100 + 3R 153397536 12610 - 2R 29021102 224 -
0 2L 68726480 658 + 2R 36531276 1133 - 3R 152162382 1285 + 2R 18234046 135 +
0 2L 69029131 724 + 2R 20993871 657 - 3R 180204791 501 - 2R 20417690 51 +
0 2L 69029971 1331 + 2R 20992273 1370 - 3R 180203035 1370 - 2R 20418106 1340 +
0 2L 69035618 4964 + 2R 20980428 845 - 3R 180194203 984 - 2R 20431443 95 +
0 2L 69118080 2166 + 2R 20884957 29818 - 3R 180108274 1553 - 2R 20498141 42 +
0 2L 69255679 3588 + 2R 20780795 13387 - 3R 179991341 3725 - 2R 20629928 53 +
0 2L 69292503 1905 + 2R 20757542 2026 - 3R 179936155 2190 - 2R 20651134 58 +
0 2L 69332155 1141 + 2R 20728205 1424 - 3R 179893730 7877 - 2R 20683627 509 +
0 2L 69619359 1418 + X 6805986 1760 - X 17661067 1529 - X 777378 146 -
0 2L 69621053 847 + 2R 37195060 1125 + 3R 151187172 1091 - 2R 17578290 67 -
0 2L 69623966 3690 + 2R 37198518 3766 + 3R 151179882 3186 - 2R 17572320 2500 -
0 2L 69628067 1361 + 2R 37202416 1321 + 3R 151177482 1495 - 2R 17570606 206 -
0 2L 69692510 1766 + 2R 37271048 1792 + 3R 151089512 1873 - 2R 17499533 109 -
0 2L 69694682 2925 + 2R 37275403 959 + 3R 151085485 1415 - 2R 17494291 959 -
0 2L 69713707 8751 + 2R 37180784 4325 - 3R 151206745 7144 + 2R 17591863 93 +
