;block_id;atr_coords;gam_coords;anchors
1;156;KI421883:50266-3464462, KI421906:1394831-1864337;e2:46845923-50834247;128
2;346;KI421882:9655451-13612341;e4:141782742-145706061;98
3;384;KI421887:165-10400647, KI421893:716-8155399, KI421899:3670-4758425, KI421901:42067-4086658, KI421902:2137858-2695572, KI421903:829-2363613, KI421923:3-370905;e4:166364029-171344038;83
4;400;KI421889:746-1163068, KI421900:1765196-3533547;e4:182867689-186142787;88
5;451;KI421887:7599601-9085845;e5:221845486-223961890;77
