# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
0 alb_chr 0 0 + atr_scf 0 0 + gam_chr 0 0 +
0 e1 2044939 1941 + e5 193685571 1838 + e1 18801785 1600 -
0 e1 3937854 1443 + e5 179816850 854 + e1 18319986 961 +
0 e1 3958286 9155 + e5 166335117 4226 - e1 9291162 5953 -
0 e1 4853097 1883 + e5 175245861 1576 - e3 99542433 1569 -
0 e1 7400815 4222 + e5 181303200 1427 + e1 6773087 1706 +
0 e2 39483621 221 + e5 162490410 221 - e5 208031965 4439 -
0 e2 53354255 7161 + e5 170882660 4111 + e4 138151404 3276 -
0 e3 163928533 1036 + e5 197602701 3497 - e5 191865101 1204 -
0 e4 74851999 8564 + e5 193462283 951 - e4 138244733 2093 +
0 e4 93095579 1235 + e5 174832052 1253 - e1 4983467 1816 +
0 e5 101997982 4346 + e5 171074400 5017 + e5 229587795 1742 +
0 e5 102022074 3290 + e5 171128144 2288 + e5 229652767 2145 +
0 e5 102026873 2157 + e5 171133121 2711 + e5 229658542 2284 +
0 e5 102046644 3572 + e5 169675525 1075 - e5 222588202 1060 +
0 e5 102059334 5640 + e5 169656504 8853 - e5 222602499 11990 +
0 e5 102066474 1261 + e5 169652833 3613 - e5 222618523 2283 +
0 e5 102068569 3511 + e5 169647626 4375 - e5 222622871 7437 +
0 e5 102152341 2654 + e5 169551358 2680 - e5 222765582 2731 +
0 e5 102164995 2864 + e5 169537375 1457 - e5 222785853 1454 +
0 e5 102322874 1062 + e5 169349695 1201 - e5 223086195 956 +
0 e5 102324186 944 + e5 169348222 1106 - e5 223087424 985 +
0 e5 102325425 951 + e5 169347010 986 - e5 223090582 916 +
0 e5 102344927 6294 + e5 169294218 2104 - e5 223129626 1629 +
0 e5 102352863 3634 + e5 169281341 12653 - e5 223133705 12095 +
0 e5 102371213 11815 + e5 169263686 2234 - e5 223178338 3577 +
0 e5 102395722 2676 + e5 169238191 5642 - e5 223209795 3938 +
0 e5 102441226 11180 + e5 169168947 13498 - e5 223313711 13270 +
0 e5 102463324 6467 + e5 169146725 7649 - e5 223349675 7607 +
0 e5 102478373 10219 + e5 169124563 12570 - e5 223371007 2565 +
0 e5 102492324 10416 + e5 169111438 9423 - e5 223391512 1927 +
0 e5 102515710 539 + e5 169081299 631 - e5 223433245 831 +
0 e5 102517167 1105 + e5 169079061 1273 - e5 223435129 1124 +
0 e5 102518480 5120 + e5 169073573 5373 - e5 223437843 3905 +
0 e5 102555016 6597 + e5 169030442 15302 - e5 223491562 13111 +
0 e5 102590829 9392 + e5 168990685 4480 - e5 229081812 4013 +
0 e5 102612449 4407 + e5 168968001 4506 - e5 229106350 2121 +
0 e5 102763256 1615 + e5 168787624 2076 - e5 229308041 1698 +
0 e5 102811056 11102 + e5 168709696 18263 - e5 229883335 14947 +
0 e5 102824211 2780 + e5 168700877 4866 - e5 229902846 1928 +
0 e5 102829794 5140 + e5 168692387 6944 - e5 229785794 1787 -
0 e5 102839884 6011 + e5 168679490 7512 - e5 229695719 6010 +
0 e5 102850887 1542 + e5 171237263 1673 - e5 229710930 1502 +
0 e5 102854478 3440 + e5 171229287 6561 - e5 229714902 3543 +
0 e5 102913005 1032 + e5 171151730 1352 - e5 229681158 1382 -
0 e5 102923153 1361 + e5 169695042 1352 + e5 222562292 1463 -
0 e5 103110548 1369 + e5 169728350 4538 - e5 222516536 6756 +
0 e5 103178920 2294 + e5 167319068 1602 - e5 218415965 1627 -
0 e5 103181687 1990 + e5 167316954 1785 - e5 218413817 1711 -
0 e5 103183907 1512 + e5 167311183 5516 - e5 218411980 1507 -
0 e5 103240481 359 + e5 167245389 359 - e5 218323990 571 -
0 e5 103480024 566 + e5 166929283 563 - e5 217967390 560 -
0 e5 103486824 3621 + e5 166919869 2024 - e5 217951600 3617 -
0 e5 103512924 8711 + e5 166865740 48460 - e5 217870622 56973 -
0 e5 103556356 3741 + e5 166842503 22632 - e5 217838807 3017 -
0 e5 103636742 5705 + e5 166749921 19658 - e5 217729673 16200 -
0 e5 103696970 1951 + e5 166683285 2027 - e5 217658643 1948 -
0 e5 103701522 1984 + e5 166655111 25045 - e5 217653648 1985 -
0 e5 103841807 932 + e5 166471762 30299 - e5 217449206 1034 -
0 e5 103892419 2414 + e5 166433728 2952 - e5 217365513 3057 -
0 e5 103895904 776 + e5 166415753 16802 - e5 217363650 838 -
0 e5 104194443 1088 + e5 166042770 18594 - e5 216825714 4760 -
0 e5 104386047 1488 + e5 165843369 1476 - e5 216505465 1389 -
0 e5 104462612 4296 + e5 165732737 15812 - e5 216364724 14059 -
0 e5 104470984 15893 + e5 165722016 4982 - e5 216348923 10512 -
0 e5 104487292 3000 + e5 165698525 6673 - e5 215056144 2530 +
0 e5 104573547 4804 + e5 165604046 5290 - e5 215149558 4672 +
0 e5 104693705 1142 + e5 186369658 1404 + e5 224626272 1513 +
0 e5 104696893 1734 + e5 186373250 2861 + e5 224630463 2075 +
0 e5 104723321 4916 + e5 186409544 17988 + e5 224680601 2550 +
0 e5 104746308 3502 + e5 186439959 2129 + e5 224701587 2858 +
0 e5 104752834 1602 + e5 186449484 1488 + e5 224708761 1430 +
0 e5 104825714 3069 + e5 186559188 4573 + e5 224807924 3150 +
0 e5 104830125 2040 + e5 191185639 3453 + e5 199698890 7111 -
0 e5 104835013 8370 + e5 191191879 15565 + e5 199688385 9803 -
0 e5 104873413 627 + e5 191245454 1229 + e5 196165432 1065 -
0 e5 104900430 1667 + e5 191292054 2265 + e5 219613358 10167 -
0 e5 104905699 8792 + e5 191295530 12506 + e5 219604613 8494 -
0 e5 104914857 4891 + e5 191308356 3583 + e5 219599046 2078 -
0 e5 104923919 9682 + e5 191315681 10880 + e5 219586360 3370 -
0 e5 105008667 13857 + e5 191435431 39367 + e5 219449203 28440 -
0 e5 105031816 1102 + e5 191488344 3750 + e5 212676104 3783 +
0 e5 105038628 2015 + e5 164540843 1853 - e5 212687841 1778 +
0 e5 105059409 458 + e5 164521369 416 - e5 212712367 407 +
0 e5 105080218 8757 + e5 164485518 7894 - e5 212748719 7196 +
0 e5 105136097 9665 + e5 164392873 37131 - e5 212823770 8045 +
0 e5 105184069 2340 + e5 164347828 2372 - e5 212888606 2695 +
0 e5 105186723 8034 + e5 164338291 4251 - e5 212898601 3242 +
0 e5 105195826 897 + e5 164336101 973 - e5 212903218 1001 +
0 e5 105302353 12493 + e5 194073323 30919 - e5 209114117 32519 -
0 e5 105391618 2570 + e5 193974430 1797 - e5 196980868 1881 -
0 e5 105401148 1750 + e5 193946161 1715 - e5 196968607 1524 -
0 e5 105403656 2223 + e5 193940536 4999 - e5 196964906 3334 -
0 e5 105408571 6574 + e5 193928769 10319 - e5 196954322 3769 -
0 e5 105461288 1553 + e5 193879320 1532 - e5 192822058 1514 +
0 e5 105485553 1075 + e5 193719121 1277 - e5 192897980 1311 +
0 e5 105487466 3264 + e5 193715439 2611 - e5 192957146 1052 +
0 e5 105520905 3391 + e5 193687559 3797 - e5 192987389 3548 +
0 e5 105530495 2447 + e5 193674910 4601 - e5 192997627 2074 +
0 e5 105533664 1671 + e5 193669728 3919 - e5 193002591 4393 +
0 e5 105537818 1327 + e5 193668383 1316 - e5 193009920 1183 +
