# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
0 2L 63957684 1816 + 2R 57191531 1883 + 3R 184747474 1869 +
0 2L 63963718 2538 + 2R 57199346 8647 + 3R 184764071 8151 +
0 2L 64141256 6460 + 2R 57901345 11803 + 3R 185443145 27115 + # merged; repeat 1
0 2L 64179883 6045 + 2R 58044925 10180 + 3R 185545628 5966 +
0 2L 64211608 20030 + 2R 58116610 2644 + 3R 185580711 4559 +
0 2L 64293758 835 + 2R 58234701 863 + 3R 185705115 859 +
0 2L 64294797 4036 + 2R 58236216 3058 + 3R 185706289 4154 +
0 2L 64299389 657 + 2R 58240422 965 + 3R 185711001 1146 +
0 2L 64556900 638 + 2R 59380303 638 - 3R 186129839 1862 +
0 2L 64582760 9347 + 2R 59330580 5347 - 3R 186194296 3527 +
0 2L 64602567 8563 + 2R 59301249 22284 - 3R 186210394 12098 +
0 2L 64616775 3612 + 2R 59291649 7076 - 3R 186235264 6157 +
0 2L 64721694 10451 + 2R 59144630 13298 - 3R 186408081 12013 +
0 2L 64802389 3233 + 2R 59035659 4165 - 3R 186516591 3518 +
0 2L 64829451 4872 + 2R 57150554 4579 - 3R 184692410 4017 -
0 2L 64845177 1948 + 2R 57134010 5717 - 3R 184680705 3913 -
0 2L 64864442 4824 + 2R 57095895 15828 - 3R 184644004 13156 -
0 2L 64892362 10511 + 2R 57043541 18285 - 3R 184536459 13661 -
0 2L 64971799 2036 + 2R 56949871 6618 - 3R 184445290 11246 -
0 2L 65007259 8816 + 2R 56891489 4247 - 3R 184369261 4435 -
0 2L 65020294 21739 + 2R 56859010 20369 - 3R 184324172 25120 -
0 2L 65056891 5403 + 2R 56827480 2106 - 3R 184300056 1698 -
0 2L 65063056 7565 + 2R 56814644 10505 - 3R 184291057 4474 -
0 2L 65099448 3490 + 2R 56766860 8850 - 3R 184235272 20753 -
0 2L 65105921 793 + 2R 56761990 1491 + 3R 184228132 1133 +
0 2L 65107265 5744 + 2R 56752945 7132 - 3R 184221518 6224 -
0 2L 65121918 522 + 2R 56736841 795 - 3R 184194318 16145 -
0 2L 65138463 7833 + 2R 56686767 11252 - 3R 184175016 2013 -
0 2L 65147112 20447 + 2R 56672149 2167 - 3R 184150838 1716 -
0 2L 65173276 3256 + 2R 56628361 3940 + 3R 184067421 5440 -
0 2L 65202103 7319 + 2R 56548927 1246 - 3R 183991877 605 -
0 2L 65211252 972 + 2R 56546321 1014 - 3R 183937218 920 -
0 2L 65225185 3409 + 2R 56502352 8770 - 3R 183972723 3613 -
0 2L 65418557 10335 + 2R 56276049 42081 - 3R 183683082 66970 -
0 2L 65456945 1288 + 2R 56241112 1706 + 3R 183671040 1447 +
0 2L 65507169 8013 + 2R 56192968 8869 - 3R 183554174 6512 -
0 2L 65523192 6376 + 2R 56166542 2641 - 3R 183535268 1043 -
0 2L 65547493 4476 + 2R 56139737 4502 - 3R 183494854 1934 -
0 2L 65556788 13401 + 2R 56118258 11403 - 3R 183434497 2120 -
0 2L 65744852 845 + 2R 56071107 2249 - 3R 183359895 4202 -
0 2L 65766493 3760 + 2R 56051026 4496 - 3R 183334020 5093 -
0 2L 65774461 13055 + 2R 56034796 14782 - 3R 183316653 14851 -
0 2L 65819373 3212 + 2R 55987531 3200 - 3R 183275407 3215 -
0 2L 65871472 10012 + 2R 55916488 2848 - 3R 183207845 2053 -
0 2L 65902106 3810 + 2R 33721667 2898 + 3R 155973604 11592 +
0 2L 65912125 3404 + 2R 33734215 3670 + 3R 155989756 2183 +
0 2L 65915614 11054 + 2R 33741001 2118 + 3R 155999017 1848 +
0 2L 65974247 9074 + 2R 33784186 10113 + 3R 156051978 14261 +
0 2L 65989207 4492 + 2R 48801892 5480 + 3R 136145383 3365 -
0 2L 65995932 5516 + 2R 48808924 13764 + 3R 136134380 7130 -
0 2L 66011329 1225 + 2R 48836024 1465 + 3R 136121879 1299 -
0 2L 66013885 5642 + 2R 48837769 6733 + 3R 136182169 5796 +
0 2L 66068241 3705 + 2R 38085090 4742 - 3R 157495499 5321 -
0 2L 66371392 5513 + 2R 48054404 6265 + 3R 135604150 5213 +
0 2L 66380679 7817 + 2R 48245854 17975 - 3R 135753314 21935 -
0 2L 66390760 5711 + 2R 48062549 5825 + 3R 135611252 4760 +
0 2L 66396906 3889 + 2R 48068974 3327 + 3R 135616726 2090 +
0 2L 66412987 937 + 2R 48080600 1227 + 3R 135623894 182 +
0 2L 66418579 4540 + 2R 48088182 7894 + 3R 135628015 5500 +
0 2L 66445384 2101 + 2R 48114286 2290 + 3R 135649716 2067 +
0 2L 66497170 2210 + 2R 48160002 2240 + 3R 135685732 1999 +
0 2L 66516514 4666 + 2R 48176664 6368 + 3R 135698393 3193 +
0 2L 66521942 1437 + 2R 48184433 2734 + 3R 135703236 2285 +
0 2L 66561766 1089 + 2R 48229707 9810 + 3R 135737764 7358 +
0 2L 66624008 4103 + 2R 33009991 14878 + 3R 147184099 30070 -
0 2L 66637162 1860 + 2R 33027059 1973 + 3R 147174335 1998 -
0 2L 66731888 14135 + 2R 33086171 24812 + 3R 147017530 65520 -
0 2L 66974349 3134 + 2R 33111036 10657 + 3R 146997680 3902 -
0 2L 67047688 13195 + 2R 33178614 14970 + 3R 146892061 18763 -
0 2L 67214029 4977 + 2R 33333684 1252 + 3R 155961283 1290 -
0 2L 67331208 1205 + 2R 45171264 2578 + 3R 158448023 28943 +
0 2L 67343793 751 + 2R 45180156 1141 + 3R 158601016 857 +
0 2L 67392501 2488 + 2R 45183952 12673 + 3R 158611391 14125 +
0 2L 67408406 1909 + 2R 45209802 1960 + 3R 158640827 1936 +
0 2L 67410885 1997 + 2R 45212238 2376 + 3R 158648734 2889 +
0 2L 67546785 4283 + 2R 45308256 4148 + 3R 159027268 13535 -
0 2L 68005165 8264 + 2R 45715296 10225 + 3R 159211112 6514 +
0 2L 68013795 2125 + 2R 45726087 2353 + 3R 159220623 2443 +
0 2L 68023662 6746 + 2R 45738549 6814 + 3R 159236540 2654 +
0 2L 68054899 5185 + 2R 45769304 6688 + 3R 153956080 3722 -
0 2L 68184972 5263 + 2R 45888571 16989 + 3R 153799498 7198 -
0 2L 68344807 3305 + 2R 46015642 3196 + 3R 153405776 21105 -
0 2L 68381241 15314 + 2R 46057965 18567 + 3R 153360244 34367 -
0 2L 68516748 6090 + 2R 46179270 5576 + 3R 153259801 94125 -
0 2L 68622106 1747 + 2R 46281758 2491 + 3R 153154875 1836 -
0 2L 68723748 2242 + 2R 36532794 1997 - 3R 152005510 2033 +
0 2L 68726480 658 + 2R 36531276 1133 - 3R 152007860 1285 +
0 2L 68728075 1841 + 2R 36525033 5592 - 3R 152009687 6503 +
0 2L 68961889 899 + 2R 48962381 845 + 3R 136292964 887 +
0 2L 69012899 2632 + 2R 52291116 2462 + 3R 136338776 2545 +
0 2L 69019911 630 + 2R 52297239 1970 + 3R 136345731 780 +
0 2L 69029971 1331 + 2R 20992273 1370 - 3R 180048513 1370 -
0 2L 69118080 2166 + 2R 20884957 29818 - 3R 179953752 1553 -
