# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
0 chromosome_name 0 0 + chromosome_name.1 0 0 + chromosome_name.2 0 0 +
0 e1 10139 1196 + e1 2563505 2721 - e1 12443351 1317 -
0 e1 21033 2625 + e1 2556937 545 + e1 12430903 856 -
0 e1 33306 5606 + e1 2520664 21890 - e1 12317276 92579 -
0 e1 88597 12054 + e1 2440341 13771 - e1 12281540 19267 -
0 e1 159220 5707 + e1 2337269 5096 - e1 12174016 8541 -
0 e1 165520 8204 + e1 12758102 7363 - e1 11387693 10124 -
0 e1 178596 3319 + e1 12736033 18044 - e1 11407473 4467 +
0 e1 283340 3626 + e1 165000 3407 - e1 18918716 5718 +
0 e1 304881 3971 + e1 137000 4376 - e1 18948973 6704 +
0 e1 310834 7647 + e1 122558 13785 - e1 5679568 16276 +
0 e1 324455 6437 + e1 96610 5692 - e1 5698848 13006 +
0 e1 334070 4766 + e1 26381 6694 + e1 5774401 6261 -
0 e1 343277 1212 + e1 53297 4436 + e1 5759812 7464 -
0 e1 361383 4581 + e1 3358244 8171 - e1 15693834 13378 -
0 e1 366314 8562 + e1 3340803 17206 - e1 15618828 70128 -
0 e1 408286 14999 + e1 8529527 18850 - e1 19495565 30492 -
0 e1 485791 2736 + e1 13109877 4702 - e1 8271710 4148 -
0 e1 522521 5692 + e1 5373215 14843 + e1 11783528 19741 -
0 e1 536664 10645 + e1 5398331 10357 + e1 23834053 19987 +
0 e1 556774 5004 + e1 5429001 8853 + e1 9555155 10216 +
0 e1 569050 4975 + e1 4629964 13570 + e1 9898339 27883 +
0 e1 582193 19212 + e1 4573490 16058 + e1 212901 20784 +
0 e1 605735 3456 + e1 4606476 9019 - e1 9874701 9539 -
0 e1 617365 6009 + e1 4591833 9337 - e1 245976 5834 -
0 e1 650448 2264 + e1 3967130 2046 - e1 4919509 1910 -
0 e1 663827 11864 + e1 15651774 3072 - e1 9691789 85459 -
0 e1 694101 4740 + e1 3972466 6935 + e1 4925268 5348 +
0 e1 700776 6927 + e1 4798698 4204 - e1 12699879 7064 -
0 e1 707975 10089 + e1 4786752 11865 - e1 12682362 15819 -
0 e1 720904 4439 + e1 9952690 6522 + e1 17503857 10914 +
0 e1 752253 3609 + e1 4037033 4100 + e1 4986971 5026 +
0 e1 818313 1368 + e1 8362349 17579 - e1 19361656 1308 -
0 e1 824325 3391 + e1 8350032 5350 - e1 19351376 4076 -
0 e1 884193 3659 + e1 8244299 19028 - e1 19263984 5282 -
0 e1 980404 5106 + e1 8038114 4041 - e1 19111845 1527 -
0 e1 1000698 10046 + e1 5963694 23747 + e1 3227256 31078 -
0 e1 1033117 5371 + e1 6016711 6458 + e1 3202676 6561 -
0 e1 1039633 8059 + e1 6023336 8897 + e1 3190903 9880 -
0 e1 1053227 5045 + e1 6039622 5268 + e5 191332012 13585 +
0 e1 1060668 2349 + e1 6059204 3734 - e1 3181145 3385 -
0 e1 1064541 3609 + e1 6047445 5525 + e1 3174285 4309 -
0 e1 1125658 3654 + e1 6150985 3123 + e1 3120259 37792 +
0 e1 1158359 5092 + e1 14759579 11245 - e1 3355862 16089 -
0 e1 1174709 12841 + e1 6929704 13293 + e1 14247920 17485 -
0 e1 1196467 1724 + e1 12441791 4200 + e1 2843996 2445 -
0 e1 1203426 6384 + e1 6630402 17749 - e1 13917965 9959 -
0 e1 1250096 6201 + e1 12378719 10690 + e1 5365577 5806 +
0 e1 1274514 3751 + e1 12405352 4849 + e1 18824363 6101 -
0 e1 1280472 1279 + e1 1704144 2734 - e1 14828247 1900 -
0 e1 1288346 1366 + e1 1668640 2797 - e1 14803452 22528 -
0 e1 1309912 3919 + e1 1607724 5134 - e1 14738910 5562 -
0 e1 1356824 1215 + e1 1446083 4634 - e1 14560430 16879 -
0 e1 1409909 5419 + e1 1325963 3733 - e1 14461512 65651 -
0 e1 1436220 1553 + e1 2825027 1478 + e1 16635818 1163 -
0 e1 1450400 1863 + e1 2841121 2376 + e1 16619141 2128 -
0 e1 1457961 1355 + e1 2852384 2405 + e1 16612688 1115 -
0 e1 1538909 5789 + e1 13801355 12862 - e1 7157708 10110 +
0 e1 1586143 4541 + e1 10900811 4963 + e1 10075921 4963 -
0 e1 1592944 10907 + e1 10909628 15965 + e1 10043203 27867 -
0 e1 1613733 13790 + e1 10945075 5856 - e1 10012211 4630 +
0 e1 1657374 7190 + e1 13490738 9119 + e1 2018689 7796 +
0 e1 1666237 4960 + e1 15133609 6011 + e1 2031552 6081 +
0 e1 1672330 2486 + e1 9980672 4833 - e1 17536846 2778 +
0 e1 1676174 574 + e1 10898680 596 - e1 10083304 753 +
0 e1 1678073 12453 + e1 10891307 3632 - e1 10090324 2956 +
0 e1 1694964 3960 + e1 11698079 4155 - e1 5905558 5557 -
0 e1 1705424 2210 + e1 7437434 951 + e1 16949437 934 -
0 e1 1707833 953 + e1 13222839 992 - e5 220969746 20871 -
0 e1 1709789 3512 + e1 3474145 3756 + e1 15861007 7261 +
0 e1 1716663 6337 + e1 4377064 9561 - e1 11683504 3061 -
0 e1 1739722 4712 + e1 4343972 5540 - e1 11655373 8964 -
0 e1 1778731 14584 + e1 3623444 4547 - e1 16012846 14572 -
0 e1 1853363 4517 + e1 3478215 3787 - e1 15870646 3911 -
0 e1 1907827 2011 + e1 449055 2001 + e1 15536995 2153 +
0 e1 1910165 12749 + e1 3893516 7172 - e1 7252391 17892 +
0 e1 1926881 918 + e1 3886407 1012 - e1 7278897 1143 +
0 e1 1928664 4276 + e1 4741874 5988 - e1 7288292 3424 +
0 e1 1935535 8131 + e1 4086761 7149 + e1 7310219 8644 -
0 e1 1947837 3206 + e1 4079607 4591 - e1 7325613 5816 +
0 e1 1959525 5844 + e1 4050980 17742 - e1 7356912 12420 +
