"aalbimanus_eg_gene";"aatroparvus_eg_gene";"agambiae_eg_gene";"asinensis_eg_gene"
"AALB004717";"AATE001324";"AGAP013092";"ASIS020457"
"AALB005004";"AATE008845";"AGAP007056";"ASIS018307"
"AALB002547";"AATE019422";"AGAP002495";"ASIS012763"
"AALB005551";"AATE006866";"AGAP006976";"ASIS005007"
"AALB001548";"AATE014640";"AGAP008943";"ASIS011188"
"AALB004339";"AATE005637";"AGAP005241";"ASIS021847"
"AALB004383";"AATE013144";"AGAP005295";"ASIS000835"
"AALB006264";"AATE003340";"AGAP000676";"ASIS006032"
"AALB009139";"AATE006947";"AGAP001538";"ASIS015142"
"AALB001837";"AATE019334";"AGAP008898";"ASIS020390"
"AALB005518";"AATE016175";"AGAP007263";"ASIS010721"
"AALB008851";"AATE006249";"AGAP002167";"ASIS003356"
"AALB002092";"AATE016610";"AGAP004232";"ASIS012912"
"AALB015647";"AATE017911";"AGAP010425";"ASIS002401"
"AALB015647";"AATE017911";"AGAP010424";"ASIS002401"
"AALB005306";"AATE000470";"AGAP006821";"ASIS017548"
"AALB006194";"AATE019474";"AGAP006740";"ASIS014704"
"AALB010798";"AATE018839";"AGAP012333";"ASIS009880"
"AALB009443";"AATE004893";"AGAP004198";"ASIS023613"
"AALB006132";"AATE010871";"AGAP006177";"ASIS020651"
"AALB007755";"AATE011699";"AGAP001061";"ASIS003355"
"AALB004978";"AATE000227";"AGAP005042";"ASIS017383"
"AALB005896";"AATE019133";"AGAP005326";"ASIS016166"
"AALB007856";"AATE018858";"AGAP010210";"ASIS008559"
"AALB010380";"AATE008287";"AGAP011835";"ASIS005116"
"AALB002261";"AATE007596";"AGAP002423";"ASIS000551"
"AALB001091";"AATE015486";"AGAP008746";"ASIS004185"
"AALB008371";"AATE014220";"AGAP002633";"ASIS013265"
"AALB009653";"AATE018904";"AGAP002238";"ASIS004778"
"AALB015863";"AATE018031";"AGAP002527";"ASIS013845"
"AALB001430";"AATE008717";"AGAP009207";"ASIS003456"
"AALB000597";"AATE016096";"AGAP008481";"ASIS006764"
"AALB007478";"AATE002091";"AGAP004707";"ASIS000575"
"AALB007478";"AATE002091";"AGAP004707";"ASIS022126"
"AALB003837";"AATE020893";"AGAP011620";"ASIS020377"
"AALB010373";"AATE008368";"AGAP011842";"ASIS007792"
"AALB002045";"AATE009220";"AGAP003960";"ASIS009587"
"AALB004651";"AATE010680";"AGAP006405";"ASIS013595"
"AALB004651";"AATE010680";"AGAP006405";"ASIS009544"
"AALB004651";"AATE010680";"AGAP006405";"ASIS006839"
"AALB004651";"AATE017567";"AGAP006405";"ASIS013595"
"AALB004651";"AATE017567";"AGAP006405";"ASIS009544"
"AALB004651";"AATE017567";"AGAP006405";"ASIS006839"
"AALB004651";"AATE006407";"AGAP006405";"ASIS013595"
"AALB004651";"AATE006407";"AGAP006405";"ASIS009544"
"AALB004651";"AATE006407";"AGAP006405";"ASIS006839"
"AALB014160";"AATE001557";"AGAP009507";"ASIS019401"
"AALB002126";"AATE011488";"AGAP002200";"ASIS007685"
"AALB000178";"AATE011786";"AGAP008233";"ASIS017490"
"AALB015489";"AATE004956";"AGAP008767";"ASIS005868"
"AALB009759";"AATE010697";"AGAP010351";"ASIS006085"
"AALB003693";"AATE007542";"AGAP004694";"ASIS012170"
"AALB004074";"AATE001426";"AGAP004855";"ASIS007711"
"AALB004074";"AATE001426";"AGAP004855";"ASIS022134"
"AALB004074";"AATE001426";"AGAP004855";"ASIS001462"
"AALB004074";"AATE001426";"AGAP004855";"ASIS007501"
"AALB004074";"AATE001426";"AGAP004855";"ASIS007167"
"AALB004074";"AATE001426";"AGAP004855";"ASIS020231"
"AALB001587";"AATE003600";"AGAP010003";"ASIS002893"
"AALB015812";"AATE011031";"AGAP007543";"ASIS018849"
"AALB006215";"AATE015284";"AGAP007578";"ASIS010757"
"AALB010014";"AATE003769";"AGAP012100";"ASIS009747"
"AALB009046";"AATE020907";"AGAP002353";"ASIS003113"
"AALB001749";"AATE000329";"AGAP008427";"ASIS014743"
"AALB009739";"AATE004648";"AGAP000215";"ASIS021138"
"AALB007160";"AATE006872";"AGAP003190";"ASIS013560"
"AALB000166";"AATE012040";"AGAP008247";"ASIS022266"
"AALB000166";"AATE012040";"AGAP012476";"ASIS022266"
"AALB015785";"AATE006667";"AGAP009633";"ASIS023104"
"AALB007277";"AATE016112";"AGAP003139";"ASIS020484"
"AALB007277";"AATE016112";"AGAP012938";"ASIS020484"
"AALB004966";"AATE017028";"AGAP006938";"ASIS014610"
"AALB003212";"AATE019296";"AGAP005198";"ASIS002159"
"AALB004538";"AATE004696";"AGAP007373";"ASIS020329"
"AALB001234";"AATE011137";"AGAP010371";"ASIS001477"
"AALB008580";"AATE020093";"AGAP001727";"ASIS014742"
"AALB010524";"AATE018036";"AGAP010835";"ASIS014273"
"AALB001504";"AATE002313";"AGAP008132";"ASIS011710"
"AALB003128";"AATE005050";"AGAP003814";"ASIS005828"
"AALB004213";"AATE001614";"AGAP005553";"ASIS003744"
"AALB000668";"AATE015094";"AGAP009889";"ASIS021840"
"AALB007135";"AATE009939";"AGAP002013";"ASIS004226"
"AALB007135";"AATE003241";"AGAP002013";"ASIS004226"
"AALB004362";"AATE012277";"AGAP005216";"ASIS005111"
"AALB006674";"AATE020065";"AGAP000698";"ASIS019415"
"AALB003131";"AATE011867";"AGAP003808";"ASIS015298"
"AALB000335";"AATE011479";"AGAP007992";"ASIS006477"
"AALB015744";"AATE009952";"AGAP006047";"ASIS005885"
"AALB000706";"AATE007054";"AGAP008518";"ASIS004832"
"AALB006341";"AATE006230";"AGAP000382";"ASIS003588"
"AALB015694";"AATE005001";"AGAP006879";"ASIS015269"
"AALB005537";"AATE017717";"AGAP005549";"ASIS007318"
"AALB002816";"AATE007563";"AGAP003466";"ASIS004043"
"AALB001945";"AATE015002";"AGAP009862";"ASIS015341"
"AALB001945";"AATE015002";"AGAP009862";"ASIS018627"
"AALB000847";"AATE014010";"AGAP007955";"ASIS002460"
"AALB000945";"AATE011816";"AGAP028421";"ASIS001200"
"AALB009652";"AATE013032";"AGAP002239";"ASIS015778"
"AALB009212";"AATE015867";"AGAP001274";"ASIS023494"
"AALB000854";"AATE009908";"AGAP008976";"ASIS005182"
"AALB005041";"AATE017863";"AGAP006111";"ASIS014095"
"AALB008969";"AATE009250";"AGAP002712";"ASIS021617"
"AALB009491";"AATE016509";"AGAP003284";"ASIS004037"
"AALB006693";"AATE011758";"AGAP000844";"ASIS012779"
"AALB006693";"AATE016412";"AGAP000844";"ASIS012779"
"AALB009854";"AATE003043";"AGAP010504";"ASIS002199"
"AALB009854";"AATE003043";"AGAP010505";"ASIS002199"
"AALB009854";"AATE003043";"AGAP010504";"ASIS017492"
"AALB009854";"AATE003043";"AGAP010505";"ASIS017492"
"AALB001872";"AATE013164";"AGAP009647";"ASIS004793"
"AALB010030";"AATE014743";"AGAP011513";"ASIS017939"
"AALB000894";"AATE007882";"AGAP010008";"ASIS004096"
"AALB006884";"AATE009214";"AGAP001010";"ASIS004457"
"AALB003255";"AATE004783";"AGAP006264";"ASIS011810"
"AALB004288";"AATE020025";"AGAP006017";"ASIS003887"
"AALB004866";"AATE001622";"AGAP005263";"ASIS023207"
"AALB003405";"AATE009237";"AGAP001601";"ASIS017830"
"AALB002753";"AATE012585";"AGAP002394";"ASIS006354"
"AALB009683";"AATE021032";"AGAP002607";"ASIS023726"
"AALB009227";"AATE007063";"AGAP001512";"ASIS022204"
