;block_id;atr_coords;alb_coords;anchors
1;108;KI421883:8666067-10531980;e2:75239-1302546;77
2;110;KI421888:224030-1943508;e2:1344376-2986569;66
3;113;KI421888:1968190-2866767;e2:3877923-4761365;38
4;127;KI421888:4173801-5669423;e2:9143243-10553887;70
5;415;KI421884:10448735-10464988, KI421891:1203978-2175573;e3:30487363-31214188;41
6;428;KI421889:746-527765, KI421900:2896153-3533547;e4:889165-2285035;46
7;544;KI421887:7281381-8294144;e5:102556-914304;57
8;629;KI421902:6160-511184, KI421910:136226-308798;e5:27020957-27825555;38
