alb_ID alb_chr alb_start alb_length alb_strand atr_scf atr_start atr_length atr_strand gam_chr gam_start gam_length gam_strand
AALB010823 e5 121859622 1266 -1 e5 170680235 4456 1 e5 220993088 25601 -1
AALB006965 e5 126254619 2626 -1 e5 195187519 3277 -1 e5 200342184 2744 1
AALB010372 e5 114617842 2803 1 e5 170124515 1295 1 e5 221941310 1352 -1
AALB010676 e5 119442407 11661 -1 e5 170742249 11813 1 e5 220889637 5244 -1
AALB010089 e5 109524840 2229 1 e5 180866145 19532 -1 e5 227903986 1791 1
AALB006967 e5 126261295 3738 -1 e5 195194217 4275 -1 e5 200331594 4398 1
AALB007385 e5 129387828 1537 1 e5 191747622 2285 -1 e5 209045522 1584 1
AALB003849 e5 103696970 1951 -1 e5 166683285 2027 1 e5 217658643 1948 1
AALB003798 e5 102811056 11102 1 e5 168709696 18263 -1 e5 229883335 14947 1
AALB009910 e5 106424821 11016 -1 e5 178340352 15415 1 e5 203287224 13270 1
AALB010125 e5 110415335 1658 1 e5 177030336 1646 1 e5 224042848 1612 -1
AALB009801 e5 105038628 2015 1 e5 164540843 1853 -1 e5 212687841 1778 1
AALB010711 e5 119963782 2207 1 e5 164703734 1273 -1 e5 198060434 1174 -1
AALB010818 e5 121812584 6211 -1 e5 170724573 3529 1 e5 220924121 4767 -1
AALB010056 e5 109107591 2764 1 e5 173212994 24609 1 e5 220301645 27275 -1
AALB003820 e5 103110548 1369 -1 e5 169728350 4538 1 e5 222516536 6756 -1
AALB003848 e5 103636742 5705 1 e5 166749921 19658 -1 e5 217729673 16200 -1
AALB010489 e5 116276489 4346 -1 e5 163821846 5880 1 e5 226072336 5974 -1
AALB003756 e5 102371213 11815 -1 e5 169263686 2234 1 e5 223178338 3577 -1
AALB010723 e5 120060734 4834 -1 e5 164596441 4309 1 e5 197800890 6089 1
AALB010573 e5 117717090 8071 -1 e5 161828922 14753 -1 e5 207345217 8443 -1
AALB009850 e5 105548292 629 -1 e5 193652867 858 1 e5 193023935 824 -1
AALB007106 e5 128648033 9084 1 e5 173112505 7594 1 e5 220415639 1408 -1
AALB003718 e5 102022074 3290 1 e5 171128144 2288 1 e5 229652767 2145 1
AALB009966 e5 107638376 591 1 e5 182190179 8009 -1 e5 226952430 6623 -1
AALB009914 e5 106449308 20100 -1 e5 178305983 26158 1 e5 203258616 19240 1
AALB007114 e5 128770377 857 -1 e5 164032624 5799 -1 e5 213208136 761 1
AALB003841 e5 103512924 8711 -1 e5 166865740 48460 1 e5 217870622 56973 1
AALB015541 e5 102322874 1062 -1 e5 169349695 1201 1 e5 223086195 956 -1
AALB010359 e5 114492362 336 -1 e5 162427211 18591 -1 e5 207962978 21863 -1
AALB007356 e5 130155102 3078 1 e5 197088922 8628 1 e5 188602470 18953 -1
AALB010440 e5 115558591 2172 1 e5 181385304 2675 -1 e5 202348046 1615 -1
AALB003728 e5 102059334 5640 1 e5 169656504 8853 -1 e5 222602499 11990 1
AALB007051 e5 127864966 634 -1 e5 179214098 1378 1 e5 206146590 1533 1
AALB010099 e5 109683932 3961 1 e5 172834849 7100 1 e5 215917887 5643 -1
AALB010707 e5 119930515 2072 -1 e5 164727821 6090 1 e5 198158529 1625 1
AALB010683 e5 119652708 2112 1 e5 165005998 2144 -1 e5 198515630 4411 -1
AALB010807 e5 121672373 15626 1 e5 163764113 23703 -1 e5 226116555 18920 1
AALB010613 e5 118579518 4841 1 e5 187161326 9762 1 e5 226416844 3267 1
AALB010201 e5 111898762 1989 -1 e5 182461542 959 1 e5 227136049 888 1
AALB010714 e5 120016943 1906 1 e5 164649454 29834 -1 e5 197984726 45397 -1
AALB010403 e5 115018568 5898 1 e5 185747559 11306 -1 e5 194748435 5447 1
AALB010323 e5 113915683 5373 1 e5 167959649 4769 1 e5 219337614 1994 1
AALB003856 e5 103892419 2414 -1 e5 166433728 2952 1 e5 217365513 3057 1
AALB009829 e5 105368220 1553 1 e5 194005743 1986 -1 e5 197015815 1778 -1
AALB010498 e5 116848265 476 -1 e5 189298736 704 -1 e5 228176626 472 1
AALB003791 e5 102763256 1615 -1 e5 168787624 2076 1 e5 229308041 1698 -1
AALB007434 e5 128952548 949 1 e5 192250707 1939 -1 e5 208448745 461 1
AALB010370 e5 114613950 1157 1 e5 170119202 1031 1 e5 221949571 5032 -1
AALB010183 e5 111756788 3483 -1 e5 182649452 4835 1 e5 227283669 3979 1
AALB010619 e5 118667511 2097 1 e5 187299070 2481 1 e5 226525343 2083 1
AALB007618 e5 131800407 9194 -1 e5 198118411 14021 1 e5 200445623 10087 -1
AALB003839 e5 103486824 3621 -1 e5 166919869 2024 1 e5 217951600 3617 1
AALB010135 e5 110701068 2999 -1 e5 171574850 3373 1 e5 225132873 3171 -1
AALB010461 e5 115954424 9553 1 e5 194286583 15864 -1 e5 209315990 13642 -1
AALB010828 e5 121917244 3194 -1 e5 170623020 4037 1 e5 221078573 3917 -1
AALB010187 e5 111785777 4842 -1 e5 182608618 8667 1 e5 227256268 1159 1
AALB010091 e5 109546572 1435 1 e5 180841367 2228 -1 e5 227925259 1222 1
AALB010284 e5 113156787 10391 1 e5 170066713 10639 -1 e5 222012713 10652 1
AALB010523 e5 117058174 2410 -1 e5 162874701 2251 1 e5 199679194 2397 -1
AALB006993 e5 126685893 1824 -1 e5 195619722 3795 -1 e5 201798420 1863 -1
AALB009983 e5 107858952 9032 -1 e5 185391167 4539 1 e5 227472447 7061 -1
AALB010438 e5 115532130 1184 -1 e5 181423784 1262 1 e5 202384090 1244 1
AALB010687 e5 119724459 5125 1 e5 164936203 15412 -1 e5 198425832 6504 -1
AALB010393 e5 114803680 1104 -1 e5 186026496 1340 1 e5 194506699 1102 -1
AALB004033 e5 123358841 4399 -1 e5 174947054 5688 1 e5 205280769 5208 1
AALB010307 e5 113745099 4129 -1 e5 167785612 11928 -1 e5 219062827 19311 -1
AALB007415 e5 129087408 1815 1 e5 192069059 13309 -1 e5 208634707 1618 1
AALB010634 e5 118794435 14555 1 e5 187485487 9312 1 e5 200008689 8605 1
AALB010621 e5 118670544 1058 1 e5 187302590 1315 1 e5 199831682 1149 1
AALB010753 e5 120819098 2024 -1 e5 174546345 1970 -1 e5 204913903 1796 -1
AALB008498 e5 125324614 1702 1 e5 173842482 1953 -1 e5 219678723 1474 1
AALB003850 e5 103701522 1984 1 e5 166655111 25045 -1 e5 217653648 1985 -1
AALB010679 e5 119557591 6351 -1 e5 161431835 14940 -1 e5 206921456 18129 -1
AALB010288 e5 113314453 906 1 e5 169941300 803 -1 e5 222234612 606 1
AALB003782 e5 102603188 6305 1 e5 168975578 5843 -1 e5 229095153 5634 1
AALB009942 e5 107175255 14826 1 e5 177412268 2407 -1 e5 223677223 2131 1
AALB009773 e5 104752834 1602 1 e5 186449484 1488 1 e5 224708761 1430 1
AALB009811 e5 105136097 9665 -1 e5 164392873 37131 1 e5 212823770 8045 -1
AALB010485 e5 116237558 10298 -1 e5 184317330 14291 -1 e5 226029764 6128 -1
AALB003730 e5 102068569 3511 -1 e5 169647626 4375 1 e5 222622871 7437 -1
AALB010846 e5 122369849 7597 1 e5 163177278 8631 -1 e5 199293904 2602 1
AALB010156 e5 111147024 28151 -1 e5 192469455 32713 -1 e5 197748727 29161 1
AALB010497 e5 116844813 3419 -1 e5 189296247 675 -1 e5 228178876 653 1
AALB003817 e5 102923153 1361 -1 e5 169695042 1352 -1 e5 222562292 1463 1
AALB003998 e5 124024447 2332 1 e5 197874764 3266 -1 e5 192192114 2340 -1
AALB010143 e5 110802716 2868 1 e5 171456003 3558 -1 e5 225292210 3424 1
AALB010544 e5 117236660 5871 1 e5 181264431 3632 1 e5 196878224 3056 1
AALB010291 e5 113364175 9094 -1 e5 167403928 8153 -1 e5 218530636 4410 -1
AALB010047 e5 108962409 8245 1 e5 184404586 39875 -1 e5 213503928 6676 -1
AALB010141 e5 110741662 12143 -1 e5 171518329 37775 1 e5 225173899 26248 -1
AALB009834 e5 105403656 2223 1 e5 193940536 4999 -1 e5 196964906 3334 -1
AALB010093 e5 109570407 1468 1 e5 180777850 2451 -1 e5 227950474 1270 1
AALB010858 e5 122662377 1478 -1 e5 180649416 4498 -1 e5 221305424 4261 -1
AALB010154 e5 111136995 2436 -1 e5 172167930 4042 -1 e5 214822118 2685 -1
AALB010103 e5 109726162 3132 -1 e5 172896038 3614 -1 e5 215870068 3019 1
AALB007044 e5 127828102 4426 -1 e5 179244466 3112 1 e5 206182681 4177 1
AALB010787 e5 121310648 628 1 e5 187896374 1246 1 e5 226675571 930 1
AALB007053 e5 127903997 8639 1 e5 179137844 8413 -1 e5 206092195 7827 -1
AALB010584 e5 117813785 4466 1 e5 161915432 5100 1 e5 207436269 6179 1
AALB008511 e5 125247717 8124 1 e5 164195146 29416 1 e5 212997679 10718 -1
AALB007579 e5 130816538 2442 -1 e5 194859998 14216 1 e5 190814910 25136 1
AALB010078 e5 109389269 5491 1 e5 181120423 6866 -1 e5 227759357 5450 1
AALB007581 e5 130895783 1268 -1 e5 194774892 2951 1 e5 190750122 3385 1
AALB007021 e5 127097890 2314 -1 e5 191653980 2530 1 e5 196567952 2163 1
AALB003955 e5 124510673 1366 1 e5 191071928 1665 -1 e5 211212539 1433 -1
AALB010608 e5 118427290 3099 -1 e5 178568809 3350 1 e5 203471441 745 1
AALB010221 e5 112381757 2461 -1 e5 176622886 12522 -1 e5 194194147 22246 -1
AALB009791 e5 104914857 4891 1 e5 191308356 3583 1 e5 219599046 2078 -1
AALB010450 e5 115780764 5361 1 e5 163453495 5157 -1 e5 198960533 6061 1
AALB010763 e5 120907700 1535 1 e5 184252119 1597 -1 e5 205389054 1172 1
AALB009919 e5 107049411 6869 1 e5 177571211 8525 -1 e5 202585763 6929 -1
AALB010256 e5 112672618 2336 -1 e5 170287015 2036 -1 e5 221707840 1747 1
AALB003963 e5 124317208 4701 1 e5 175336737 8747 1 e5 211798730 4143 -1
AALB010568 e5 117644242 1542 -1 e5 161725656 5426 -1 e5 207261445 6728 -1
AALB003900 e5 130443553 1440 1 e5 197406800 2170 1 e5 190672930 1169 1
AALB010302 e5 113694097 4928 -1 e5 167736406 6834 -1 e5 218990847 4338 -1
AALB007571 e5 130648662 5349 1 e5 195093997 5476 -1 e5 190962989 4715 -1
AALB003838 e5 103480024 566 1 e5 166929283 563 -1 e5 217967390 560 -1
AALB010211 e5 112122526 8072 -1 e5 176275358 29773 -1 e5 193788275 45148 -1
AALB009972 e5 107692745 785 1 e5 182118949 746 -1 e5 228743910 692 1
AALB010604 e5 118269434 3203 -1 e5 178764634 4308 1 e5 203685562 2857 1
AALB009990 e5 107966009 4079 -1 e5 168515422 2374 -1 e5 211910876 2942 1
AALB007370 e5 129805014 5820 -1 e5 196797461 4812 -1 e5 189292913 52999 -1
AALB007058 e5 127933182 1973 1 e5 179114972 2243 -1 e5 206064757 1702 -1
AALB009846 e5 105537818 1327 1 e5 193668383 1316 -1 e5 193009920 1183 1
AALB010205 e5 111952827 1925 -1 e5 176084800 4984 -1 e5 193596904 1066 -1
AALB010259 e5 112677631 1393 -1 e5 170291582 1686 -1 e5 221701791 1628 1
AALB004024 e5 123556659 1466 -1 e5 189353246 2746 -1 e5 209475555 1814 -1
AALB009870 e5 105943455 1501 1 e5 193134875 1509 -1 e5 200898256 1453 -1
AALB007590 e5 130970611 4019 1 e5 194680785 6682 -1 e5 191148608 2915 1
AALB004066 e5 123074767 6060 1 e5 172232553 8401 -1 e5 214912849 6381 -1
AALB010529 e5 117111376 3167 1 e5 162824737 29533 1 e5 196236647 10855 -1
AALB010358 e5 114488064 2135 1 e5 162422927 2740 1 e5 207959065 2521 1
AALB010306 e5 113736624 869 1 e5 167776397 912 1 e5 219049500 883 1
AALB010853 e5 122619794 2481 -1 e5 162926134 4294 1 e5 199611809 1456 -1
AALB010293 e5 113416651 3417 -1 e5 167461080 11632 -1 e5 218613952 15747 -1
AALB003772 e5 102517167 1105 1 e5 169079061 1273 -1 e5 223435129 1124 1
AALB010298 e5 113533861 4585 -1 e5 167579174 6251 -1 e5 218770309 3894 -1
AALB010107 e5 109831413 2931 1 e5 173065402 10278 1 e5 215732404 703 -1
AALB004042 e5 123259666 4908 -1 e5 175062056 7585 1 e5 225952474 4686 -1
AALB010273 e5 112909619 1389 1 e5 181152627 1485 -1 e5 196712652 1423 -1
AALB010574 e5 117739116 4422 -1 e5 161858687 4182 -1 e5 207374349 2644 -1
AALB009880 e5 106043674 3510 -1 e5 183017283 46218 -1 e5 195796790 11961 -1
AALB010747 e5 120614291 1481 1 e5 174320482 1400 1 e5 204707845 1019 1
AALB010134 e5 110690426 616 -1 e5 171580526 11588 1 e5 225111227 10803 -1
AALB010249 e5 112593347 1353 1 e5 170205385 1211 1 e5 221819821 1191 -1
AALB001253 e5 133323744 3730 -1 e5 199046246 3757 1 e5 189909642 3574 -1
AALB003803 e5 102839884 6011 -1 e5 168679490 7512 1 e5 229695719 6010 -1
AALB010725 e5 120076383 1520 -1 e5 164584575 1792 1 e5 196297392 1290 -1
AALB009947 e5 107296003 1892 1 e5 175780410 518 1 e5 193274325 1474 1
AALB006992 e5 126682119 3695 1 e5 195617678 2790 1 e5 201796815 1554 1
AALB009844 e5 105530495 2447 -1 e5 193674910 4601 1 e5 192997627 2074 -1
AALB010231 e5 112464036 4372 1 e5 176745562 4641 1 e5 194318420 4545 -1
AALB003717 e5 101997982 4346 1 e5 171074400 5017 1 e5 229587795 1742 1
AALB003805 e5 102850887 1542 -1 e5 171237263 1673 1 e5 229710930 1502 -1
AALB010479 e5 116199672 1110 1 e5 174608563 3977 -1 e5 204977769 1139 -1
AALB010762 e5 120906248 800 -1 e5 184254182 1287 1 e5 225962285 1233 1
AALB010618 e5 118646380 8328 -1 e5 187250214 17735 -1 e5 226504743 6629 -1
AALB010830 e5 121922227 11780 1 e5 170609673 12960 -1 e5 221121360 3913 1
AALB006962 e5 126233013 1776 -1 e5 195170458 1986 -1 e5 200371137 1059 1
AALB015562 e5 125307950 2014 1 e5 164292968 2438 1 e5 212936994 1974 -1
AALB010409 e5 115216658 2054 1 e5 185521525 12672 -1 e5 195025204 2651 1
AALB009932 e5 107128475 1961 1 e5 177475754 2140 -1 e5 202441802 1818 -1
AALB010011 e5 108162660 1533 1 e5 171242770 1562 1 e5 225590799 1827 1
AALB009923 e5 107082766 1268 -1 e5 177537677 2850 1 e5 202540826 1771 1
