Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Anopheles atroparvus gene stable ID,Anopheles atroparvus chromosome/scaffold,Anopheles atroparvus start (bp),Anopheles atroparvus end (bp),Anopheles gambiae gene stable ID,Anopheles gambiae chromosome/scaffold,Anopheles gambiae start (bp),Anopheles gambiae end (bp)
AALB007755,X,11017980,11032019,1,AATE011699,KI421898,729926,741828,AGAP001061,X,22104915,22212120
AALB006504,X,5738500,5747957,-1,,,,,,,,
AALB009739,X,12186877,12192832,1,AATE004648,KI421896,174045,186107,AGAP000215,X,3571832,3581714
AALB006674,X,3495528,3496697,-1,AATE020065,KI421898,2189664,2191358,AGAP000698,X,12541162,12542852
AALB006341,X,7828373,7829138,1,AATE006230,KI421898,1609311,1614269,AGAP000382,X,6943073,6944078
AALB006693,X,3358906,3367581,-1,AATE011758,KI421898,1573917,1578972,AGAP000844,X,15570148,15577691
AALB006693,X,3358906,3367581,-1,AATE016412,AXCP01008100,8987,12076,AGAP000844,X,15570148,15577691
AALB007722,X,9618649,9625588,1,AATE006092,KI421895,2893472,2902306,,,,
AALB006884,X,884193,887852,1,AATE009214,KI421895,1237472,1256500,AGAP001010,X,19263984,19269266
AALB007770,X,10882546,10885026,-1,AATE016320,KI421898,1799096,1803958,AGAP000724,X,13154935,13156918
AALB006445,X,6343611,6345277,1,AATE018948,KI421898,1121214,1128627,AGAP000540,X,9662048,9670481
AALB014582,X,4812135,4814290,-1,,,,,,,,
AALB006535,X,5325471,5326753,-1,,,,,AGAP000609,X,11075755,11077052
AALB006872,X,1158359,1163451,1,AATE002936,KI421896,3164283,3175528,AGAP000203,X,3355862,3371951
AALB003326,X,10405038,10405804,1,AATE006815,KI421895,2858378,2859604,AGAP000942,X,18252084,18253792
AALB006384,X,7336365,7338185,1,AATE011572,KI421895,1934931,1940088,AGAP000964,X,18531766,18534558
AALB006271,X,8547052,8547968,1,,,,,AGAP000760,X,13773040,13774708
AALB006382,X,7356641,7358617,1,AATE000460,KI421895,1980140,1983465,AGAP000966,X,18557873,18559842
AALB007743,X,9776823,9780964,1,AATE008091,KI421907,1261501,1265629,AGAP000666,X,11804663,11808611
AALB007743,X,9776823,9780964,1,AATE016621,KI421901,1096831,1098423,AGAP000666,X,11804663,11808611
AALB006921,X,382825,388070,-1,AATE008203,KI421898,1552072,1554567,,,,
AALB007726,X,9645700,9651518,-1,AATE016581,KI421896,1680105,1683640,,,,
AALB006683,X,3433118,3434838,1,AATE021100,KI421894,4292640,4294628,AGAP000881,X,16705324,16707385
AALB006883,X,980404,985510,1,AATE015765,KI421895,1031287,1035328,AGAP001008,X,19111845,19113372
AALB006607,X,4499242,4500081,1,AATE016682,KI421895,648564,649655,AGAP000433,X,7694969,7699060
AALB006269,X,8554392,8558418,1,AATE012584,KI421898,583424,591315,,,,
AALB006945,X,33306,38912,-1,AATE020937,KI421898,2311670,2333560,AGAP000688,X,12317276,12409855
AALB006284,X,8449634,8451906,-1,AATE017716,KI421895,3236199,3238772,AGAP000180,X,3000116,3001857
AALB007756,X,10997897,11000302,-1,AATE003631,KI421898,705594,708999,,,,
AALB014566,X,8068861,8072109,-1,,,,,,,,
AALB006876,X,1099756,1101450,1,AATE011382,KI421907,390709,408840,,,,
AALB006940,X,183413,184449,-1,AATE008628,KI421896,1138612,1139503,AGAP000639,X,11415445,11488785
AALB006385,X,7330023,7334333,1,,,,,AGAP006237,2L,28574752,28575648
AALB006823,X,1672330,1674816,-1,AATE011455,KI421895,2973845,2978678,AGAP012964,X,17536846,17539624
AALB006388,X,7267814,7271816,1,AATE012318,KI421896,1753777,1766759,AGAP000715,X,12859844,12886948
AALB006375,X,7400815,7405037,-1,AATE007528,KI421899,3855682,3857109,AGAP000367,X,6773087,6774793
AALB006455,X,6235988,6239037,1,AATE005699,KI421895,3286856,3294760,AGAP000528,X,9473978,9480310
AALB006493,X,5889044,5892373,1,AATE001608,KI421896,4109877,4116065,AGAP000551,X,9857331,9862712
AALB006752,X,2560282,2561813,-1,AATE014235,KI421898,1106491,1107531,,,,
AALB006634,X,4250560,4253143,1,AATE007386,KI421898,3793603,3797170,AGAP013356,X,1234904,1238491
AALB006321,X,8052647,8055863,1,AATE000623,KI421919,300935,304791,AGAP000983,X,18833751,18837401
AALB006908,X,569050,574025,1,AATE003951,KI421898,210690,224260,AGAP000558,X,9898339,9926222
AALB003289,X,10052254,10054841,-1,AATE004025,KI421898,1587330,1590169,AGAP013101,X,15552854,15554517
AALB006673,X,3498067,3521297,-1,AATE006348,KI421898,2191566,2213298,AGAP000697,X,12519279,12536726
AALB007740,X,9769465,9771638,-1,AATE020292,KI421895,2937679,2939949,AGAP010271,3R,51913527,51916023
AALB006559,X,5000682,5002456,-1,AATE004285,KI421988,7951,9717,,,,
AALB006281,X,8460969,8464197,-1,AATE001231,KI421907,258590,265553,AGAP028653,X,2965384,2970736
AALB006679,X,3480085,3484521,1,AATE005125,KI421898,1468827,1473650,AGAP000853,X,15745790,15749906
AALB007679,X,9072570,9083882,1,AATE000263,KI421895,2107059,2116112,AGAP000958,X,18370381,18381700
AALB006572,X,4851118,4852651,1,AATE015902,KI421898,896786,898718,AGAP000445,X,7833802,7835573
AALB006612,X,4473264,4475881,1,,,,,,,,
AALB007795,X,10590253,10593136,-1,AATE020488,KI421920,27813,31171,AGAP000841,X,15543194,15548834
AALB014604,X,2913972,2914356,-1,,,,,,,,
AALB007641,X,8781492,8784857,-1,AATE016081,KI421896,1978577,1981869,AGAP000884,X,16719925,16727252
AALB006328,X,7899824,7901504,1,AATE001473,KI421896,825986,828236,,,,
AALB006732,X,2865828,2866514,-1,,,,,,,,
AALB006431,X,6414404,6417102,1,AATE007879,KI421959,14161,22988,AGAP000130,X,2070306,2072944
AALB014622,X,358475,359992,1,,,,,,,,
AALB006459,X,6195008,6200951,-1,AATE003961,KI422136,432,5531,,,,
AALB006682,X,3439212,3446321,-1,AATE008218,KI421907,1471191,1481601,AGAP000461,X,7976367,8003775
AALB006895,X,694101,698841,1,AATE005673,KI421898,874823,881758,AGAP000262,X,4925268,4930616
AALB007638,X,8764847,8769032,1,AATE004833,KI421896,3646344,3649939,AGAP000104,X,1739264,1746900
AALB006929,X,343277,344489,1,AATE016003,KI421919,53297,57733,AGAP000328,X,5759812,5767276
AALB006932,X,310834,318481,1,AATE011959,KI421919,122558,136343,AGAP000320,X,5679568,5695844
AALB006942,X,165520,173724,-1,AATE001169,KI421896,1162806,1170169,AGAP000635,X,11387693,11397817
AALB007659,X,8948621,8954724,-1,AATE011817,KI421895,2184034,2191600,AGAP000787,X,14325021,14343038
AALB006614,X,4436845,4445197,-1,AATE013103,KI421898,3561927,3580148,AGAP000095,X,1550317,1558031
AALB006391,X,7139814,7146141,-1,AATE013215,KI422046,12249,33206,AGAP000574,X,10111155,10112352
AALB006937,X,235829,243782,-1,AATE009280,KI421896,1067115,1081200,AGAP000646,X,11508185,11520692
AALB006937,X,235829,243782,-1,AATE001356,KI421885,10501268,10504246,AGAP000646,X,11508185,11520692
AALB006937,X,235829,243782,-1,AATE019141,KI421882,8200085,8201950,AGAP000646,X,11508185,11520692
AALB007705,X,9470716,9471026,-1,AATE009498,KI421896,898388,899115,AGAP007630,2L,48473028,48473276
AALB007705,X,9470716,9471026,-1,AATE009498,KI421896,898388,899115,AGAP000669,X,11840406,11841085
AALB006833,X,1581981,1585577,-1,AATE013720,KI421947,117209,121100,AGAP000578,X,10167830,10174585
AALB006395,X,7080488,7083798,1,AATE017475,KI421895,2610201,2614407,AGAP000938,X,17997200,18009612
AALB006314,X,8153102,8168288,-1,AATE002558,KI421943,61021,65886,AGAP000418,X,7444787,7475172
AALB006792,X,1995580,2003225,1,AATE013028,KI421898,855214,872119,AGAP000264,X,4937232,4952623
AALB006537,X,5312259,5314204,-1,AATE006576,KI421895,315713,330756,AGAP000606,X,10929172,11101428
AALB006362,X,7545606,7546110,1,AATE011657,KI421898,3540304,3541487,AGAP000793,X,14439438,14439960
AALB006365,X,7495844,7503393,-1,AATE009927,KI421896,1503333,1512052,AGAP001039,X,20009765,20017250
AALB006365,X,7495844,7503393,-1,AATE016092,AXCP01008102,5486,14210,AGAP001039,X,20009765,20017250
AALB006408,X,6605636,6609831,1,AATE012091,KI421895,3454524,3467753,AGAP000345,X,5983741,5996498
AALB015533,X,10064441,10066056,1,AATE016157,KI421920,402634,404683,AGAP000530,X,9489777,9491495
AALB006358,X,7572657,7575016,1,AATE006932,KI421940,50467,63579,AGAP000207,X,3430195,3452324
AALB006598,X,4545343,4553884,-1,,,,,AGAP000437,X,7721791,7723233
AALB006412,X,6549733,6552724,1,AATE010720,KI421919,361551,367676,AGAP000285,X,5115540,5119032
AALB007767,X,10890101,10891609,-1,AATE014083,KI421891,1814876,1816429,AGAP000513,X,9095144,9096804
AALB006474,X,6030660,6038190,-1,AATE013049,KI421896,536113,545890,AGAP000930,X,17572688,17584166
AALB006564,X,4913281,4915033,-1,AATE001099,KI421896,2920976,2923077,AGAP000154,X,2485052,2486869
AALB006611,X,4475986,4481104,1,,,,,,,,
AALB006815,X,1716663,1723000,1,AATE009592,KI421898,467599,477160,AGAP000653,X,11683504,11686565
AALB006753,X,2549875,2553439,-1,AATE014520,KI421898,1093329,1097407,AGAP000538,X,9631418,9634853
AALB003283,X,9966374,9968872,-1,AATE016607,KI421992,43083,45505,AGAP000818,X,15240572,15242864
AALB007789,X,10633449,10638882,-1,AATE006799,KI421898,519752,526408,AGAP012429,UNKN,284129,301557
AALB014561,X,8543111,8544820,-1,,,,,,,,
AALB014700,X,9270596,9272573,-1,,,,,,,,
AALB006880,X,1000698,1010744,-1,AATE006248,KI421907,524002,547749,AGAP000198,X,3227256,3258334
AALB006475,X,6027173,6029679,1,AATE009337,KI421895,378786,382639,AGAP000614,X,11191463,11196870
AALB007695,X,9355123,9357914,-1,AATE009131,KI421896,3190955,3194906,AGAP000128,X,2057361,2061212
AALB007631,X,8696560,8699706,1,AATE018212,KI421898,294002,300437,AGAP000961,X,18406758,18410245
AALB014596,X,3429397,3430946,-1,,,,,,,,
AALB007629,X,8685413,8687780,1,AATE010923,KI421977,16461,30379,AGAP000011,X,127704,134756
AALB006274,X,8514172,8516455,1,,,,,AGAP013154,X,12751181,12753181
AALB006692,X,3369184,3372596,-1,AATE019956,KI421926,147692,149493,AGAP000951,X,18328709,18330466
AALB006426,X,6431001,6431493,1,AATE021192,KI421898,8301,9285,AGAP000278,X,5035248,5036100
AALB006660,X,3901528,3902859,1,,,,,,,,
AALB006919,X,427280,428924,-1,,,,,,,,
AALB003319,X,10299205,10301734,-1,,,,,,,,
AALB006498,X,5843921,5845045,1,AATE006791,KI421896,4158427,4161464,AGAP000649,X,11597718,11599288
AALB006873,X,1152233,1157060,-1,AATE008512,KI421898,2564298,2574494,AGAP001081,X,23370755,23374875
AALB006873,X,1152233,1157060,-1,AATE008512,KI421898,2564298,2574494,AGAP000202,X,3335581,3335905
AALB006510,X,5696092,5701723,1,AATE021012,KI421896,4398009,4404032,AGAP000233,X,4379330,4384049
AALB006646,X,4078959,4080596,1,AATE003062,AXCP01009381,1905,2732,AGAP000069,X,1060754,1062050
AALB006772,X,2155921,2160943,1,,,,,AGAP010670,3L,8197740,8201360
AALB006320,X,8058588,8060844,1,AATE015784,KI421919,323244,324204,AGAP013049,X,5424051,5424896
AALB006838,X,1538909,1544698,-1,AATE001861,KI421896,2206059,2218921,AGAP000390,X,7157708,7167818
AALB014623,X,339436,340690,-1,,,,,,,,
AALB007708,X,9509441,9512397,-1,AATE015722,KI421896,935489,938212,AGAP000484,X,8487286,8509533
AALB006594,X,4576459,4578061,-1,AATE019899,KI421907,612923,614228,AGAP000911,X,17155341,17156810
AALB007691,X,9338504,9344461,-1,AATE017087,KI421896,3250049,3254134,AGAP000138,X,2120272,2139554
AALB007691,X,9338504,9344461,-1,AATE007709,KI421896,3222657,3234493,AGAP000138,X,2120272,2139554
AALB006655,X,3930516,3931795,1,,,,,,,,
AALB006848,X,1356824,1358039,-1,AATE015216,KI421898,3403507,3408141,AGAP000797,X,14560430,14577309
AALB006779,X,2069106,2074857,-1,AATE018719,KI421896,2668976,2673700,AGAP000143,X,2180446,2185660
AALB003707,X,12000237,12029788,-1,AATE020389,KI421896,39077,65002,AGAP000331,X,5789782,5813837
AALB006865,X,1198172,1198818,-1,,,,,AGAP000556,X,9893768,9894079
AALB006542,X,5243791,5247174,-1,AATE011884,KI421896,29,2401,AGAP000824,X,15336218,15339506
AALB006505,X,5738303,5739667,1,AATE010147,KI421896,4321101,4326487,AGAP000228,X,4270081,4327087
AALB006309,X,8233139,8236943,-1,AATE018643,KI421895,2078643,2083460,AGAP000971,X,18641005,18648212
AALB014709,X,10748028,10748431,-1,,,,,,,,
AALB007643,X,8797066,8798451,1,AATE019449,KI421896,3266054,3267424,AGAP004736,2L,2968484,2969976
AALB006582,X,4724090,4724868,1,AATE019915,KI421967,21877,22417,,,,
AALB006677,X,3487401,3490295,1,AATE009010,KI421898,967947,972988,AGAP001070,X,22496341,22563331
AALB007762,X,10920103,10923910,-1,AATE003000,KI422113,24688,28623,AGAP000023,X,320064,323468
AALB014562,X,8441284,8441981,1,,,,,,,,
AALB014362,X,11867097,11867482,-1,,,,,,,,
