"aalbimanus_eg_gene";"aatroparvus_eg_gene";"agambiae_eg_gene"
"AALB004717";"AATE001324";"AGAP013092"
"AALB005004";"AATE008845";"AGAP007056"
"AALB002547";"AATE019422";"AGAP002495"
"AALB005551";"AATE006866";"AGAP006976"
"AALB001548";"AATE014640";"AGAP008943"
"AALB004339";"AATE005637";"AGAP005241"
"AALB004383";"AATE013144";"AGAP005295"
"AALB006264";"AATE003340";"AGAP000676"
"AALB009139";"AATE006947";"AGAP001538"
"AALB001837";"AATE019334";"AGAP008898"
"AALB000078";"AATE015012";"AGAP008778"
"AALB005518";"AATE016175";"AGAP007263"
"AALB008851";"AATE006249";"AGAP002167"
"AALB002092";"AATE016610";"AGAP004232"
"AALB015647";"AATE017911";"AGAP010425"
"AALB015647";"AATE017911";"AGAP010424"
"AALB005306";"AATE000470";"AGAP006821"
"AALB006194";"AATE019474";"AGAP006740"
"AALB010798";"AATE018839";"AGAP012333"
"AALB007122";"AATE009974";"AGAP003725"
"AALB009443";"AATE004893";"AGAP004198"
"AALB006132";"AATE010871";"AGAP006177"
"AALB007755";"AATE011699";"AGAP001061"
"AALB004978";"AATE000227";"AGAP005042"
"AALB005896";"AATE019133";"AGAP005326"
"AALB007856";"AATE018858";"AGAP010210"
"AALB010380";"AATE008287";"AGAP011835"
"AALB002261";"AATE007596";"AGAP002423"
"AALB007293";"AATE003326";"AGAP005082"
"AALB001091";"AATE015486";"AGAP008746"
"AALB008371";"AATE014220";"AGAP002633"
"AALB009653";"AATE018904";"AGAP002238"
"AALB015863";"AATE018031";"AGAP002527"
"AALB001430";"AATE008717";"AGAP009207"
"AALB000597";"AATE016096";"AGAP008481"
"AALB000049";"AATE011138";"AGAP007970"
"AALB008971";"AATE012394";"AGAP002711"
"AALB007478";"AATE002091";"AGAP004707"
"AALB004221";"AATE001420";"AGAP007033"
"AALB004221";"AATE001420";"AGAP007035"
"AALB004221";"AATE001420";"AGAP007036"
"AALB003837";"AATE020893";"AGAP011620"
"AALB010373";"AATE008368";"AGAP011842"
