# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
1 e5 101997982 31048 1 e5 171074400 61432 1 e5 229587795 73031 1
2 e5 102046644 514969 1 e5 169030442 646158 -1 e5 222588202 916471 1
3 e5 102590829 26027 1 e5 168968001 27164 -1 e5 229081812 26659 1
4 e5 102811056 34839 1 e5 168679490 48469 -1 e5 229695719 209055 -1
5 e5 102850887 63150 1 e5 171151730 87206 -1 e5 229681158 37287 -1
6 e5 103178920 1307957 1 e5 165722016 1598654 -1 e5 216348923 2068669 -1
7 e5 104487292 91059 1 e5 165604046 101152 -1 e5 215056144 98086 1
8 e5 104693705 135078 1 e5 186369658 194103 1 e5 224626272 184802 1
9 e5 104830125 13258 1 e5 191185639 21805 1 e5 199688385 17616 -1
10 e5 104900430 122094 1 e5 191292054 182744 1 e5 219449203 174322 -1
11 e5 105038628 158095 1 e5 164336101 206595 -1 e5 212687841 216378 1
12 e5 105391618 23527 1 e5 193928769 47458 -1 e5 196954322 28427 -1
13 e5 105485553 63368 1 e5 193652867 67531 -1 e5 192897980 126779 1
14 e5 106241975 13537 1 e5 183313388 8373 1 e5 204265051 6940 -1
15 e5 106424821 709619 1 e5 177467843 887924 -1 e5 202435542 864952 -1
16 e5 107138941 148738 1 e5 177275002 189749 -1 e5 223625786 205813 1
17 e5 107296003 18897 1 e5 175780410 24182 1 e5 193274325 24375 1
18 e5 107480774 37738 1 e5 182372492 69603 -1 e5 227084307 37440 -1
19 e5 107692745 126727 1 e5 181950916 168779 -1 e5 228743910 114052 1
20 e5 107847227 39575 1 e5 185358867 50224 -1 e5 227457584 45000 1
21 e5 107927080 43008 1 e5 168471582 46214 1 e5 211910876 77855 -1
22 e5 108051914 88519 1 e5 168561216 92592 1 e5 225415948 140774 1
23 e5 108162660 96257 1 e5 171242770 91406 1 e5 225590799 110528 1
24 e5 108962409 61455 1 e5 184334012 110449 -1 e5 213373152 137452 -1
25 e5 109389269 230181 1 e5 180719977 407312 -1 e5 227759357 234868 1
26 e5 109683932 150412 1 e5 172834849 240831 1 e5 215732404 191126 -1
27 e5 110255746 16954 1 e5 165570384 30853 1 e5 215169721 25705 -1
28 e5 110315843 101150 1 e5 176910097 121885 1 e5 224042848 117484 -1
29 e5 110690426 115158 1 e5 171456003 136111 -1 e5 225111227 184407 1
30 e5 111147024 323515 1 e5 192469455 447177 1 e5 197093294 684594 -1
31 e5 111676347 114272 1 e5 182608618 154706 -1 e5 227256268 114898 -1
32 e5 111902357 592274 1 e5 176023229 749824 1 e5 193528059 867446 1
33 e5 112622734 209659 1 e5 170234392 230757 1 e5 221456461 327372 -1
34 e5 113364175 596291 1 e5 167403928 617645 1 e5 218530636 849514 1
35 e5 113998001 201817 1 e5 168048049 212922 1 e5 212296344 375141 -1
36 e5 114466981 12627 1 e5 183764155 9644 1 e5 203743406 13670 -1
37 e5 114481646 11052 1 e5 162413563 32239 1 e5 207947918 36923 1
38 e5 114552028 14141 1 e5 173844878 16488 1 e5 219652243 25934 -1
39 e5 114576556 116585 1 e5 170077697 127447 1 e5 221825162 181281 -1
40 e5 114753628 511165 1 e5 185427729 692278 -1 e5 194425895 688568 1
41 e5 115427934 26707 1 e5 181552358 28801 -1 e5 229030391 33292 1
