# genome1: genome1
# genome2: genome2
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign
1 "e5" 135758616 31048 1 "e5" 230003228 73031 1
2 "e5" 135794781 555803 1 "e5" 222981832 980058 1
3 "e5" 136351463 174923 1 "e5" 229497245 228971 1
4 "e5" 136571690 111702 1 "e5" 230081851 238356 -1
5 "e5" 136868763 32953 1 "e5" 222731394 218444 1
6 "e5" 136933130 1314381 1 "e5" 216764356 2078641 -1
7 "e5" 138247926 91059 1 "e5" 215471577 98086 1
8 "e5" 138356436 232981 1 "e5" 224897009 329498 1
9 "e5" 138590759 13258 1 "e5" 200103818 17616 -1
10 "e5" 138625715 8959 1 "e5" 196580865 36092 -1
11 "e5" 138635115 156534 1 "e5" 219855448 209064 -1
12 "e5" 138792450 176780 1 "e5" 213091537 242061 1
13 "e5" 139103916 71863 1 "e5" 197369755 96797 -1
14 "e5" 139221922 250951 1 "e5" 193237491 385117 1
15 "e5" 139482104 226893 1 "e5" 201308604 353787 -1
16 "e5" 139711863 150667 1 "e5" 195733311 576018 1
17 "e5" 139863033 177456 1 "e5" 204616627 245695 -1
18 "e5" 140043781 49690 1 "e5" 226649841 66253 1
19 "e5" 140104094 790980 1 "e5" 202850975 956129 -1
20 "e5" 140837868 210445 1 "e5" 224038484 208548 1
21 "e5" 141056637 170806 1 "e5" 193689758 253123 1
22 "e5" 141227926 181133 1 "e5" 227359339 187632 -1
23 "e5" 141409258 189970 1 "e5" 229118894 168353 1
24 "e5" 141607861 23661 1 "e5" 227873017 27989 1
25 "e5" 141681542 115834 1 "e5" 212242789 170947 -1
26 "e5" 141812548 203971 1 "e5" 225831381 284206 1
27 "e5" 142059085 725413 1 "e5" 213788585 1024891 -1
28 "e5" 142810524 222170 1 "e5" 220461987 328580 -1
29 "e5" 143043007 337077 1 "e5" 228035249 374409 1
30 "e5" 143421368 611966 1 "e5" 215585154 785614 -1
31 "e5" 144036100 144255 1 "e5" 224454660 170584 -1
32 "e5" 144218932 386744 1 "e5" 225251932 499960 1
33 "e5" 144615255 290008 1 "e5" 214817047 428439 1
34 "e5" 144907658 323515 1 "e5" 197508727 684594 -1
35 "e5" 145252497 85236 1 "e5" 201185459 94045 1
36 "e5" 145427120 234265 1 "e5" 227551482 250007 -1
37 "e5" 145662991 648874 1 "e5" 193943492 887187 1
38 "e5" 146314939 8627 1 "e5" 224675579 12850 -1
39 "e5" 146376603 216424 1 "e5" 221871894 334575 -1
40 "e5" 146594510 79921 1 "e5" 197125157 115640 -1
41 "e5" 146675392 207546 1 "e5" 204182888 330197 1
42 "e5" 147075087 11987 1 "e5" 222650045 13840 1
43 "e5" 147124809 596291 1 "e5" 218946069 849514 1
44 "e5" 147758635 382740 1 "e5" 212432859 654059 -1
45 "e5" 148184007 37750 1 "e5" 227980996 53614 1
46 "e5" 148222347 17895 1 "e5" 204158839 19800 -1
47 "e5" 148242280 68007 1 "e5" 208363351 93305 1
48 "e5" 148312662 14141 1 "e5" 220067676 25934 -1
49 "e5" 148328465 8202 1 "e5" 221328474 7081 1
50 "e5" 148337190 116585 1 "e5" 222240595 181281 -1
51 "e5" 148514262 522334 1 "e5" 194841328 701232 1
52 "e5" 149188568 26707 1 "e5" 229445824 33292 1
53 "e5" 149237532 27907 1 "e5" 223987895 42890 1
54 "e5" 149267876 86737 1 "e5" 202723074 124353 -1
55 "e5" 149355743 65153 1 "e5" 199082449 80246 1
56 "e5" 149709403 55208 1 "e5" 209674594 77639 -1
57 "e5" 149770010 191406 1 "e5" 205393202 214999 -1
58 "e5" 149985528 55941 1 "e5" 226426034 67709 1
59 "e5" 150405674 282586 1 "e5" 228499357 286830 -1
60 "e5" 150771384 47190 1 "e5" 221626964 88005 1
